Model,Type,Adjacency,Loss_Function,MSE,QLIKE,MSE_Improvement(%),QLIKE_Improvement(%)
HAR (Baseline),Linear,Identity,MSE,0.008105455227253894,0.07374499109330418,0.0,0.0
GHAR (True),Linear,True,MSE,0.008092013478357562,0.07369662601540321,0.16583582932066337,0.06558422095377187
GHAR (GLASSO),Linear,GLASSO,MSE,0.008099006729004054,0.07371479888971788,0.07955750872766959,0.04094136176394533
GHAR (Random),Linear,Random,MSE,0.00803400328263572,0.07339250636279018,0.8815290765893417,0.4779778603105712
"GNNHAR1L (Random, QLIKE)",GNN,Random,QLIKE,0.008065002970397472,0.07354595512151718,0.4990744593888345,0.26989761451753724
"GNNHAR2L (Random, QLIKE)",GNN,Random,QLIKE,0.008591659367084503,0.07642024010419846,-5.99848035920043,-3.627702670015212
"GNNHAR3L (Random, QLIKE)",GNN,Random,QLIKE,0.008212410844862461,0.07432576268911362,-1.3195510259428525,-0.7875403972516983
"GNNHAR1L (Random, MSE)",GNN,Random,MSE,0.008019342219841552,0.07332394014564009,1.0624080325901317,0.5709553169941631
"GNNHAR2L (Random, MSE)",GNN,Random,MSE,0.007996875010685649,0.07324344774910496,1.3395943043785266,0.6801049627420139
"GNNHAR3L (Random, MSE)",GNN,Random,MSE,0.10616175562840512,312955.5647298509,-1209.756856980042,-424375250.90877014
