ticker,iv_non_null,rv_non_null,returns_non_null
AAPL,64,64,63
ABBV,64,64,63
ABT,64,64,63
ACN,64,64,63
ADBE,64,64,63
AMAT,64,64,63
AMD,64,64,63
AMGN,64,64,63
AMT,63,64,63
AMZN,64,64,63
AVGO,64,64,63
AXP,64,64,63
BA,64,64,63
BAC,64,64,63
BKNG,64,64,63
BLK,64,64,63
BMY,64,64,63
BNY,0,12,63
BRK.B,64,64,63
C,64,64,63
CAT,64,64,63
CL,64,64,63
CMCSA,64,64,63
COF,64,64,63
COP,64,64,63
COST,64,64,63
CRM,64,64,63
CSCO,64,64,63
CVS,64,64,63
CVX,64,64,63
DE,64,64,63
DHR,64,64,63
DIS,64,64,63
DUK,60,64,63
EMR,64,64,63
FDX,57,64,63
GD,64,64,63
GE,64,64,63
GEV,64,64,63
GILD,64,64,63
GM,64,64,63
GOOG,64,64,63
GOOGL,64,64,63
GS,64,64,63
HD,64,64,63
HON,64,64,63
IBM,64,64,63
INTC,64,64,63
INTU,64,64,63
ISRG,64,64,63
JNJ,64,64,63
JPM,64,64,63
KO,64,64,63
LIN,64,64,63
LLY,64,64,63
LMT,64,64,63
LOW,64,64,63
LRCX,64,64,63
MA,64,64,63
MCD,64,64,63
MDLZ,64,64,63
MDT,64,64,63
META,64,64,63
MMM,64,64,63
MO,64,64,63
MRK,64,64,63
MS,64,64,63
MSFT,64,64,63
MU,64,64,63
NEE,64,64,63
NFLX,64,64,63
NKE,64,64,63
NOW,64,64,63
NVDA,64,64,63
ORCL,64,64,63
PEP,64,64,63
PFE,64,64,63
PG,64,64,63
PLTR,64,64,63
PM,64,64,63
QCOM,64,64,63
RTX,64,64,63
SBUX,64,64,63
SCHW,64,64,63
SO,64,64,63
SPG,61,64,63
T,64,64,63
TMO,64,64,63
TMUS,64,64,63
TSLA,64,64,63
TXN,64,64,63
UBER,64,64,63
UNH,64,64,63
UNP,64,64,63
UPS,64,64,63
USB,64,64,63
V,64,64,63
VZ,64,64,63
WFC,64,64,63
WMT,64,64,63
XOM,64,64,63
