Date,AAPL,ABBV,ABT,ACN,ADBE,AMAT,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,BNY,BRK.B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GEV,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMM,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TMO,TMUS,TSLA,TXN,UBER,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2021-06-09,21.36,21.34,17.67,23.32,30.2,34.26,29.79,19.79,19.01,21.9,26.1,23.62,32.39,25.71,27.51,20.34,18.61,,16.39,27.09,24.68,14.66,21.19,30.09,32.89,16.25,25.16,17.81,20.98,24.14,23.82,21.89,20.72,16.57,21.11,34.92,17.83,30.13,,20.84,33.33,20.26,20.64,26.74,19.48,18.95,17.95,23.51,22.57,22.87,14.61,22.04,14.75,19.51,24.31,15.48,21.05,34.78,22.18,15.07,15.09,18.34,24.73,17.4,17.16,15.39,26.6,18.64,41.05,20.58,23.86,28.59,28.16,33.62,27.18,16.35,17.86,15.26,51.33,17.95,25.22,26.31,19.93,29.61,17.89,29.6,21.13,21.91,21.22,53.83,22.57,42.17,18.38,18.04,23.26,22.73,19.87,16.24,28.23,18.89,26.47
2021-06-10,20.38,20.3,17.23,22.72,27.47,31.97,29.78,19.82,17.95,20.98,23.68,22.13,30.99,24.19,26.39,18.5,18.06,,18.07,25.53,23.98,14.46,19.8,27.71,30.98,15.64,23.21,17.36,19.58,23.91,25.59,20.89,20.24,15.67,19.58,33.94,17.49,29.46,,14.55,30.91,18.89,19.27,26.07,17.77,17.83,17.53,23.12,22.64,21.62,13.59,21.86,14.14,18.94,25.03,17.31,20.57,33.61,20.44,13.98,14.1,16.74,22.59,15.92,17.14,16.06,25.44,17.21,38.69,19.8,23.61,29.24,29.82,32.29,27.96,13.75,17.93,14.21,48.44,16.12,23.92,20.0,17.93,26.88,15.81,28.86,19.81,21.99,19.67,51.8,20.97,41.31,17.67,17.04,20.39,23.68,18.61,14.76,27.69,13.6,26.12
2021-06-11,18.83,20.01,16.78,22.66,27.58,29.85,28.38,19.26,17.27,20.16,22.72,21.45,30.08,23.07,25.24,18.08,17.17,,17.13,23.71,23.18,13.88,18.15,26.38,30.71,15.06,23.22,16.56,18.42,22.93,23.8,19.86,19.76,14.77,19.03,33.28,17.26,27.76,,19.71,29.06,18.27,18.81,22.99,17.05,17.89,15.15,22.23,21.23,22.4,13.52,20.43,13.14,17.83,23.89,15.41,19.74,31.03,19.97,13.62,13.19,16.52,21.75,15.5,17.14,16.55,24.08,16.27,37.87,18.72,22.62,28.12,26.08,32.83,26.93,13.59,16.81,14.38,48.75,15.74,22.8,20.5,17.58,26.2,15.43,26.37,18.5,20.42,18.55,48.55,19.3,37.19,17.54,16.88,18.92,22.85,19.09,13.99,26.0,13.18,25.18
2021-06-14,20.5,20.65,18.54,22.3,30.22,31.08,29.3,18.67,17.39,20.59,23.29,21.72,30.36,25.04,25.1,20.0,17.12,,16.15,26.27,26.09,14.45,19.6,27.46,30.91,15.49,23.79,17.37,18.83,23.57,25.62,22.31,20.44,15.29,19.14,33.68,17.15,29.28,,20.59,30.85,18.99,19.12,25.33,17.98,18.02,16.31,23.57,21.79,21.73,13.79,22.19,14.0,18.05,23.57,15.42,20.51,32.06,21.07,14.0,13.14,16.0,22.51,16.21,19.68,16.68,25.95,16.94,38.52,19.39,24.73,29.82,27.86,31.74,27.4,15.15,17.71,14.6,51.77,16.23,24.38,19.33,18.42,29.36,15.27,29.55,18.63,21.27,19.72,49.02,20.17,38.67,18.95,17.74,20.12,24.45,18.44,14.72,29.39,13.86,25.58
2021-06-15,21.09,20.85,18.58,22.85,28.29,31.58,28.99,18.59,17.58,20.66,23.62,22.21,30.85,25.33,25.55,20.73,17.27,,15.08,29.3,24.71,14.44,19.71,27.79,31.36,15.61,23.56,17.72,19.33,23.27,24.1,22.49,20.39,15.655,19.01,34.89,16.82,28.82,,19.43,30.27,19.14,19.22,25.62,18.41,16.53,16.18,24.36,21.17,22.01,14.14,22.92,13.92,18.34,22.83,15.72,20.61,32.39,21.32,14.58,13.49,16.94,23.63,16.1,18.67,16.87,26.32,17.84,39.1,19.45,23.27,28.87,26.91,32.0,27.38,15.64,17.58,14.72,51.26,16.39,24.88,20.4,18.39,28.16,15.48,28.35,18.58,21.13,19.14,50.71,21.11,39.61,19.93,17.47,19.95,24.22,18.29,14.19,30.37,13.87,26.41
2021-06-16,21.41,20.91,19.01,22.88,29.59,31.88,29.57,18.63,18.58,21.07,23.89,22.2,31.31,26.5,26.02,21.63,16.76,,16.34,28.62,24.95,15.52,19.87,29.0,31.57,16.44,24.01,18.19,19.52,23.84,25.07,22.75,20.77,16.02,19.45,34.98,17.41,29.73,,20.58,31.59,20.79,20.41,26.36,19.25,18.64,16.49,24.04,22.81,22.29,14.51,23.42,14.73,19.39,22.28,15.82,21.18,32.78,21.98,14.86,13.82,16.62,24.28,16.95,19.13,17.11,27.59,18.82,39.53,19.79,22.95,29.28,28.38,31.73,21.31,16.26,17.91,15.39,50.11,16.35,24.63,20.2,18.55,29.14,16.15,28.04,18.89,20.68,19.39,47.78,21.29,39.37,21.21,17.84,20.52,24.64,18.69,14.9,31.64,14.99,26.97
2021-06-17,20.12,21.88,17.71,22.29,27.29,31.46,32.09,17.5,18.0,20.5,23.49,23.0,30.85,27.91,25.66,21.42,16.8,,16.25,29.9,27.72,14.65,19.74,30.49,34.22,16.24,23.1,17.52,19.69,25.54,25.97,21.02,20.65,15.47,21.2,34.11,17.53,29.8,,20.95,31.93,19.48,19.58,27.26,18.77,18.4,17.95,25.03,22.41,23.14,13.86,24.05,14.16,17.55,22.05,15.65,21.0,32.64,21.83,14.87,13.59,16.82,22.84,17.36,18.57,16.01,28.37,18.0,40.23,19.23,24.38,29.4,27.8,33.67,20.65,15.61,17.38,15.22,48.88,16.38,24.71,20.97,18.57,29.67,16.0,29.24,19.05,21.23,18.93,46.22,21.44,38.13,20.73,18.8,21.12,26.05,18.39,14.56,33.22,14.4,27.89
2021-06-18,21.66,23.52,20.32,23.03,25.75,32.99,33.07,19.8,20.32,22.24,25.3,24.6,32.44,30.33,27.19,23.98,18.01,,17.83,32.37,28.32,16.52,21.69,33.07,35.67,17.6,24.4,19.24,21.78,27.24,26.96,23.1,22.38,17.64,21.69,36.03,18.66,31.1,,22.16,32.68,20.43,20.85,29.16,20.27,21.62,19.67,27.79,23.82,25.8,15.85,25.32,17.08,23.27,22.15,16.81,21.86,35.91,23.56,15.95,14.76,17.7,24.69,19.2,20.46,17.67,31.19,19.79,40.27,21.3,27.95,30.85,29.85,37.22,21.76,18.0,19.31,16.25,48.66,20.96,24.96,21.98,19.82,33.08,18.5,31.72,20.3,22.36,21.15,48.63,23.69,38.79,22.75,19.98,22.23,28.06,19.8,16.38,35.79,16.67,29.57
2021-06-21,20.17,22.75,19.5,21.83,23.87,29.65,30.95,18.54,17.23,22.02,23.39,25.54,31.11,27.66,25.62,21.93,17.53,,15.76,30.09,25.69,15.25,19.52,31.38,32.24,16.08,22.93,17.44,21.09,24.72,24.16,22.4,20.78,15.9,20.28,34.68,17.31,29.57,,21.85,30.79,19.56,19.72,27.66,18.75,19.91,22.84,30.03,23.34,26.97,14.99,24.05,15.98,17.97,21.85,17.02,21.27,33.79,21.52,14.87,13.27,16.99,23.41,16.98,19.09,16.52,28.11,20.42,38.97,19.5,32.55,28.9,28.4,37.8,20.01,16.34,17.78,13.29,45.45,19.38,26.22,20.96,20.34,28.06,16.03,30.0,19.83,21.06,17.6,49.84,23.98,39.72,21.46,20.37,21.13,26.28,18.81,15.03,32.54,14.72,26.83
2021-06-22,20.5,21.67,19.1,21.79,25.57,30.16,31.31,18.87,17.3,21.69,23.9,25.01,30.24,27.01,25.22,22.46,17.06,,15.44,29.76,26.0,15.31,19.34,31.77,33.34,16.01,23.17,16.79,21.08,25.08,24.09,22.64,20.42,15.58,20.82,36.15,16.79,28.45,,22.24,30.14,19.35,19.31,27.31,19.26,21.47,23.82,31.24,23.16,26.79,14.8,23.9,16.55,17.78,20.97,17.21,21.14,33.1,21.8,14.84,14.06,17.45,23.6,16.87,19.05,16.68,28.15,20.62,38.43,19.08,35.08,28.02,29.28,38.39,20.15,16.13,17.09,14.51,45.54,19.19,23.27,22.0,20.19,27.76,16.05,28.81,20.24,20.85,20.04,47.05,23.19,39.13,20.03,20.28,21.33,26.52,18.66,15.38,32.76,14.5,26.69
