Date,AAPL,ABBV,ABT,ACN,ADBE,AMAT,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BMY,BNY,BRK.B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GEV,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMM,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TMO,TMUS,TSLA,TXN,UBER,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2021-06-09,20.17,14.96,38.19,17.72,22.83,44.43,24.14,16.2,15.02,17.98,28.28,18.25,30.47,15.78,26.23,18.99,15.92,6.46,13.39,15.15,17.9,12.22,26.21,22.07,31.39,17.19,29.81,15.27,21.68,25.62,24.42,22.73,17.84,16.34,16.45,23.05,16.54,31.4,,17.3,33.56,21.49,21.33,22.32,21.45,23.16,14.46,20.9,21.81,20.78,11.74,17.06,9.19,15.07,35.78,15.07,24.94,40.73,18.86,13.31,8.59,15.77,22.1,15.58,14.61,19.4,19.66,20.56,34.77,18.68,18.74,17.2,24.7,36.02,17.96,10.95,13.93,15.22,59.47,13.72,20.76,18.15,16.18,28.69,14.98,30.16,26.61,24.75,22.4,45.02,24.6,39.86,12.45,14.3,20.85,19.01,13.91,10.12,19.08,15.19,28.33
2021-06-10,20.2,16.01,38.5,17.74,25.95,44.45,24.72,18.11,15.12,18.96,28.31,15.78,29.56,16.15,26.1,18.11,18.65,6.34,11.54,16.3,21.73,12.4,26.33,21.61,30.05,17.12,30.11,16.22,20.9,23.82,24.61,24.48,17.35,16.39,16.5,22.81,15.61,30.64,,17.45,32.78,20.77,21.09,22.22,19.31,23.13,13.45,19.96,21.81,22.12,11.92,16.92,8.54,14.89,36.73,14.31,23.49,40.73,18.84,13.31,8.64,15.92,22.11,14.34,14.65,21.92,18.79,20.94,34.91,19.17,17.72,17.1,28.6,36.0,16.92,11.13,15.01,15.42,52.53,13.78,20.82,18.04,16.3,28.59,14.91,27.5,26.81,28.07,22.15,45.16,24.66,39.85,10.19,14.34,21.29,18.51,13.98,8.89,18.98,15.01,25.66
2021-06-11,18.22,16.23,38.16,14.14,23.23,34.5,22.01,18.18,12.8,16.81,23.35,15.1,25.99,15.8,23.01,15.97,18.67,5.18,11.23,16.09,22.72,12.24,25.84,21.37,30.12,16.1,28.32,13.59,20.41,23.83,23.6,22.33,15.87,14.09,14.78,20.43,12.79,29.5,,17.71,29.31,16.74,17.1,21.48,13.43,18.06,10.69,17.22,21.87,18.94,12.64,16.72,8.26,13.98,40.3,12.53,17.42,33.42,15.4,9.78,8.19,15.0,21.43,11.34,12.75,21.76,17.57,17.42,30.14,14.46,16.21,14.64,25.94,31.62,16.08,10.42,15.61,15.16,44.79,13.83,17.27,15.14,12.38,27.83,12.76,21.99,26.96,27.09,22.02,42.14,20.45,34.12,9.25,12.83,20.61,18.56,11.05,8.89,19.55,11.68,25.94
2021-06-14,18.42,15.81,38.82,11.88,24.13,30.76,19.78,18.46,12.97,16.43,22.2,14.11,25.91,15.11,19.9,13.92,18.99,3.28,9.94,15.89,22.11,11.44,24.81,20.72,26.52,14.43,28.83,13.5,20.99,22.49,22.54,22.55,13.05,10.95,13.1,17.39,10.18,29.9,,16.36,29.56,15.65,16.05,20.46,9.4,16.27,9.74,15.81,20.33,18.82,12.32,14.4,8.2,12.67,41.29,10.82,15.11,29.34,15.06,9.48,7.16,14.76,19.42,8.71,13.05,21.98,16.25,15.99,29.16,13.81,17.79,13.5,25.69,29.86,15.56,9.65,16.27,14.29,33.36,14.54,16.11,12.24,12.4,25.89,10.48,20.32,27.26,27.97,20.88,40.31,19.23,27.6,8.93,11.4,19.05,16.27,9.59,8.66,18.84,10.13,24.77
2021-06-15,18.15,15.47,37.85,11.6,24.74,30.12,20.24,18.04,12.84,16.04,22.21,14.45,25.26,14.74,19.41,13.62,18.51,3.2,9.73,16.57,21.69,11.16,24.19,21.47,26.12,14.07,29.05,13.47,20.69,23.14,22.52,22.16,13.66,10.94,13.4,18.88,10.37,29.18,,15.95,28.84,15.44,16.19,20.02,9.51,15.88,9.74,15.55,20.98,18.37,12.1,14.77,8.09,12.36,40.75,10.56,14.93,28.91,14.74,9.34,7.07,14.69,18.96,8.56,12.75,21.49,15.85,15.85,29.28,13.47,18.28,13.35,25.43,30.33,15.95,9.42,15.85,13.93,34.68,14.19,16.61,12.09,12.23,25.4,10.71,20.91,26.87,27.27,20.36,40.87,19.1,29.2,8.82,11.14,18.87,16.17,9.6,8.51,18.61,9.99,26.97
2021-06-16,17.79,15.42,37.67,11.83,24.85,30.25,20.42,17.9,14.21,15.64,22.6,15.0,26.24,14.5,16.83,14.14,18.58,3.33,9.65,19.01,21.05,12.43,13.5,21.16,24.19,14.64,28.47,13.67,20.88,22.88,22.46,21.92,11.54,11.79,13.42,19.48,11.24,29.14,,16.16,29.09,15.6,16.43,20.02,9.6,16.68,10.54,16.45,21.2,16.6,12.08,14.97,9.48,12.41,41.14,11.96,12.94,28.13,15.34,9.46,8.87,14.68,20.15,10.46,13.18,20.65,15.7,15.17,30.13,11.96,18.0,13.25,24.67,29.97,25.94,10.08,15.99,14.62,34.6,14.35,16.7,12.71,12.34,26.04,12.44,21.06,25.6,26.81,20.14,40.09,18.48,29.41,9.08,10.17,18.98,15.95,11.02,8.27,17.0,12.23,26.0
2021-06-17,17.56,15.46,38.1,10.8,24.76,29.44,26.77,18.03,14.78,16.16,21.92,15.48,26.75,20.6,16.7,13.43,18.61,4.2,10.82,22.16,22.92,12.54,13.06,27.92,26.68,15.44,28.28,13.87,12.22,21.94,20.69,27.97,11.48,11.98,20.1,20.78,11.32,31.11,,16.14,31.09,15.03,15.69,21.57,9.23,16.02,11.52,16.03,20.96,16.98,12.25,17.2,9.36,12.29,40.96,11.47,12.93,27.54,15.68,9.89,9.0,14.66,19.33,10.35,13.5,20.84,19.8,15.08,29.33,13.15,18.3,13.57,27.27,31.29,26.03,10.36,16.1,14.73,33.63,14.35,16.38,12.86,12.33,25.11,12.61,22.08,15.85,29.48,14.37,40.51,17.92,27.47,8.88,10.62,19.04,21.35,11.45,7.02,26.32,9.43,26.73
2021-06-18,18.06,15.86,38.23,11.4,25.46,33.53,26.02,18.02,15.92,16.18,22.36,18.04,26.37,22.14,16.28,18.0,18.7,4.08,12.02,22.59,22.89,13.81,13.24,28.94,25.99,15.59,26.97,15.29,13.49,23.79,18.66,27.95,12.44,14.77,20.88,20.57,12.14,31.47,,16.34,32.18,15.48,16.75,24.2,9.02,16.97,12.94,18.61,21.16,17.39,13.85,18.84,12.16,13.51,41.7,11.86,12.51,30.58,15.51,11.57,10.82,15.63,20.87,11.87,13.58,20.99,24.98,15.41,33.3,14.67,18.34,12.1,27.27,31.51,26.65,12.95,17.02,15.45,31.35,13.43,17.27,13.87,12.7,27.59,16.31,24.17,14.32,29.7,15.12,39.24,19.49,27.4,10.29,12.52,18.96,21.66,11.7,8.08,27.02,11.14,26.94
2021-06-21,16.64,16.39,39.11,12.32,24.97,30.8,27.2,17.9,15.14,16.05,20.49,23.37,26.98,24.22,15.9,19.09,17.59,4.68,13.0,22.34,24.73,13.64,13.1,31.86,31.53,16.25,27.35,16.99,15.58,26.43,21.2,28.34,12.26,15.73,23.77,23.62,16.51,33.99,,16.38,32.35,14.42,16.78,25.56,11.06,18.36,15.69,18.72,18.99,16.99,14.74,19.98,12.69,16.02,42.89,12.27,12.28,27.06,15.48,12.42,10.47,17.1,20.63,14.17,15.44,21.41,25.58,15.38,33.61,13.74,15.89,13.32,27.03,31.64,28.64,12.83,18.19,15.63,31.94,13.42,16.72,16.26,12.33,31.07,17.86,29.83,11.34,29.76,15.05,37.77,19.63,30.2,13.29,13.75,22.39,23.45,13.02,9.11,31.12,11.92,30.18
2021-06-22,16.58,15.98,38.13,12.0,24.47,30.02,26.68,17.44,15.01,16.11,19.98,22.84,26.45,23.79,15.59,18.65,17.75,4.6,12.67,22.28,24.17,13.3,12.85,31.06,30.73,16.47,26.9,16.56,15.19,25.78,21.35,28.1,12.0,15.6,23.18,23.85,16.25,33.39,,16.02,31.55,14.06,16.36,24.92,12.37,17.9,15.32,18.25,18.61,16.64,14.37,19.49,12.43,15.9,41.97,11.96,13.17,26.43,15.69,12.17,10.29,17.03,21.01,13.82,15.05,20.98,24.93,15.21,32.94,13.44,17.51,14.58,26.81,31.23,28.1,12.51,17.83,15.25,31.36,13.12,16.48,16.1,12.32,30.31,17.51,29.43,11.11,29.5,14.69,36.82,19.2,30.23,12.99,13.65,22.23,22.88,12.81,8.88,30.49,11.84,29.93
