model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,0.9114219890866578,0.9549473566731802,0.9816574966301597,0.9900633601115504
HAR+IV,MSE,0.9284521253241514,0.9645315594403842,1.0,1.0
GHAR,MSE,0.9625533315584793,0.9867635022318834,1.036729094914207,1.0230494716050536
GHAR+fakeIV,MSE,0.9668610015401459,0.9898372368807369,1.0413687202262418,1.026236235810713
GHAR_RANDOM,MSE,0.9671882600708948,0.99049574761682,1.041721197776589,1.0269189617719716
HAR+fakeIV,MSE,0.9952549628481181,0.9984655049854624,1.0719507615975823,1.0351817887273347
HAR,MSE,1.0,1.0,1.0770614582317521,1.0367727112840086
GNNHAR3L,MSE,56.62238522390714,74.36798732804117,60.98578879782143,77.10269985482805
GNNHAR2L,MSE,61.30000838771865,74.48906889173755,66.02387642369487,77.22823391590805
GNNHAR2L-IV,MSE,62.45192456891833,75.73849411999979,67.26456094557857,78.52360389736013
GNNHAR1L-IV+fakeIV,MSE,57.436199976328226,77.34528580952207,61.862317301794604,80.18948167377475
GNNHAR3L-IV,MSE,65.1919369167402,79.55206483728291,70.2157226404966,82.47740994959105
GNNHAR1L-IV,MSE,62.37444193377002,79.66538731889185,67.18110738557809,82.59489960609818
GNNHAR1L-IV-QLIKE,QLIKE,64.12613436490638,80.95207155056582,69.06778778983133,83.9288987055372
GNNHAR1L-QLIKE,QLIKE,58.06449573892258,82.7207162421365,62.53903045205531,85.76258125771498
GNNHAR1L,MSE,71.82209067007507,85.16023147512779,77.35680571036416,88.291804080042
