regime,model,n_dates,mse,qlike
calm,GHAR+IV,139,0.6063505411148071,0.0006554241990670562
calm,HAR+IV,139,0.606794536113739,0.0006596290040761232
calm,GHAR,139,0.6349889039993286,0.0006759027019143105
calm,GHAR_RANDOM,139,0.6364779472351074,0.0006775927031412721
calm,GHAR+fakeIV,139,0.6395888924598694,0.0006778240203857422
calm,HAR+fakeIV,139,0.6358501315116882,0.0006784640136174858
calm,HAR,139,0.6364715695381165,0.0006791697815060616
calm,GNNHAR2L,139,61.59868621826172,0.06252943724393845
calm,GNNHAR3L,139,59.40523910522461,0.06361625343561172
calm,GNNHAR2L-IV,139,65.69850158691406,0.06448817998170853
calm,GNNHAR1L-IV+fakeIV,139,60.765159606933594,0.06611316651105881
calm,GNNHAR3L-IV,139,68.14998626708984,0.06736437976360321
calm,GNNHAR1L-IV,139,66.22138214111328,0.06740254163742065
calm,GNNHAR1L-IV-QLIKE,139,67.51371765136719,0.0682532787322998
calm,GNNHAR1L,139,70.6812973022461,0.07054582238197327
calm,GNNHAR1L-QLIKE,139,62.01783752441406,0.07092510163784027
volatile_top_quartile,GHAR+IV,47,2.271876811981201,0.00116795115172863
volatile_top_quartile,HAR+IV,47,2.3465209007263184,0.0011866919230669737
volatile_top_quartile,GHAR,47,2.415235996246338,0.0012108812807127833
volatile_top_quartile,GHAR+fakeIV,47,2.420844554901123,0.0012151977280154824
volatile_top_quartile,GHAR_RANDOM,47,2.4315054416656494,0.0012180237099528313
volatile_top_quartile,HAR+fakeIV,47,2.5585453510284424,0.0012413713848218322
volatile_top_quartile,HAR,47,2.577871799468994,0.0012442757142707705
volatile_top_quartile,GNNHAR3L,47,76.85945892333984,0.05376878008246422
volatile_top_quartile,GNNHAR2L-IV,47,84.24836730957031,0.05564819648861885
volatile_top_quartile,GNNHAR1L-IV+fakeIV,47,76.46730041503906,0.056069113314151764
volatile_top_quartile,GNNHAR2L,47,91.2355728149414,0.05737687274813652
volatile_top_quartile,GNNHAR1L-QLIKE,47,75.56492614746094,0.05932370573282242
volatile_top_quartile,GNNHAR3L-IV,47,89.21926879882812,0.05954708904027939
volatile_top_quartile,GNNHAR1L-IV,47,82.35638427734375,0.05980284512042999
volatile_top_quartile,GNNHAR1L-IV-QLIKE,47,86.3472671508789,0.061472270637750626
volatile_top_quartile,GNNHAR1L,47,111.3048324584961,0.06838085502386093
