model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR1L,1,MSE,8,0.0003,250,20260602,20.84765625,0.009768412448465824,10.64407730102539,0.005951783154159784,False
GNNHAR1L,1,MSE,8,0.0003,300,20260602,16.446836471557617,0.007702356204390526,8.598883628845215,0.005021305289119482,False
GNNHAR1L,1,MSE,8,0.0003,500,20260602,7.136300086975098,0.003747548209503293,5.294994831085205,0.0033955529797822237,False
GNNHAR1L,1,MSE,8,0.001,250,20260602,3.5476229190826416,0.002201018389314413,3.0249650478363037,0.0019221442053094506,False
GNNHAR1L,1,MSE,8,0.001,300,20260602,2.8259012699127197,0.0018623621435835958,2.4518792629241943,0.0016141915693879128,False
GNNHAR1L,1,MSE,8,0.001,500,20260602,1.8740752935409546,0.0013643697602674365,1.795615315437317,0.001373922685161233,False
GNNHAR1L,1,MSE,8,0.003,250,20260602,1.6408884525299072,0.001230342430062592,1.7518906593322754,0.0013132041785866022,False
GNNHAR1L,1,MSE,8,0.003,300,20260602,1.468085765838623,0.0011240124003961682,1.5588252544403076,0.0011564481537789106,False
GNNHAR1L,1,MSE,8,0.003,500,20260602,1.0985814332962036,0.000900477054528892,1.1419721841812134,0.0008640983141958714,False
GNNHAR1L,1,MSE,16,0.0003,250,20260602,11.780274391174316,0.005971433594822884,11.865567207336426,0.008731205016374588,False
GNNHAR1L,1,MSE,16,0.0003,300,20260602,9.085335731506348,0.004765273071825504,10.688712120056152,0.007686401717364788,False
GNNHAR1L,1,MSE,16,0.0003,500,20260602,5.685970306396484,0.003323242999613285,7.9930739402771,0.005663071759045124,False
GNNHAR1L,1,MSE,16,0.001,250,20260602,3.81138014793396,0.0024526531342417,5.2677178382873535,0.0037489566020667553,False
GNNHAR1L,1,MSE,16,0.001,300,20260602,3.3059122562408447,0.002196004381403327,4.37265682220459,0.003107631579041481,False
GNNHAR1L,1,MSE,16,0.001,500,20260602,2.2970783710479736,0.0016502367798238993,2.585766077041626,0.0018762260442599654,False
GNNHAR1L,1,MSE,16,0.003,250,20260602,1.9699890613555908,0.0014459642115980387,2.0248677730560303,0.0014955910155549645,False
GNNHAR1L,1,MSE,16,0.003,300,20260602,1.8104829788208008,0.0013393888948485255,1.7826546430587769,0.0013189174933359027,False
GNNHAR1L,1,MSE,16,0.003,500,20260602,1.3601433038711548,0.0010403060587123036,1.3248075246810913,0.000979253789409995,False
GNNHAR1L,1,MSE,32,0.0003,250,20260602,9.524555206298828,0.005427216645330191,10.598955154418945,0.007348577491939068,False
GNNHAR1L,1,MSE,32,0.0003,300,20260602,7.114304542541504,0.004309716634452343,9.645364761352539,0.0064810169860720634,False
