model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,GLASSO,MSE,1.0272092819213867,0.000784933683462441,0.9114219890866578,0.9549473566731802,0.9816574966301597,0.9900633601115504
GNNHAR3L-IV,GNNHAR,real,GLASSO,MSE,0.9601357579231262,0.0007853762363083661,0.8519090098589013,0.9554857647951762,0.9175583604393962,0.9906215669599694
HAR+IV,HAR,real,Identity,MSE,1.046402931213379,0.0007928115664981306,0.9284521253241514,0.9645315594403842,1.0,1.0
GHAR,GHAR,none,GLASSO,MSE,1.0848363637924194,0.0008110854541882873,0.9625533315584793,0.9867635022318834,1.036729094914207,1.0230494716050536
GHAR+fakeIV,GHAR,fake,GLASSO,MSE,1.0896912813186646,0.0008136119577102363,0.9668610015401459,0.9898372368807369,1.0413687202262418,1.026236235810713
GHAR_RANDOM,GHAR,none,Random,MSE,1.0900601148605347,0.0008141532307490706,0.9671882600708948,0.99049574761682,1.041721197776589,1.0269189617719716
HAR+fakeIV,HAR,fake,Identity,MSE,1.121692419052124,0.000820704095531255,0.9952549628481181,0.9984655049854624,1.0719507615975823,1.0351817887273347
GNNHAR2L-IV,GNNHAR,real,GLASSO,MSE,0.9954755902290344,0.0008213532855734229,0.8832653272336743,0.9992553071404828,0.9513310413558469,1.0360006340489731
HAR,HAR,none,Identity,MSE,1.1270402669906616,0.0008219653973355889,1.0,1.0,1.0770614582317521,1.0367727112840086
GNNHAR1L-IV,GNNHAR,real,GLASSO,MSE,1.036817193031311,0.0008347268449142575,0.919946894000285,1.0155255289578309,0.9908393431477179,1.0528691560357373
GNNHAR1L,GNNHAR,none,GLASSO,MSE,1.1477147340774536,0.0008469405584037304,1.0183440358719351,1.0303846866900952,1.0968191122578341,1.0682747252852138
GNNHAR2L,GNNHAR,none,GLASSO,MSE,1.1314325332641602,0.000860096886754036,1.0038971688963931,1.0463906261042748,1.0812589486462767,1.0848692464883003
GNNHAR1L-IV+fakeIV,GNNHAR,fake,GLASSO,MSE,1.1785322427749634,0.0008701679762452841,1.0456877871114505,1.0586430755673468,1.126270012841393,1.0975722517379998
GNNHAR3L,GNNHAR,none,GLASSO,MSE,1.1918762922286987,0.0008998363045975566,1.0575276918997378,1.0947374518615833,1.1390223179579906,1.1349939161106808
GNNHAR1L-IV-QLIKE,GNNHAR,real,GLASSO,QLIKE,2.567122459411621,0.0009337691008113325,2.2777557595756175,1.1360199636604613,2.4532829399042866,1.1777944977970176
GNNHAR1L-QLIKE,GNNHAR,none,GLASSO,QLIKE,2.6448395252227783,0.0010126651031896472,2.3467125378624054,1.2320045423715082,2.5275536280808177,1.277308689708723
