model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,0.9558067286595537,0.9593634668727676,0.9989662162979605,0.9982845067897722
GHAR+IV-random,MSE,0.955986456570401,0.9600636787322718,0.9991540598291669,0.9990131259992279
HAR+IV,MSE,0.95679584861403,0.9610120765650619,1.0,1.0
GNNHAR3L-IV-random,MSE,0.9677994570765023,0.9852877454911902,1.0115004768032925,1.0252605243140094
GHAR+fakeIV,MSE,0.9944617227838073,0.9938833520399568,1.0393666780895197,1.034204851610592
HAR+fakeIV,MSE,0.9958027642344471,0.9970171403049255,1.0407682743156972,1.0374657765681323
GHAR_RANDOM,MSE,0.9987086850978644,0.9970667360546664,1.0438054121415214,1.0375173844000738
GHAR,MSE,0.9975714129059023,0.9976556683141251,1.0426167863823175,1.0381302094350762
GNNHAR3L-IV,MSE,0.9777764794384489,0.9978639980929812,1.021928011973307,1.0383469910801109
HAR,MSE,1.0,1.0,1.0451550364150863,1.0405696498365475
GNNHAR2L-IV,MSE,0.984061202833153,1.0076194406221104,1.0284965222817577,1.0484982084966474
GNNHAR1L,MSE,1.009342495164504,1.0160258511283413,1.0549193922889515,1.0572456641334984
GNNHAR2L,MSE,1.0114572433533036,1.0273734001139874,1.057129632009225,1.0690535792079952
GNNHAR3L,MSE,1.0390562312057106,1.039849839542553,1.0859748531631268,1.0820361834153847
GNNHAR1L-IV,MSE,1.0259370526280174,1.0667747365882005,1.0722632775990217,1.1100534141060592
GNNHAR1L-IV+fakeIV,MSE,1.1105075279213543,1.13283841656382,1.1606525357838706,1.1787972744452033
