regime,model,n_dates,mse,qlike
calm,GHAR+IV,120,6.262959003448486,0.003321239957585931
calm,GHAR+IV-random,120,6.263570785522461,0.0033213843125849962
calm,HAR+IV,120,6.277333736419678,0.0033292146399617195
calm,GNNHAR3L-IV-random,120,6.290835380554199,0.0034032391849905252
calm,HAR+fakeIV,120,6.454378604888916,0.0034134977031499147
calm,GHAR+fakeIV,120,6.4545416831970215,0.0034142888616770506
calm,GHAR_RANDOM,120,6.506311893463135,0.003425177186727524
calm,GHAR,120,6.501374244689941,0.0034305560402572155
calm,HAR,120,6.514510154724121,0.003436389146372676
calm,GNNHAR3L-IV,120,6.42389440536499,0.003463807050138712
calm,GNNHAR1L,120,6.595770359039307,0.003503406187519431
calm,GNNHAR2L-IV,120,6.431642055511475,0.003509198548272252
calm,GNNHAR2L,120,6.582270622253418,0.0035451401490718126
calm,GNNHAR3L,120,6.715068817138672,0.003550133667886257
calm,GNNHAR1L-IV,120,6.740484237670898,0.0037196604534983635
calm,GNNHAR1L-IV+fakeIV,120,7.266185283660889,0.003933710511773825
volatile_top_quartile,HAR+IV,41,7.78381872177124,0.0029760694596916437
volatile_top_quartile,GHAR+IV,41,7.798852443695068,0.0029775912407785654
volatile_top_quartile,GHAR+IV-random,41,7.801974773406982,0.002986434381455183
volatile_top_quartile,GNNHAR2L-IV,41,8.077555656433105,0.0030661907512694597
volatile_top_quartile,GNNHAR3L-IV,41,7.928420543670654,0.00306991976685822
volatile_top_quartile,GNNHAR3L-IV-random,41,8.045116424560547,0.003080730326473713
volatile_top_quartile,GHAR+fakeIV,41,8.2948579788208,0.003162162145599723
volatile_top_quartile,GHAR,41,8.242795944213867,0.0031644830014556646
volatile_top_quartile,GHAR_RANDOM,41,8.259438514709473,0.0031724292784929276
volatile_top_quartile,HAR,41,8.270743370056152,0.0031784402672201395
volatile_top_quartile,GNNHAR1L,41,8.288311958312988,0.0031944133806973696
volatile_top_quartile,HAR+fakeIV,41,8.33199691772461,0.0032059571240097284
volatile_top_quartile,GNNHAR2L,41,8.38563346862793,0.0032224629539996386
volatile_top_quartile,GNNHAR1L-IV,41,8.318411827087402,0.0032331941183656454
volatile_top_quartile,GNNHAR3L,41,8.751445770263672,0.003372988197952509
volatile_top_quartile,GNNHAR1L-IV+fakeIV,41,9.091730117797852,0.003481136402115226
