,rv_coverage,iv_coverage,returns_coverage,min_coverage
AAPL,1.0,1.0,1.0,1.0
ABBV,1.0,1.0,1.0,1.0
ABT,1.0,1.0,1.0,1.0
ACN,1.0,1.0,1.0,1.0
ADBE,1.0,1.0,1.0,1.0
AMAT,1.0,1.0,1.0,1.0
AMD,1.0,1.0,1.0,1.0
AMGN,1.0,1.0,1.0,1.0
AMT,1.0,1.0,1.0,1.0
AMZN,1.0,1.0,1.0,1.0
AVGO,1.0,1.0,1.0,1.0
AXP,1.0,1.0,1.0,1.0
BA,1.0,1.0,1.0,1.0
BAC,1.0,1.0,1.0,1.0
BKNG,1.0,1.0,1.0,1.0
BLK,1.0,1.0,1.0,1.0
BMY,1.0,1.0,1.0,1.0
C,1.0,1.0,1.0,1.0
CAT,1.0,1.0,1.0,1.0
CL,1.0,1.0,1.0,1.0
CMCSA,1.0,1.0,1.0,1.0
COF,1.0,1.0,1.0,1.0
COP,1.0,1.0,1.0,1.0
CRM,1.0,1.0,1.0,1.0
CSCO,1.0,1.0,1.0,1.0
CVS,1.0,1.0,1.0,1.0
CVX,1.0,1.0,1.0,1.0
DE,1.0,1.0,1.0,1.0
DHR,1.0,1.0,1.0,1.0
DIS,1.0,1.0,1.0,1.0
DUK,1.0,1.0,1.0,1.0
EMR,1.0,1.0,1.0,1.0
GD,1.0,1.0,1.0,1.0
GILD,1.0,1.0,1.0,1.0
GM,1.0,1.0,1.0,1.0
GOOG,1.0,1.0,1.0,1.0
GOOGL,1.0,1.0,1.0,1.0
GS,1.0,1.0,1.0,1.0
HD,1.0,1.0,1.0,1.0
HON,1.0,1.0,1.0,1.0
INTC,1.0,1.0,1.0,1.0
INTU,1.0,1.0,1.0,1.0
ISRG,1.0,1.0,1.0,1.0
JNJ,1.0,1.0,1.0,1.0
JPM,1.0,1.0,1.0,1.0
KO,1.0,1.0,1.0,1.0
LIN,1.0,1.0,1.0,1.0
LLY,1.0,1.0,1.0,1.0
LMT,1.0,1.0,1.0,1.0
LOW,1.0,1.0,1.0,1.0
LRCX,1.0,1.0,1.0,1.0
MA,1.0,1.0,1.0,1.0
MCD,1.0,1.0,1.0,1.0
MDLZ,1.0,1.0,1.0,1.0
MDT,1.0,1.0,1.0,1.0
META,1.0,1.0,1.0,1.0
MRK,1.0,1.0,1.0,1.0
MS,1.0,1.0,1.0,1.0
MSFT,1.0,1.0,1.0,1.0
MU,1.0,1.0,1.0,1.0
NEE,1.0,1.0,1.0,1.0
NFLX,1.0,1.0,1.0,1.0
NKE,1.0,1.0,1.0,1.0
NOW,1.0,1.0,1.0,1.0
NVDA,1.0,1.0,1.0,1.0
ORCL,1.0,1.0,1.0,1.0
PEP,1.0,1.0,1.0,1.0
PFE,1.0,1.0,1.0,1.0
PG,1.0,1.0,1.0,1.0
PLTR,1.0,1.0,1.0,1.0
PM,1.0,1.0,1.0,1.0
QCOM,1.0,1.0,1.0,1.0
RTX,1.0,1.0,1.0,1.0
SBUX,1.0,1.0,1.0,1.0
SCHW,1.0,1.0,1.0,1.0
SO,1.0,1.0,1.0,1.0
SPG,1.0,1.0,1.0,1.0
TMO,1.0,1.0,1.0,1.0
TMUS,1.0,1.0,1.0,1.0
TSLA,1.0,1.0,1.0,1.0
TXN,1.0,1.0,1.0,1.0
UBER,1.0,1.0,1.0,1.0
UNH,1.0,1.0,1.0,1.0
UNP,1.0,1.0,1.0,1.0
UPS,1.0,1.0,1.0,1.0
USB,1.0,1.0,1.0,1.0
V,1.0,1.0,1.0,1.0
VZ,1.0,1.0,1.0,1.0
WFC,1.0,1.0,1.0,1.0
WMT,1.0,1.0,1.0,1.0
XOM,1.0,1.0,1.0,1.0
MO,1.0,0.9968152866242038,1.0,0.9968152866242038
FDX,1.0,0.9944267515923567,1.0,0.9944267515923567
BRK.B,1.0,0.9928343949044586,1.0,0.9928343949044586
COST,1.0,0.9864649681528662,1.0,0.9864649681528662
T,1.0,0.9840764331210191,1.0,0.9840764331210191
IBM,1.0,0.98328025477707,1.0,0.98328025477707
MMM,1.0,0.9713375796178344,1.0,0.9713375796178344
GE,1.0,0.9697452229299363,1.0,0.9697452229299363
GEV,0.4195859872611465,0.43471337579617836,0.43869426751592355,0.4195859872611465
BNY,0.946656050955414,0.0,1.0,0.0
