model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,GLASSO,MSE,8.703577041625977,0.004020767752081156,0.9635439866355014,0.9727422540856822,0.9996525561983777,0.999792735866873
HAR+IV,HAR,real,Identity,MSE,8.706602096557617,0.004021601285785437,0.9638788803780034,0.9729439104618652,1.0,1.0
GHAR+IV-random,GHAR,real,Random,MSE,8.706340789794922,0.004022981971502304,0.9638499519777999,0.9732779390402914,0.9999699875152445,1.0003433174048724
GHAR+fakeIV,GHAR,fake,GLASSO,MSE,8.945720672607422,0.004111419431865215,0.9903509004386876,0.9946735678961247,1.0274640523820822,1.0223339261396314
HAR+fakeIV,HAR,fake,Identity,MSE,8.974241256713867,0.004116734955459833,0.9935083191849877,0.9959595497587671,1.0307397946050696,1.0236556692008856
GHAR_RANDOM,GHAR,none,Random,MSE,9.016736030578613,0.004124144092202187,0.9982127738735582,0.9977520383629288,1.0356205475547822,1.025498004185346
GHAR,GHAR,none,GLASSO,MSE,9.01930046081543,0.0041304584592580795,0.9984966733923437,0.9992796699054107,1.0359150861369266,1.0270681168362972
HAR,HAR,none,Identity,MSE,9.032879829406738,0.004133435897529125,1.0,1.0,1.0374747495326706,1.027808478214629
GNNHAR1L,GNNHAR,none,GLASSO,MSE,9.109358787536621,0.004270276054739952,1.008466730386571,1.0331056681664343,1.046258768519839,1.0618347646330504
GNNHAR3L-IV,GNNHAR,real,GLASSO,MSE,9.773906707763672,0.004606187809258699,1.0820366142749407,1.1143726244822556,1.122585665380073,1.1453616313331496
GNNHAR1L-IV,GNNHAR,real,GLASSO,MSE,9.623605728149414,0.004607579205185175,1.0653972940965688,1.1147092441761302,1.1053227908456225,1.1457076119084477
GNNHAR2L,GNNHAR,none,GLASSO,MSE,9.955597877502441,0.004701193422079086,1.102151037711337,1.137357283050973,1.1434538717967424,1.1689854582789458
GNNHAR2L-IV,GNNHAR,real,GLASSO,MSE,10.622841835021973,0.005243583116680384,1.176019390896697,1.2685773401771827,1.2200904230161145,1.303854545505072
GNNHAR3L-IV-random,GNNHAR,real,Random,MSE,11.013106346130371,0.0053938752971589565,1.2192242733349514,1.3049374493465093,1.2649143976023312,1.3412257739781155
GNNHAR3L,GNNHAR,none,GLASSO,MSE,11.664488792419434,0.0057754418812692165,1.2913366515123377,1.397249654874688,1.33972916909012,1.4361050414626688
GNNHAR1L-IV+fakeIV,GNNHAR,fake,GLASSO,MSE,12.242280960083008,0.0061072101816535,1.3553020953769355,1.4775141874836506,1.4060917019422896,1.5186016085780951
