universe,n_assets,comparison,base_model,improved_model,mse_gain,qlike_gain
Dow30,30,Graph gain without IV: GHAR vs HAR,HAR,GHAR,0.03744666844152067,0.013236497768116195
Dow30,30,Graph gain with IV: GHAR+IV vs HAR+IV,HAR+IV,GHAR+IV,0.018342503369840335,0.009936639888463161
Dow30,30,IV gain in HAR: HAR+IV vs HAR,HAR,HAR+IV,0.07154787467584856,0.035468440559548786
Dow30,30,IV gain in GHAR: GHAR+IV vs GHAR,GHAR,GHAR+IV,0.05312052932073308,0.032242929016616184
Dow30,30,Best non-IV GNN vs GHAR: GNNHAR1L,GHAR,GNNHAR1L,-0.057961156524308555,-0.044206321331932585
Dow30,30,Best IV GNN vs GHAR+IV: GNNHAR3L-IV,GHAR+IV,GNNHAR3L-IV,0.0652968437676108,-0.0005638092175479503
Dow30,30,IV gain in best GNN: GNNHAR3L-IV vs GNNHAR1L,GNNHAR1L,GNNHAR3L-IV,0.163436933050359,0.07269025138131946
S&P100,99,Graph gain without IV: GHAR vs HAR,HAR,GHAR,0.002428587094097656,0.0023443316858842156
S&P100,99,Graph gain with IV: GHAR+IV vs HAR+IV,HAR+IV,GHAR+IV,0.001033783702039548,0.0017154932102320108
S&P100,99,IV gain in HAR: HAR+IV vs HAR,HAR,HAR+IV,0.04320415138597,0.03898792343495194
S&P100,99,IV gain in GHAR: GHAR+IV vs GHAR,GHAR,GHAR+IV,0.04186636034876845,0.03838218200681809
S&P100,99,Best non-IV GNN vs GHAR: GNNHAR1L,GHAR,GNNHAR1L,-0.011799738952335215,-0.01841334981363607
S&P100,99,Best IV GNN vs GHAR+IV: GNNHAR3L-IV,GHAR+IV,GNNHAR3L-IV,-0.022985557770351717,-0.0401313293133152
S&P100,99,IV gain in best GNN: GNNHAR3L-IV vs GNNHAR1L,GNNHAR1L,GNNHAR3L-IV,0.03127384002682909,0.017875384780010495
S&P500,449,Graph gain without IV: GHAR vs HAR,HAR,GHAR,0.0015033266076562857,0.0007203300946024838
S&P500,449,Graph gain with IV: GHAR+IV vs HAR+IV,HAR+IV,GHAR+IV,0.0003474438016223269,0.00020726413313176817
S&P500,449,IV gain in HAR: HAR+IV vs HAR,HAR,HAR+IV,0.0361211196219966,0.02705608953813765
S&P500,449,IV gain in GHAR: GHAR+IV vs GHAR,GHAR,GHAR+IV,0.035005311172537246,0.026556545298510148
S&P500,449,Best non-IV GNN vs GHAR: GNNHAR1L,GHAR,GNNHAR1L,-0.009985067812348758,-0.03385038170968979
S&P500,449,Best IV GNN vs GHAR+IV: GNNHAR3L-IV,GHAR+IV,GNNHAR3L-IV,-0.12297583637379272,-0.145599072931903
S&P500,449,IV gain in best GNN: GNNHAR3L-IV vs GNNHAR1L,GNNHAR1L,GNNHAR3L-IV,-0.07295221713478717,-0.07866277266685051
