model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR1L,1,MSE,8,0.0003,250,20260602,20.847640991210938,0.009768404997885227,10.64406967163086,0.005951778031885624,False
GNNHAR1L,1,MSE,8,0.0003,300,20260602,16.446826934814453,0.007702349219471216,8.598878860473633,0.005021301563829184,False
GNNHAR1L,1,MSE,8,0.0003,500,20260602,7.136298656463623,0.0037475461140275,5.294989585876465,0.003395549487322569,False
GNNHAR1L,1,MSE,8,0.001,250,20260602,3.547619342803955,0.0022010160610079765,3.02497935295105,0.0019221478141844273,False
GNNHAR1L,1,MSE,8,0.001,300,20260602,2.825911521911621,0.0018623641226440668,2.451871871948242,0.0016141877276822925,False
GNNHAR1L,1,MSE,8,0.001,500,20260602,1.874076247215271,0.0013643695274367929,1.7956136465072632,0.001373920007608831,False
GNNHAR1L,1,MSE,8,0.003,250,20260602,1.6408880949020386,0.0012303421972319484,1.7518913745880127,0.0013132041785866022,False
GNNHAR1L,1,MSE,8,0.003,300,20260602,1.4680852890014648,0.0011240122839808464,1.5588254928588867,0.0011564481537789106,False
GNNHAR1L,1,MSE,8,0.003,500,20260602,1.0985816717147827,0.0009004775201901793,1.141969919204712,0.0008640968590043485,False
GNNHAR1L,1,MSE,16,0.0003,250,20260602,11.78027629852295,0.005971434526145458,11.865569114685059,0.008731205947697163,False
GNNHAR1L,1,MSE,16,0.0003,300,20260602,9.085334777832031,0.004765273537486792,10.688712120056152,0.007686401717364788,False
GNNHAR1L,1,MSE,16,0.0003,500,20260602,5.685970783233643,0.0033232432324439287,7.993072986602783,0.0056630708277225494,False
GNNHAR1L,1,MSE,16,0.001,250,20260602,3.81138014793396,0.0024526531342417,5.267717361450195,0.0037489566020667553,False
GNNHAR1L,1,MSE,16,0.001,300,20260602,3.3059117794036865,0.0021960039157420397,4.37265682220459,0.0031076311133801937,False
GNNHAR1L,1,MSE,16,0.001,500,20260602,2.2970781326293945,0.001650237012654543,2.5857656002044678,0.001876225695014,False
GNNHAR1L,1,MSE,16,0.003,250,20260602,1.9699894189834595,0.0014459645608440042,2.0248687267303467,0.00149559136480093,False
GNNHAR1L,1,MSE,16,0.003,300,20260602,1.8104833364486694,0.0013393888948485255,1.7826554775238037,0.0013189176097512245,False
GNNHAR1L,1,MSE,16,0.003,500,20260602,1.3601444959640503,0.001040306524373591,1.3248076438903809,0.0009792540222406387,False
GNNHAR1L,1,MSE,32,0.0003,250,20260602,9.524553298950195,0.005427215714007616,10.598955154418945,0.007348576560616493,False
GNNHAR1L,1,MSE,32,0.0003,300,20260602,7.114304542541504,0.004309715703129768,9.64536190032959,0.0064810169860720634,False
GNNHAR1L,1,MSE,32,0.0003,500,20260602,4.054314613342285,0.002694695722311735,5.800930023193359,0.0038315034471452236,False
GNNHAR1L,1,MSE,32,0.001,250,20260602,2.5379536151885986,0.0017954662907868624,3.3589091300964355,0.002237010281533003,False
GNNHAR1L,1,MSE,32,0.001,300,20260602,2.210935354232788,0.0015926369233056903,2.7211966514587402,0.0018771705217659473,False
GNNHAR1L,1,MSE,32,0.001,500,20260602,1.5774126052856445,0.0011747173266485333,1.6901116371154785,0.001168769784271717,False
GNNHAR1L,1,MSE,32,0.003,250,20260602,1.4501755237579346,0.0010938540799543262,1.6156967878341675,0.0011157011613249779,False
GNNHAR1L,1,MSE,32,0.003,300,20260602,1.2816869020462036,0.000986578525044024,1.4192209243774414,0.0009756236686371267,False
GNNHAR1L,1,MSE,32,0.003,500,20260602,1.0751492977142334,0.0008691803086549044,1.1937639713287354,0.0008661962929181755,False
GNNHAR1L,1,MSE,64,0.0003,250,20260602,4.408142566680908,0.002778729423880577,4.810126781463623,0.0037346461322158575,False
GNNHAR1L,1,MSE,64,0.0003,300,20260602,3.645646810531616,0.0023904794361442327,3.6879193782806396,0.002946019172668457,False
GNNHAR1L,1,MSE,64,0.0003,500,20260602,2.0536177158355713,0.0014948815805837512,1.8384429216384888,0.0015230427961796522,False
GNNHAR1L,1,MSE,64,0.001,250,20260602,1.4548606872558594,0.001132693374529481,1.5255320072174072,0.0013812584802508354,False
GNNHAR1L,1,MSE,64,0.001,300,20260602,1.2393718957901,0.0009935410926118493,1.2839205265045166,0.0010875004809349775,False
GNNHAR1L,1,MSE,64,0.001,500,20260602,1.0667442083358765,0.0008541436982341111,1.1676597595214844,0.0008778529590927064,False
GNNHAR1L,1,MSE,64,0.003,250,20260602,1.0098150968551636,0.0008382383966818452,1.1906479597091675,0.0008775708265602589,False
GNNHAR1L,1,MSE,64,0.003,300,20260602,1.0012325048446655,0.0008329321281053126,1.1854703426361084,0.0008719614124856889,False
GNNHAR1L,1,MSE,64,0.003,500,20260602,0.9879851937294006,0.0008245925419032574,1.1484525203704834,0.0008476105867885053,True
GNNHAR2L,2,MSE,8,0.0003,250,20260603,6.72944450378418,0.006614178419113159,10.565585136413574,0.010720447637140751,False
GNNHAR2L,2,MSE,8,0.0003,300,20260603,5.621981143951416,0.005735338665544987,9.764387130737305,0.009541361592710018,False
GNNHAR2L,2,MSE,8,0.0003,500,20260603,3.783705949783325,0.0038996729999780655,6.850638389587402,0.006329422350972891,False
GNNHAR2L,2,MSE,8,0.001,250,20260603,2.599138021469116,0.0024826074950397015,4.475862979888916,0.003924175631254911,False
GNNHAR2L,2,MSE,8,0.001,300,20260603,2.178586721420288,0.0019938480108976364,3.20478892326355,0.0029480268713086843,False
GNNHAR2L,2,MSE,8,0.001,500,20260603,1.5288084745407104,0.0012146752560511231,1.6073392629623413,0.0013437960296869278,False
GNNHAR2L,2,MSE,8,0.003,250,20260603,1.1777136325836182,0.0009499529260210693,1.1818279027938843,0.0009195227758027613,False
GNNHAR2L,2,MSE,8,0.003,300,20260603,1.107404351234436,0.0008953841752372682,1.1241196393966675,0.0008593835518695414,False
GNNHAR2L,2,MSE,8,0.003,500,20260603,1.015320062637329,0.0008413115283474326,1.1326286792755127,0.0008616354316473007,True
GNNHAR2L,2,MSE,16,0.0003,250,20260603,3.787266969680786,0.002602985594421625,5.188915252685547,0.003694216487929225,False
GNNHAR2L,2,MSE,16,0.0003,300,20260603,2.959259510040283,0.0021145548671483994,3.79805326461792,0.0027534239925444126,False
GNNHAR2L,2,MSE,16,0.0003,500,20260603,1.8359211683273315,0.0013602349208667874,2.3280975818634033,0.001957105239853263,False
GNNHAR2L,2,MSE,16,0.001,250,20260603,1.402986764907837,0.0010772596579045057,1.619760513305664,0.0012392905773594975,False
GNNHAR2L,2,MSE,16,0.001,300,20260603,1.2132935523986816,0.0009534197743050754,1.3572989702224731,0.0010100979125127196,False
GNNHAR2L,2,MSE,16,0.001,500,20260603,1.0678564310073853,0.0008595719118602574,1.1526190042495728,0.0008636353304609656,False
GNNHAR2L,2,MSE,16,0.003,250,20260603,1.054577112197876,0.000855040445458144,1.1095377206802368,0.0008590453653596342,False
GNNHAR2L,2,MSE,16,0.003,300,20260603,1.0403488874435425,0.000848499359562993,1.1065013408660889,0.0008557781111449003,False
GNNHAR2L,2,MSE,16,0.003,500,20260603,1.0248520374298096,0.0008413151372224092,1.1139012575149536,0.000859565450809896,False
GNNHAR2L,2,MSE,32,0.0003,250,20260603,2.686944007873535,0.0018672770820558071,2.8905019760131836,0.002197787631303072,False
GNNHAR2L,2,MSE,32,0.0003,300,20260603,2.3165504932403564,0.0016174481716006994,2.320152521133423,0.0017876672791317105,False
