model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,GLASSO,MSE,1.0272092819213867,0.000784933683462441,0.9114218926837524,0.9549478300470687,0.9816576084634723,0.9900633601115504
HAR+IV,HAR,real,Identity,MSE,1.0464028120040894,0.0007928115664981306,0.9284519213479581,0.9645320375652271,1.0,1.0
GNNHAR3L-IV,GNNHAR,real,GLASSO,MSE,0.9591478109359741,0.000796432897914201,0.8510323344932993,0.9689377378817217,0.916614328567215,1.0045677075979933
GHAR,GHAR,none,GLASSO,MSE,1.0848363637924194,0.0008110853959806263,0.9625532297473107,0.9867639205619956,1.036729213021438,1.0230493981857653
GNNHAR2L-IV,GNNHAR,real,GLASSO,MSE,1.0179883241653442,0.0008119771955534816,0.9032403245084247,0.987848881094175,0.9728455547779682,1.02417425510075
GHAR+fakeIV,GHAR,fake,GLASSO,MSE,1.0896912813186646,0.0008136118412949145,0.9668608992733465,0.9898375859192645,1.0413688388620328,1.0262360889721365
GHAR_RANDOM,GHAR,none,Random,MSE,1.0900601148605347,0.0008141531143337488,0.9671881577694805,0.9904960969817759,1.0417213164525352,1.0269188149333952
HAR+fakeIV,HAR,fake,Identity,MSE,1.1216925382614136,0.000820704095531255,0.9952549633500101,0.9984659999315925,1.071950997640314,1.0351817887273347
HAR,HAR,none,Identity,MSE,1.1270403861999512,0.0008219649898819625,1.0,1.0,1.0770616948567093,1.036772197348991
GNNHAR1L-IV,GNNHAR,real,GLASSO,MSE,1.0368977785110474,0.0008348203264176846,0.9200182985519816,1.0156397616613428,0.9909164679375835,1.052987067412636
GNNHAR1L,GNNHAR,none,GLASSO,MSE,1.1484525203704834,0.0008476105867885053,1.0189985509239181,1.0312003518668424,1.0975243063146463,1.0691198547120389
GNNHAR2L,GNNHAR,none,GLASSO,MSE,1.1326286792755127,0.0008616354316473007,1.0049583787271401,1.0482629336451847,1.0824021746523043,1.086809865114818
GNNHAR1L-IV+fakeIV,GNNHAR,fake,GLASSO,MSE,1.1785882711410522,0.0008702272898517549,1.0457373893360693,1.0587157610894389,1.1263236849333373,1.097647065992707
GNNHAR3L,GNNHAR,none,GLASSO,MSE,1.1904760599136353,0.0008962041465565562,1.056285182403774,1.0903191225763214,1.1376843088118371,1.1304125525250766
