regime,model,n_dates,mse,qlike
calm,GHAR+IV,139,0.6063506007194519,0.0006554241990670562
calm,HAR+IV,139,0.6067944765090942,0.0006596291204914451
calm,GHAR,139,0.6349889039993286,0.0006759028183296323
calm,GHAR_RANDOM,139,0.6364780068397522,0.0006775925867259502
calm,GHAR+fakeIV,139,0.6395889520645142,0.0006778239621780813
calm,HAR+fakeIV,139,0.635850191116333,0.0006784641300328076
calm,HAR,139,0.6364715695381165,0.0006791693740524352
calm,GNNHAR2L-IV,139,0.6267408132553101,0.0006888495991006494
calm,GNNHAR1L,139,0.6601281762123108,0.0007004754734225571
calm,GNNHAR3L-IV,139,0.6285359263420105,0.0007112101884558797
calm,GNNHAR2L,139,0.6824067831039429,0.0007209601462818682
calm,GNNHAR1L-IV,139,0.6609367728233337,0.0007327544153667986
calm,GNNHAR1L-IV+fakeIV,139,0.7323440313339233,0.0007450972334481776
calm,GNNHAR3L,139,0.7122458815574646,0.0007499690400436521
volatile_top_quartile,GNNHAR3L-IV,47,1.9369148015975952,0.0010484745725989342
volatile_top_quartile,GNNHAR1L-IV,47,2.148782253265381,0.0011366751277819276
volatile_top_quartile,GHAR+IV,47,2.2718770503997803,0.0011679510353133082
volatile_top_quartile,GNNHAR2L-IV,47,2.175081729888916,0.0011761205969378352
volatile_top_quartile,HAR+IV,47,2.3465206623077393,0.00118669169023633
volatile_top_quartile,GHAR,47,2.415236234664917,0.001210880815051496
volatile_top_quartile,GHAR+fakeIV,47,2.420844554901123,0.0012151972623541951
volatile_top_quartile,GHAR_RANDOM,47,2.431504964828491,0.0012180235935375094
volatile_top_quartile,GNNHAR1L-IV+fakeIV,47,2.4983317852020264,0.0012402929132804275
volatile_top_quartile,HAR+fakeIV,47,2.558544874191284,0.0012413712684065104
volatile_top_quartile,HAR,47,2.577871561050415,0.001244275365024805
volatile_top_quartile,GNNHAR2L,47,2.4641361236572266,0.0012776748044416308
volatile_top_quartile,GNNHAR1L,47,2.5926458835601807,0.0012827548198401928
volatile_top_quartile,GNNHAR3L,47,2.604816436767578,0.0013286869507282972
