array,shape,n_dates,n_tickers,finite_share,nonpositive_count,min,max
truth,"(234, 30)",234,30,1.0,0,0.29349204897880554,51.11103057861328
pred_GHAR_M,"(234, 30)",234,30,1.0,0,0.3142286539077759,49.92515182495117
pred_GHAR_M_IV,"(234, 30)",234,30,1.0,0,0.25895509123802185,50.47301483154297
pred_GHAR_Q,"(234, 30)",234,30,1.0,0,0.3071978688240051,50.384620666503906
pred_GHAR_Q_IV,"(234, 30)",234,30,1.0,0,0.30433353781700134,49.113712310791016
pred_GNNHAR1L_M,"(234, 30)",234,30,1.0,0,0.32268190383911133,49.91880416870117
pred_GNNHAR1L_M_IV,"(234, 30)",234,30,1.0,0,0.24954861402511597,50.222293853759766
pred_GNNHAR1L_Q,"(234, 30)",234,30,1.0,0,0.3034144937992096,50.36833953857422
pred_GNNHAR1L_Q_IV,"(234, 30)",234,30,1.0,0,0.30900025367736816,49.27658462524414
pred_GNNHAR2L_M,"(234, 30)",234,30,1.0,0,0.33507201075553894,49.99164581298828
pred_GNNHAR2L_M_IV,"(234, 30)",234,30,1.0,0,0.2747018337249756,50.164573669433594
pred_GNNHAR2L_Q,"(234, 30)",234,30,1.0,0,0.3360608220100403,50.31760025024414
pred_GNNHAR2L_Q_IV,"(234, 30)",234,30,1.0,0,0.29545682668685913,49.16905975341797
pred_GNNHAR3L_M,"(234, 30)",234,30,1.0,0,0.3274168372154236,49.85261917114258
pred_GNNHAR3L_M_IV,"(234, 30)",234,30,1.0,0,0.2626800537109375,50.124759674072266
pred_GNNHAR3L_Q,"(234, 30)",234,30,1.0,0,0.3114872872829437,50.24953079223633
pred_GNNHAR3L_Q_IV,"(234, 30)",234,30,1.0,0,0.30930089950561523,49.35941696166992
pred_GNNHAR4L_M,"(234, 30)",234,30,1.0,0,0.3666950464248657,49.80561065673828
pred_GNNHAR4L_M_IV,"(234, 30)",234,30,1.0,0,0.26160842180252075,50.47288131713867
pred_GNNHAR4L_Q,"(234, 30)",234,30,1.0,0,0.32632768154144287,50.18513107299805
pred_GNNHAR4L_Q_IV,"(234, 30)",234,30,1.0,0,0.30640870332717896,49.260902404785156
pred_GNNHAR5L_M,"(234, 30)",234,30,1.0,0,0.2230803370475769,49.940399169921875
pred_GNNHAR5L_M_IV,"(234, 30)",234,30,1.0,0,0.24619603157043457,50.22275924682617
pred_GNNHAR5L_Q,"(234, 30)",234,30,1.0,0,0.31848037242889404,50.34366226196289
pred_GNNHAR5L_Q_IV,"(234, 30)",234,30,1.0,0,0.30922216176986694,49.18165588378906
pred_HAR_M,"(234, 30)",234,30,1.0,0,0.35952234268188477,50.10394287109375
pred_HAR_M_IV,"(234, 30)",234,30,1.0,0,0.2450014054775238,50.568302154541016
pred_HAR_Q,"(234, 30)",234,30,1.0,0,0.32922056317329407,50.79710006713867
pred_HAR_Q_IV,"(234, 30)",234,30,1.0,0,0.3045736253261566,49.292049407958984
