model,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss
GNNHAR2L_Q_IV,0.9420450329780579,0.014574654400348663,0.98577285,0.92323387,GNNHAR,2.0,True,QLIKE-trained
HAR_Q_IV,0.9379549026489258,0.014630250632762909,0.9814929,0.9267556,HAR,,True,QLIKE-trained
GNNHAR1L_Q_IV,0.9397223591804504,0.014659852720797062,0.98334235,0.92863077,GNNHAR,1.0,True,QLIKE-trained
GNNHAR4L_Q_IV,0.9432348012924194,0.014663529582321644,0.9870178,0.9288637,GNNHAR,4.0,True,QLIKE-trained
GHAR_Q_IV,0.9408584833145142,0.014665273949503899,0.9845312,0.92897415,GHAR,,True,QLIKE-trained
GNNHAR3L_Q_IV,0.941174328327179,0.014689936302602291,0.98486173,0.9305364,GNNHAR,3.0,True,QLIKE-trained
GNNHAR5L_Q_IV,0.9406143426895142,0.014692197553813457,0.98427576,0.9306797,GNNHAR,5.0,True,QLIKE-trained
HAR_M_IV,0.9160946607589722,0.015253954567015171,0.9586179,0.96626425,HAR,,True,MSE-trained
GNNHAR5L_M_IV,0.9256041049957275,0.015351076610386372,0.96856874,0.97241646,GNNHAR,5.0,True,MSE-trained
GHAR_M_IV,0.917839527130127,0.015374293550848961,0.96044374,0.97388715,GHAR,,True,MSE-trained
GNNHAR5L_Q,0.9596192836761475,0.015441345982253551,1.0041629,0.9781346,GNNHAR,5.0,False,QLIKE-trained
GHAR_Q,0.9593486785888672,0.015476705506443977,1.0038797,0.98037446,GHAR,,False,QLIKE-trained
GNNHAR1L_Q,0.9599947333335876,0.015477078035473824,1.0045557,0.98039806,GNNHAR,1.0,False,QLIKE-trained
GNNHAR4L_Q,0.9602615237236023,0.015507678501307964,1.0048349,0.9823364,GNNHAR,4.0,False,QLIKE-trained
HAR_Q,0.9621471762657166,0.015519668348133564,1.006808,0.98309594,HAR,,False,QLIKE-trained
GNNHAR2L_M_IV,0.9246084094047546,0.015550500713288784,0.96752685,0.985049,GNNHAR,2.0,True,MSE-trained
GNNHAR1L_M_IV,0.9248043894767761,0.015558711253106594,0.9677319,0.9855691,GNNHAR,1.0,True,MSE-trained
GHAR_M,0.9566693305969238,0.015699755400419235,1.001076,0.99450356,GHAR,,False,MSE-trained
GNNHAR3L_M_IV,0.9250919818878174,0.015717150643467903,0.96803284,0.99560547,GNNHAR,3.0,True,MSE-trained
HAR_M,0.9556410908699036,0.01578652486205101,1.0,1.0,HAR,,False,MSE-trained
GNNHAR4L_M_IV,0.9250535368919373,0.015861203894019127,0.96799266,1.0047306,GNNHAR,4.0,True,MSE-trained
GNNHAR1L_M,0.9598860144615173,0.015927555039525032,1.004442,1.0089335,GNNHAR,1.0,False,MSE-trained
GNNHAR2L_M,0.961474597454071,0.015978438779711723,1.0061042,1.0121568,GNNHAR,2.0,False,MSE-trained
GNNHAR3L_Q,0.9967593550682068,0.0159845519810915,1.0430269,1.012544,GNNHAR,3.0,False,QLIKE-trained
GNNHAR3L_M,0.9592120051383972,0.016004305332899094,1.0037366,1.0137954,GNNHAR,3.0,False,MSE-trained
GNNHAR4L_M,0.9599075317382812,0.016017844900488853,1.0044645,1.014653,GNNHAR,4.0,False,MSE-trained
GNNHAR2L_Q,0.9949781894683838,0.016062505543231964,1.0411631,1.017482,GNNHAR,2.0,False,QLIKE-trained
GNNHAR5L_M,0.9632316827774048,0.016398154199123383,1.0079429,1.0387437,GNNHAR,5.0,False,MSE-trained
