model,metric,mean_loss,rank_mean_loss,mcs_included,mcs_pvalue,n_dates,alpha,bootstrap,block_size,algorithm,status
HAR_M_IV,MSE,0.9160946607589722,1,True,1.0,234,0.05,10000,2,SQ,ok
GHAR_M_IV,MSE,0.917839527130127,2,True,0.2872,234,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,MSE,0.9246084094047546,3,True,0.162,234,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,MSE,0.9248043894767761,4,True,0.1213,234,0.05,10000,2,SQ,ok
GNNHAR4L_M_IV,MSE,0.9250535368919373,5,True,0.1213,234,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,MSE,0.9250919818878174,6,True,0.1521,234,0.05,10000,2,SQ,ok
GNNHAR5L_M_IV,MSE,0.9256041049957275,7,True,0.1213,234,0.05,10000,2,SQ,ok
HAR_Q_IV,MSE,0.9379549026489258,8,True,0.1028,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,MSE,0.9397223591804504,9,True,0.0856,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q_IV,MSE,0.9406143426895142,10,True,0.0894,234,0.05,10000,2,SQ,ok
GHAR_Q_IV,MSE,0.9408584833145142,11,True,0.0856,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,MSE,0.941174328327179,12,True,0.0828,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q_IV,MSE,0.9420450329780579,13,True,0.0832,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q_IV,MSE,0.9432348012924194,14,True,0.0717,234,0.05,10000,2,SQ,ok
HAR_M,MSE,0.9556410908699036,15,False,0.0479,234,0.05,10000,2,SQ,ok
GHAR_M,MSE,0.9566693305969238,16,False,0.0253,234,0.05,10000,2,SQ,ok
GNNHAR3L_M,MSE,0.9592120051383972,17,False,0.0195,234,0.05,10000,2,SQ,ok
GHAR_Q,MSE,0.9593486785888672,18,False,0.0172,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q,MSE,0.9596192836761475,19,False,0.0182,234,0.05,10000,2,SQ,ok
GNNHAR1L_M,MSE,0.9598860144615173,20,False,0.0145,234,0.05,10000,2,SQ,ok
GNNHAR4L_M,MSE,0.9599075317382812,21,False,0.0155,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q,MSE,0.9599947333335876,22,False,0.0148,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q,MSE,0.9602615237236023,23,False,0.0102,234,0.05,10000,2,SQ,ok
GNNHAR2L_M,MSE,0.961474597454071,24,False,0.0095,234,0.05,10000,2,SQ,ok
HAR_Q,MSE,0.9621471762657166,25,False,0.0301,234,0.05,10000,2,SQ,ok
GNNHAR5L_M,MSE,0.9632316827774048,26,False,0.0082,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q,MSE,0.9949781894683838,27,False,0.0102,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q,MSE,0.9967593550682068,28,False,0.0071,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q_IV,QLIKE,0.014574654400348663,1,True,1.0,234,0.05,10000,2,SQ,ok
HAR_Q_IV,QLIKE,0.014630250632762909,2,True,0.4731,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,QLIKE,0.014659852720797062,3,True,0.4592,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q_IV,QLIKE,0.014663529582321644,4,True,0.4592,234,0.05,10000,2,SQ,ok
GHAR_Q_IV,QLIKE,0.014665273949503899,5,True,0.4592,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,QLIKE,0.014689936302602291,6,True,0.4042,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q_IV,QLIKE,0.014692197553813457,7,True,0.3764,234,0.05,10000,2,SQ,ok
HAR_M_IV,QLIKE,0.015253954567015171,8,False,0.0011,234,0.05,10000,2,SQ,ok
GNNHAR5L_M_IV,QLIKE,0.015351076610386372,9,False,0.001,234,0.05,10000,2,SQ,ok
GHAR_M_IV,QLIKE,0.015374293550848961,10,False,0.001,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q,QLIKE,0.015441345982253551,11,False,0.0309,234,0.05,10000,2,SQ,ok
GHAR_Q,QLIKE,0.015476705506443977,12,False,0.001,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q,QLIKE,0.015477078035473824,13,False,0.0011,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q,QLIKE,0.015507678501307964,14,False,0.001,234,0.05,10000,2,SQ,ok
