GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.2608119,0.15730841,0.249464,0.23422292,0.27721173,0.16754314,0.24699385,0.23425141,0.28248897,0.18066224,0.24778894,0.24855107,0.29556647,0.18523984,0.24788688,0.24524102,0.2893699,0.20588957,0.25019678,0.24920394,0.2824522,0.19274095,0.2464221,0.24078308,0.2521838,0.17245147,0.22395231,0.2363781
0.19630073,0.12774411,0.19049543,0.18927987,0.20757243,0.13732918,0.1891654,0.18919063,0.20814252,0.14166163,0.18723847,0.19215137,0.21932857,0.13915497,0.18850859,0.18966511,0.2188989,0.1486478,0.18829885,0.196355,0.20387115,0.1470975,0.1873316,0.191853,0.19228598,0.13048477,0.17552383,0.18638457
0.02141108,0.025762256,0.010114204,0.012973213,0.026075277,0.021797307,0.010005313,0.012608907,0.028290598,0.028133297,0.011832478,0.014234344,0.025143398,0.018653488,0.010961562,0.012884872,0.026216023,0.019791063,0.01112611,0.014041942,0.02807063,0.013913718,0.010800492,0.013866675,0.016426908,0.026382904,0.007535159,0.013586279
0.22862379,0.33777818,0.23137502,0.23910867,0.21942471,0.316853,0.23288122,0.23758918,0.22185133,0.32766232,0.23504153,0.23664618,0.20839824,0.3003036,0.23443294,0.23668708,0.20957017,0.3117834,0.23310633,0.23700191,0.22463273,0.29955265,0.23642544,0.23835853,0.23267473,0.35210747,0.25383824,0.24384022
0.19648892,0.28042954,0.20653012,0.2428854,0.19751711,0.27474752,0.20743348,0.2412668,0.19158407,0.27860144,0.20629998,0.24155663,0.19526276,0.26919082,0.20864588,0.24067028,0.19709203,0.26081035,0.2064282,0.23841037,0.19680129,0.25923303,0.20885271,0.24241656,0.19400223,0.292885,0.21341808,0.24820803
0.24130186,0.24625516,0.23529594,0.2294459,0.23670357,0.2354007,0.23489706,0.22530636,0.22712153,0.2346341,0.23490618,0.22464983,0.22708455,0.21458162,0.23995997,0.21890943,0.23558325,0.20198491,0.23504226,0.22050793,0.23481677,0.21200672,0.24271272,0.2263702,0.24126087,0.24032043,0.23473474,0.22999707
0.040036444,0.07541687,0.04017415,0.04007993,0.03826324,0.06852982,0.040613946,0.03953501,0.040174205,0.06666915,0.039196927,0.036727853,0.04035396,0.055463113,0.040068984,0.037602246,0.038739026,0.061873436,0.03936301,0.036489315,0.039054796,0.054676604,0.040405784,0.037688266,0.044521313,0.07503758,0.047070213,0.04170131
0.114099704,0.16140778,0.11439399,0.13784212,0.11155285,0.15269282,0.11411647,0.13640876,0.109039925,0.14491846,0.11340965,0.13345194,0.10799373,0.1360445,0.11585567,0.13295124,0.109057866,0.13844083,0.113834746,0.13223544,0.10886196,0.13558906,0.11685196,0.13495556,0.11152938,0.16869307,0.112383336,0.14092088
0.06299634,0.11267686,0.062155697,0.076412685,0.059647664,0.10789906,0.06269209,0.07511876,0.056005277,0.099429704,0.058754988,0.06685562,0.055255163,0.08952748,0.06139531,0.071548834,0.05641697,0.09472264,0.058350638,0.06770321,0.05832381,0.08741902,0.061703622,0.07189239,0.06545392,0.111989476,0.068854116,0.07550458
0.097918384,0.12872043,0.10137146,0.11527624,0.09621085,0.12878488,0.101482116,0.11463679,0.09761708,0.121944204,0.10111084,0.11160578,0.097438306,0.119909644,0.10211852,0.11377232,0.0968601,0.11669865,0.10163572,0.111717604,0.09724936,0.116833754,0.10269858,0.114271775,0.09935854,0.1353236,0.10508468,0.1160146
0.033338014,0.07561183,0.03243361,0.066073336,0.033067975,0.08039124,0.032333862,0.06537822,0.03252532,0.074293144,0.03191155,0.062411502,0.033131376,0.074270025,0.032548673,0.0654868,0.032882832,0.0683332,0.032080505,0.06263861,0.03173564,0.06931529,0.03266993,0.06494413,0.031519372,0.082068,0.031829063,0.06414218
0.030821944,0.04291852,0.030205326,0.037468385,0.029548531,0.04340963,0.030241927,0.03676622,0.029424995,0.037954323,0.030651797,0.032956295,0.029907912,0.038665358,0.03090532,0.034669343,0.029711049,0.038859375,0.03090054,0.033820376,0.03017665,0.03417476,0.031716198,0.03508552,0.03290343,0.04158341,0.033623345,0.035579123
0.17688006,0.18725605,0.16933694,0.16936278,0.17191666,0.18037994,0.16946831,0.16704513,0.16971524,0.18198994,0.16735093,0.16987538,0.16767357,0.1801323,0.1672341,0.16763307,0.16900542,0.1931578,0.16550305,0.16878536,0.1715652,0.17980774,0.16716641,0.16869864,0.17603438,0.19653596,0.17085245,0.17581627
11.803787,10.656041,11.698974,10.817439,11.8706875,10.54508,11.69179,10.774916,11.830939,10.587464,11.720414,10.966005,11.9044695,10.80079,11.704454,10.849503,11.904342,10.791122,11.72102,10.914442,11.813457,10.752027,11.701585,10.844922,11.763062,10.511534,11.615106,10.858458
0.52286744,0.4000082,0.487341,0.4151344,0.5369542,0.4009106,0.4858464,0.41567886,0.5420532,0.427424,0.47857514,0.42377722,0.55093545,0.39679688,0.4883205,0.41269007,0.54324806,0.40407905,0.47987998,0.42548114,0.5332537,0.4052219,0.48813835,0.41838259,0.5390354,0.40614,0.48005915,0.42865136
2.4031324,2.2210016,2.4622407,2.31279,2.421871,2.2540705,2.4692545,2.3119857,2.3912477,2.223387,2.4903605,2.3023925,2.403444,2.3104491,2.462641,2.3357801,2.4009755,2.2915838,2.4829822,2.3346133,2.5381331,2.2565532,2.456979,2.3422713,2.3425896,2.2290268,2.4834077,2.3203447
0.26338813,0.17340133,0.252619,0.16825967,0.25239265,0.15783204,0.25223106,0.16688767,0.249266,0.14936392,0.25266162,0.17081007,0.24236079,0.16369018,0.2530387,0.17001262,0.24203724,0.16144553,0.2519066,0.1722732,0.24365161,0.17108902,0.25506526,0.17168249,0.2729457,0.18531568,0.2623119,0.17556806
0.11372913,0.12479219,0.10376788,0.21099824,0.12359154,0.1316312,0.10180729,0.2141262,0.121509,0.13100728,0.10907883,0.21165465,0.1303596,0.12168525,0.10588606,0.21352829,0.12938684,0.11597453,0.108496755,0.22079508,0.12310009,0.12549391,0.10557232,0.22078548,0.0995865,0.124963395,0.080415,0.19924769
0.067848,0.073335506,0.06459679,0.03432445,0.0695223,0.078456365,0.06609367,0.034305632,0.06552437,0.08218467,0.057834513,0.032793786,0.068184495,0.08059714,0.06291362,0.034650106,0.06568829,0.07921084,0.058922626,0.033064432,0.065663636,0.07370617,0.061627463,0.03388388,0.075525604,0.08342488,0.07976529,0.038410485
