GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.0062981765,0.004463983,0.0061337072,0.0051905075,0.006790233,0.0052380404,0.0061130403,0.0053106626,0.006922217,0.0063701193,0.0056403796,0.0055760266,0.0074089407,0.0063483636,0.0059821527,0.0060999594,0.006827259,0.008380695,0.0057772794,0.0057415008,0.007009232,0.0066062054,0.0058250744,0.005545338,0.0062838476,0.0052370983,0.006017208,0.005281786
0.009992461,0.009658023,0.010783688,0.010053968,0.009991741,0.009806235,0.0107689975,0.010110581,0.01031365,0.010115111,0.010286112,0.009856069,0.01040885,0.009830201,0.010436857,0.00992105,0.010233844,0.0114253955,0.01036427,0.010191023,0.010010858,0.010773762,0.010402676,0.009867505,0.0106839575,0.010479296,0.011474013,0.009911637
0.002814579,0.0027243933,0.0011937101,0.0013700445,0.0031765976,0.002252837,0.0011842847,0.0013095896,0.003549246,0.0027834892,0.0016070803,0.0014811993,0.0025834998,0.0018829624,0.0013807893,0.0014442841,0.0025718133,0.002021134,0.0013861418,0.0016454299,0.0041950303,0.0013617754,0.0013639688,0.0016023318,0.0018282572,0.0024742922,0.00086810987,0.001386722
0.005520757,0.0074346024,0.0041237315,0.0056328853,0.0056071836,0.0069946884,0.0041233897,0.0055371285,0.006088738,0.007062125,0.0047994256,0.0053813336,0.0050469516,0.0054792403,0.004400583,0.0052753966,0.0054358365,0.005946636,0.0045009973,0.0057065925,0.0062119486,0.0055210986,0.0044788956,0.005676325,0.004860135,0.007401705,0.003967059,0.005467578
0.0042199693,0.0056150556,0.0031607747,0.0041133207,0.004135275,0.005171899,0.003143716,0.00388062,0.003757461,0.0051187593,0.0032752275,0.0037564517,0.0036641955,0.004185057,0.0033714373,0.0036352992,0.004133876,0.0040030717,0.0031880736,0.0037502327,0.003980863,0.0039149127,0.0034701864,0.003998347,0.004136014,0.005526801,0.003081433,0.003994628
0.0130488435,0.015915994,0.011924104,0.013002122,0.012332845,0.014550467,0.011874553,0.012409163,0.011258236,0.014009273,0.0120057305,0.011977112,0.01110593,0.011457229,0.0126546705,0.011304172,0.012623306,0.0101654725,0.011972829,0.011522893,0.012458717,0.011394727,0.013034356,0.012391993,0.013343871,0.015340332,0.011801946,0.012961726
0.006674381,0.009221601,0.0062879524,0.0072816056,0.006653925,0.0087680975,0.0062823812,0.00730377,0.007705637,0.008437932,0.006543048,0.0071773767,0.008039455,0.00945822,0.006183223,0.007649052,0.007112396,0.00866408,0.006544562,0.007468756,0.0071032923,0.009080803,0.0061451155,0.0073082447,0.0073070526,0.009890322,0.006606988,0.0074447948
0.03481494,0.039817918,0.03705937,0.037330743,0.033500865,0.037536792,0.036979206,0.036725245,0.03246111,0.03587195,0.03682827,0.036519043,0.031542763,0.034702968,0.037425816,0.03597052,0.03235853,0.035874445,0.036888994,0.0364226,0.032236457,0.035218462,0.03766073,0.036805984,0.033048682,0.042334024,0.035413004,0.039045684
0.0070390385,0.010650226,0.006350803,0.008619078,0.0065976423,0.009945202,0.0063232463,0.008363033,0.0061017475,0.009206796,0.0058963536,0.007717832,0.0059549133,0.008392139,0.0062856437,0.00797331,0.00616529,0.008430549,0.0058867456,0.007729105,0.006415228,0.0082147,0.0063358825,0.008195682,0.0070519764,0.011196387,0.0061516208,0.008813774
0.013791668,0.012651408,0.013950427,0.011904963,0.013692447,0.012563376,0.013962595,0.01197228,0.01429011,0.012216556,0.01427813,0.012211621,0.014787336,0.012163325,0.014005033,0.012061794,0.0144422455,0.011937897,0.014306021,0.012161425,0.014204283,0.012423849,0.014013548,0.012128989,0.014398861,0.013322488,0.014422019,0.012311502
0.008558472,0.009594146,0.008403325,0.009191672,0.0078042867,0.009621481,0.008366565,0.008846239,0.007706451,0.008782888,0.008243056,0.008460375,0.007274163,0.008640135,0.008478741,0.008753887,0.0074396175,0.008552083,0.00825394,0.008668745,0.007797825,0.008733292,0.008539077,0.009053688,0.008224105,0.011052175,0.007863402,0.009580409
0.0027494351,0.0040772795,0.0021183689,0.0033721805,0.0022513946,0.004070163,0.0021139423,0.0031307102,0.002283903,0.0031995615,0.0022261261,0.0025013685,0.0019531648,0.0033356228,0.0021778266,0.0026475866,0.002003173,0.0035052141,0.0021996817,0.0027598143,0.0025818984,0.002594932,0.002305003,0.0029620887,0.0029822947,0.0049541513,0.0021699904,0.003719298
0.012767685,0.015089977,0.011048782,0.0132537205,0.011792286,0.014242482,0.011037954,0.012955829,0.01209654,0.013965416,0.01083306,0.012204563,0.011314869,0.013247395,0.011117919,0.012462199,0.011472348,0.0150358165,0.010773838,0.012538982,0.012717477,0.013392313,0.011196887,0.01280069,0.013262232,0.01651413,0.011095321,0.014373183
0.1189386,0.09529944,0.12190045,0.09995806,0.121170014,0.09461697,0.12176652,0.099797554,0.12013727,0.09483612,0.12310514,0.10311124,0.12416642,0.101529546,0.121737786,0.10226128,0.124399625,0.09491499,0.12329063,0.10189661,0.118817076,0.099586144,0.12158726,0.10192067,0.11867627,0.09386487,0.12173421,0.09789694
0.010313909,0.007221071,0.0072009405,0.0070643225,0.010669267,0.006910205,0.0072073857,0.006934138,0.012414173,0.0071340483,0.009021489,0.0072838785,0.010585006,0.014033691,0.0074353497,0.008194296,0.012624935,0.009274984,0.008336512,0.0072628856,0.022910086,0.008061572,0.0073072514,0.008373094,0.008828294,0.008416605,0.0066861906,0.0077294786
0.027807677,0.026502097,0.024787605,0.027291024,0.027952071,0.02725207,0.02485636,0.026917454,0.029889103,0.02588818,0.027429918,0.027007401,0.026921269,0.031357117,0.025044462,0.02882238,0.027821874,0.030345678,0.026364064,0.028310439,0.03961568,0.028907446,0.024896724,0.02918429,0.024704937,0.028434617,0.023929965,0.027057283
0.010273795,0.009305386,0.008386505,0.008751893,0.010113255,0.009812327,0.008363319,0.0085036075,0.010306287,0.0089854,0.008866131,0.008375224,0.009257543,0.009785827,0.00861001,0.00947632,0.010055824,0.008313799,0.008899804,0.008872334,0.009735262,0.009847443,0.008697892,0.009433082,0.010237289,0.011569766,0.008180646,0.0095991455
0.008501072,0.011558684,0.007329146,0.011189492,0.0073992093,0.011372932,0.0073179165,0.011068368,0.007285098,0.011005449,0.0072814664,0.010393611,0.007506609,0.0119555,0.007861634,0.012474211,0.0069741923,0.009631578,0.0074543557,0.010892761,0.0087308725,0.010695247,0.008085664,0.011471824,0.008438591,0.013967768,0.007184418,0.012440288
0.012062335,0.014469373,0.013906745,0.013418158,0.01356219,0.018502673,0.013874129,0.013318884,0.012674686,0.013946044,0.014445503,0.012717184,0.014273954,0.012763711,0.01299142,0.012101233,0.012996987,0.012552738,0.01357313,0.012392473,0.012218241,0.0138229765,0.012590531,0.012527117,0.011692989,0.014264226,0.013749321,0.012039149
0.07049932,0.050151374,0.0730455,0.050356667,0.075564034,0.05030826,0.0730432,0.049941592,0.07415492,0.049185164,0.072811745,0.05184336,0.07902206,0.04887209,0.07075841,0.048952706,0.076191776,0.05078464,0.07243082,0.051790018,0.072654754,0.053409237,0.06960378,0.051338233,0.07001036,0.04855206,0.07321124,0.04877577
0.0020515046,0.0029834786,0.0018660029,0.0024627526,0.0023958802,0.0034624457,0.0018965523,0.0025008798,0.0024621885,0.0030412555,0.002051147,0.00245593,0.0024859747,0.0034607926,0.0019246221,0.0025802613,0.0025117039,0.002942129,0.0020223022,0.002371184,0.0023523727,0.002746292,0.0019678671,0.0023817657,0.0023011763,0.003653749,0.0022145112,0.0027421038
0.0030100544,0.0027728677,0.0018893162,0.0021967331,0.0024976055,0.0033964475,0.0017791033,0.002070884,0.0021652102,0.002699093,0.001960361,0.0020823916,0.0019554815,0.0032321692,0.0019112746,0.0024839162,0.00200938,0.0027706185,0.0018329581,0.0019871194,0.0023117065,0.0027180195,0.0019093712,0.0021969676,0.0023244182,0.004137246,0.0015253981,0.0027858217
