block,model,estimator,elapsed_sec,selected_ensemble,all_valid_losses
0,HAR_M,OLS_train_plus_validation,0.021389484405517578,,
0,GHAR_M,OLS_train_plus_validation,0.02191781997680664,,
0,HAR_Q,Adam_validation_checkpoint,16.665500164031982,[0],[0.014366409741342068]
0,GHAR_Q,Adam_QLIKE_graph_linear,18.944612503051758,[0],[0.014373122714459896]
0,GNNHAR1L_M,Adam_validation_checkpoint,18.010547399520874,[0],[0.8268525004386902]
0,GNNHAR1L_Q,Adam_validation_checkpoint,13.393368244171143,[0],[0.014388740994036198]
0,GNNHAR2L_M,Adam_validation_checkpoint,19.69151258468628,[0],[0.8306496143341064]
0,GNNHAR2L_Q,Adam_validation_checkpoint,21.62074089050293,[0],[0.014396080747246742]
0,GNNHAR3L_M,Adam_validation_checkpoint,18.478960275650024,[0],[0.8306676149368286]
0,GNNHAR3L_Q,Adam_validation_checkpoint,13.482383251190186,[0],[0.014306904748082161]
0,HAR_M_IV,OLS_train_plus_validation,0.00857090950012207,,
0,GHAR_M_IV,OLS_train_plus_validation,0.02764296531677246,,
0,HAR_Q_IV,Adam_validation_checkpoint,8.12773871421814,[0],[0.0133666405454278]
0,GHAR_Q_IV,Adam_QLIKE_graph_linear,10.925299167633057,[0],[0.01345297135412693]
0,GNNHAR1L_M_IV,Adam_validation_checkpoint,18.711246967315674,[0],[0.8003252148628235]
0,GNNHAR1L_Q_IV,Adam_validation_checkpoint,12.889509439468384,[0],[0.013473660685122013]
0,GNNHAR2L_M_IV,Adam_validation_checkpoint,19.489370346069336,[0],[0.8103404641151428]
0,GNNHAR2L_Q_IV,Adam_validation_checkpoint,13.462008237838745,[0],[0.01326852198690176]
0,GNNHAR3L_M_IV,Adam_validation_checkpoint,24.8141131401062,[0],[0.8039773106575012]
0,GNNHAR3L_Q_IV,Adam_validation_checkpoint,23.089128971099854,[0],[0.013251061551272869]
0,GNNHAR4L_M,Adam_validation_checkpoint,19.91446828842163,[0],[0.8315505385398865]
0,GNNHAR4L_Q,Adam_validation_checkpoint,24.103909730911255,[0],[0.014371709898114204]
0,GNNHAR5L_M,Adam_validation_checkpoint,25.259293794631958,[0],[0.8314903378486633]
0,GNNHAR5L_Q,Adam_validation_checkpoint,18.822088718414307,[0],[0.01428756769746542]
0,GNNHAR4L_M_IV,Adam_validation_checkpoint,22.37569832801819,[0],[0.8057640790939331]
0,GNNHAR4L_Q_IV,Adam_validation_checkpoint,23.017611026763916,[0],[0.013178393244743347]
0,GNNHAR5L_M_IV,Adam_validation_checkpoint,29.817893028259277,[0],[0.798397421836853]
0,GNNHAR5L_Q_IV,Adam_validation_checkpoint,15.038203716278076,[0],[0.013418094255030155]
1,HAR_M,OLS_train_plus_validation,0.0065038204193115234,,
1,GHAR_M,OLS_train_plus_validation,0.021114826202392578,,
1,HAR_Q,Adam_validation_checkpoint,6.623436450958252,[0],[0.016990818083286285]
1,GHAR_Q,Adam_QLIKE_graph_linear,12.914438009262085,[0],[0.01712479442358017]
1,GNNHAR1L_M,Adam_validation_checkpoint,14.137390613555908,[0],[0.7994162440299988]
1,GNNHAR1L_Q,Adam_validation_checkpoint,9.676255941390991,[0],[0.017130617052316666]
1,GNNHAR2L_M,Adam_validation_checkpoint,24.610137224197388,[0],[0.7975610494613647]
1,GNNHAR2L_Q,Adam_validation_checkpoint,16.603060960769653,[0],[0.017364447936415672]
1,GNNHAR3L_M,Adam_validation_checkpoint,16.341744899749756,[0],[0.7966565489768982]
1,GNNHAR3L_Q,Adam_validation_checkpoint,10.624826669692993,[0],[0.01711326837539673]
1,HAR_M_IV,OLS_train_plus_validation,0.00947117805480957,,
1,GHAR_M_IV,OLS_train_plus_validation,0.04172801971435547,,
1,HAR_Q_IV,Adam_validation_checkpoint,6.914329290390015,[0],[0.016156049445271492]
1,GHAR_Q_IV,Adam_QLIKE_graph_linear,7.985633850097656,[0],[0.01626339741051197]
1,GNNHAR1L_M_IV,Adam_validation_checkpoint,11.617106437683105,[0],[0.7296990752220154]
1,GNNHAR1L_Q_IV,Adam_validation_checkpoint,11.521217107772827,[0],[0.016130322590470314]
1,GNNHAR2L_M_IV,Adam_validation_checkpoint,15.896977424621582,[0],[0.7271538972854614]
1,GNNHAR2L_Q_IV,Adam_validation_checkpoint,6.40758490562439,[0],[0.01604330725967884]
1,GNNHAR3L_M_IV,Adam_validation_checkpoint,15.480393171310425,[0],[0.7255106568336487]
1,GNNHAR3L_Q_IV,Adam_validation_checkpoint,19.378691911697388,[0],[0.01623188890516758]
1,GNNHAR4L_M,Adam_validation_checkpoint,16.96450662612915,[0],[0.7983177304267883]
1,GNNHAR4L_Q,Adam_validation_checkpoint,14.02684998512268,[0],[0.01748952455818653]
1,GNNHAR5L_M,Adam_validation_checkpoint,20.05273413658142,[0],[0.7970415949821472]
1,GNNHAR5L_Q,Adam_validation_checkpoint,12.313445568084717,[0],[0.01715216226875782]
1,GNNHAR4L_M_IV,Adam_validation_checkpoint,16.676514625549316,[0],[0.732538640499115]
1,GNNHAR4L_Q_IV,Adam_validation_checkpoint,22.68324089050293,[0],[0.016302432864904404]
1,GNNHAR5L_M_IV,Adam_validation_checkpoint,16.203338861465454,[0],[0.7319348454475403]
1,GNNHAR5L_Q_IV,Adam_validation_checkpoint,13.17304253578186,[0],[0.016188018023967743]
2,HAR_M,OLS_train_plus_validation,0.006549358367919922,,
2,GHAR_M,OLS_train_plus_validation,0.020970821380615234,,
2,HAR_Q,Adam_validation_checkpoint,10.293346405029297,[0],[0.011243092827498913]
2,GHAR_Q,Adam_QLIKE_graph_linear,14.491641998291016,[0],[0.010969520546495914]
2,GNNHAR1L_M,Adam_validation_checkpoint,11.425482511520386,[0],[0.6577193737030029]
2,GNNHAR1L_Q,Adam_validation_checkpoint,11.78678822517395,[0],[0.0109436996281147]
2,GNNHAR2L_M,Adam_validation_checkpoint,14.993787050247192,[0],[0.6574744582176208]
2,GNNHAR2L_Q,Adam_validation_checkpoint,14.569403409957886,[0],[0.010958720929920673]
2,GNNHAR3L_M,Adam_validation_checkpoint,11.92616319656372,[0],[0.6559906601905823]
2,GNNHAR3L_Q,Adam_validation_checkpoint,12.386988639831543,[0],[0.010959740728139877]
2,HAR_M_IV,OLS_train_plus_validation,0.007914066314697266,,
2,GHAR_M_IV,OLS_train_plus_validation,0.027979373931884766,,
2,HAR_Q_IV,Adam_validation_checkpoint,6.827702283859253,[0],[0.010040250606834888]
2,GHAR_Q_IV,Adam_QLIKE_graph_linear,8.742489576339722,[0],[0.010168607346713543]
2,GNNHAR1L_M_IV,Adam_validation_checkpoint,14.755372285842896,[0],[0.6226968169212341]
2,GNNHAR1L_Q_IV,Adam_validation_checkpoint,19.16915202140808,[0],[0.010129410773515701]
2,GNNHAR2L_M_IV,Adam_validation_checkpoint,12.404717922210693,[0],[0.6201828718185425]
2,GNNHAR2L_Q_IV,Adam_validation_checkpoint,7.301280498504639,[0],[0.010074038058519363]
2,GNNHAR3L_M_IV,Adam_validation_checkpoint,11.216037034988403,[0],[0.6180103421211243]
2,GNNHAR3L_Q_IV,Adam_validation_checkpoint,19.52308702468872,[0],[0.010103789158165455]
2,GNNHAR4L_M,Adam_validation_checkpoint,14.118879318237305,[0],[0.6567659974098206]
2,GNNHAR4L_Q,Adam_validation_checkpoint,14.569883823394775,[0],[0.010942373424768448]
2,GNNHAR5L_M,Adam_validation_checkpoint,13.892959594726562,[0],[0.6565762758255005]
2,GNNHAR5L_Q,Adam_validation_checkpoint,15.284179449081421,[0],[0.011029645800590515]
