model,FVU_mean
GHAR_M,9.249887807527557e-05
GNNHAR3L_M,0.000403003505198285
GNNHAR4L_M,0.0004086954868398607
GNNHAR1L_M,0.000438987830420956
GNNHAR2L_M,0.0006221354706212878
GNNHAR5L_M,0.0007355769630521536
GNNHAR4L_Q,0.0009486496564932168
GNNHAR1L_Q,0.0009782518027350307
GHAR_Q,0.0009857616387307644
GNNHAR5L_Q,0.0010080781066790223
HAR_Q,0.001229245332069695
GNNHAR2L_Q,0.0023051861207932234
HAR_Q_IV,0.0027697321493178606
HAR_M_IV,0.0028894420247524977
GHAR_M_IV,0.0029852031730115414
GNNHAR5L_M_IV,0.0030580502934753895
GNNHAR3L_Q,0.003179144347086549
GNNHAR4L_Q_IV,0.003247140906751156
GHAR_Q_IV,0.003280396806076169
GNNHAR1L_M_IV,0.0032831246498972178
GNNHAR3L_Q_IV,0.0033280947245657444
GNNHAR2L_M_IV,0.0033504061866551638
GNNHAR5L_Q_IV,0.003430709009990096
GNNHAR3L_M_IV,0.0034419531002640724
GNNHAR1L_Q_IV,0.003449328476563096
GNNHAR2L_Q_IV,0.003450293792411685
GNNHAR4L_M_IV,0.0035648513585329056
