model,mse,qlike,mse_ratio,qlike_ratio
HAR_M_IV,0.91609454,0.015253955,0.95861787,0.96626425
GHAR_M_IV,0.9178395,0.015374295,0.96044385,0.97388726
GNNHAR2L_M_IV,0.92460835,0.015550502,0.96752685,0.98504907
GNNHAR1L_M_IV,0.9248044,0.01555871,0.96773195,0.98556906
GNNHAR4L_M_IV,0.92505354,0.015861204,0.9679927,1.0047306
GNNHAR3L_M_IV,0.92509204,0.01571715,0.968033,0.99560547
GNNHAR5L_M_IV,0.92560405,0.015351077,0.96856874,0.97241646
HAR_Q_IV,0.93795496,0.01463025,0.981493,0.92675555
GNNHAR1L_Q_IV,0.9397224,0.0146598555,0.98334247,0.92863095
GNNHAR5L_Q_IV,0.9406144,0.014692197,0.9842759,0.9306796
GHAR_Q_IV,0.9408585,0.014665274,0.9845313,0.92897415
GNNHAR3L_Q_IV,0.9411743,0.014689936,0.9848618,0.9305364
GNNHAR2L_Q_IV,0.9420449,0.014574653,0.9857728,0.92323375
GNNHAR4L_Q_IV,0.9432348,0.014663529,0.98701787,0.92886364
HAR_M,0.95564103,0.015786525,1.0,1.0
GHAR_M,0.95666945,0.015699755,1.0010761,0.99450356
GNNHAR3L_M,0.9592119,0.016004305,1.0037366,1.0137954
GHAR_Q,0.9593487,0.015476707,1.0038798,0.9803746
GNNHAR5L_Q,0.9596192,0.015441346,1.0041629,0.9781346
GNNHAR1L_M,0.959886,0.015927557,1.004442,1.0089337
GNNHAR4L_M,0.95990753,0.016017847,1.0044645,1.0146531
GNNHAR1L_Q,0.95999473,0.015477077,1.0045558,0.980398
GNNHAR4L_Q,0.96026146,0.015507679,1.0048349,0.98233646
GNNHAR2L_M,0.9614746,0.015978439,1.0061044,1.0121568
HAR_Q,0.96214724,0.0155196665,1.0068082,0.9830958
GNNHAR5L_M,0.96323174,0.016398154,1.007943,1.0387437
GNNHAR2L_Q,0.9949782,0.016062506,1.0411631,1.017482
GNNHAR3L_Q,0.99675924,0.015984554,1.0430268,1.0125442
