array,shape,n_dates,n_tickers,finite_share,nonpositive_count,min,max
truth,"(232, 30)",232,30,1.0,0,0.4500892758369446,24.465835571289062
pred_GHAR_M,"(232, 30)",232,30,1.0,0,0.44377556443214417,24.541616439819336
pred_GHAR_M_IV,"(232, 30)",232,30,1.0,0,0.47298216819763184,24.45515251159668
pred_GHAR_Q,"(232, 30)",232,30,1.0,0,0.4549696147441864,24.582908630371094
pred_GHAR_Q_IV,"(232, 30)",232,30,1.0,0,0.46679675579071045,24.496658325195312
pred_GNNHAR1L_M,"(232, 30)",232,30,1.0,0,0.4657449722290039,24.621261596679688
pred_GNNHAR1L_M_IV,"(232, 30)",232,30,1.0,0,0.4584008455276489,24.292325973510742
pred_GNNHAR1L_Q,"(232, 30)",232,30,1.0,0,0.4566422402858734,24.66042709350586
pred_GNNHAR1L_Q_IV,"(232, 30)",232,30,1.0,0,0.4640958905220032,24.282211303710938
pred_GNNHAR2L_M,"(232, 30)",232,30,1.0,0,0.4656931757926941,24.52320671081543
pred_GNNHAR2L_M_IV,"(232, 30)",232,30,1.0,0,0.47201254963874817,24.69659996032715
pred_GNNHAR2L_Q,"(232, 30)",232,30,1.0,0,0.45550376176834106,24.70746612548828
pred_GNNHAR2L_Q_IV,"(232, 30)",232,30,1.0,0,0.4661923944950104,24.494647979736328
pred_GNNHAR3L_M,"(232, 30)",232,30,1.0,0,0.4700963497161865,24.645225524902344
pred_GNNHAR3L_M_IV,"(232, 30)",232,30,1.0,0,0.4637256860733032,24.42793846130371
pred_GNNHAR3L_Q,"(232, 30)",232,30,1.0,0,0.4582710266113281,24.74043846130371
pred_GNNHAR3L_Q_IV,"(232, 30)",232,30,1.0,0,0.47063884139060974,24.485090255737305
pred_HAR_M,"(232, 30)",232,30,1.0,0,0.46202707290649414,24.438932418823242
pred_HAR_M_IV,"(232, 30)",232,30,1.0,0,0.4685032367706299,24.376585006713867
pred_HAR_Q,"(232, 30)",232,30,1.0,0,0.4542882442474365,24.513856887817383
pred_HAR_Q_IV,"(232, 30)",232,30,1.0,0,0.4618609547615051,24.40459632873535
