model,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss
GNNHAR2L_Q_IV,0.0998072549700737,0.0032421217765659094,0.8922616,0.8890904,GNNHAR,2.0,True,QLIKE-trained
GHAR_Q_IV,0.10157011449337006,0.0033158808946609497,0.90802133,0.90931743,GHAR,,True,QLIKE-trained
GNNHAR3L_Q_IV,0.10245334357023239,0.0033264546655118465,0.9159173,0.91221714,GNNHAR,3.0,True,QLIKE-trained
GNNHAR1L_Q_IV,0.10331892222166061,0.0033324272371828556,0.9236554,0.91385496,GNNHAR,1.0,True,QLIKE-trained
GNNHAR2L_M_IV,0.1060892790555954,0.0034652219619601965,0.94842196,0.9502714,GNNHAR,2.0,True,MSE-trained
HAR_Q_IV,0.11165366321802139,0.0034894973505288363,0.9981667,0.9569285,HAR,,True,QLIKE-trained
GNNHAR2L_Q,0.10819332301616669,0.003489751135930419,0.9672318,0.95699805,GNNHAR,2.0,False,QLIKE-trained
GNNHAR3L_Q,0.11147826164960861,0.003541738260537386,0.99659866,0.9712546,GNNHAR,3.0,False,QLIKE-trained
GNNHAR1L_Q,0.11032357811927795,0.003573842579498887,0.986276,0.98005855,GNNHAR,1.0,False,QLIKE-trained
HAR_M,0.11185873299837112,0.0036465602461248636,1.0,1.0,HAR,,False,MSE-trained
GNNHAR1L_M,0.10567537695169449,0.0036716789472848177,0.94472176,1.0068883,GNNHAR,1.0,False,MSE-trained
HAR_Q,0.12188215553760529,0.0036925324238836765,1.0896078,1.012607,HAR,,False,QLIKE-trained
GHAR_Q,0.10721752792596817,0.0037215454503893852,0.9585083,1.0205632,GHAR,,False,QLIKE-trained
HAR_M_IV,0.10285592079162598,0.0037550160195678473,0.9195162,1.0297419,HAR,,True,MSE-trained
GNNHAR3L_M,0.10984638333320618,0.0038584519643336535,0.9820099,1.0581073,GNNHAR,3.0,False,MSE-trained
GNNHAR1L_M_IV,0.10461273044347763,0.0039232452400028706,0.93522185,1.0758756,GNNHAR,1.0,True,MSE-trained
GHAR_M_IV,0.09707402437925339,0.004145018290728331,0.86782694,1.1366926,GHAR,,True,MSE-trained
GHAR_M,0.10369816422462463,0.004155863542109728,0.92704576,1.1396668,GHAR,,False,MSE-trained
GNNHAR2L_M,0.1100093424320221,0.004456166177988052,0.98346674,1.2220191,GNNHAR,2.0,False,MSE-trained
GNNHAR3L_M_IV,0.11130484193563461,0.0044948635622859,0.9950483,1.2326311,GNNHAR,3.0,True,MSE-trained
