model,model_class,depth,uses_iv,training_loss,forecast_mad_time_series,mean_cross_section_std,mean_cross_section_cv,diagnostic_level,note
GHAR_M,GHAR,,False,MSE-trained,0.16328302356336397,1.8599962906764362,0.7612547493805172,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_Q,GHAR,,False,QLIKE-trained,0.16324287017016473,1.87798839156046,0.7680736527218684,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_M_IV,GHAR,,True,MSE-trained,0.1644326399705369,1.8769937165415802,0.7706587797790653,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_Q_IV,GHAR,,True,QLIKE-trained,0.16140718791218775,1.8807338560671902,0.7697148658406929,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_M,GNNHAR,1.0,False,MSE-trained,0.16022605262703776,1.8614270935357768,0.7583389711550445,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_M,GNNHAR,2.0,False,MSE-trained,0.16435762341339208,1.8637906308472583,0.7662722139696728,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_M,GNNHAR,3.0,False,MSE-trained,0.1602627874405723,1.8628059842044804,0.756732305495812,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_Q,GNNHAR,1.0,False,QLIKE-trained,0.16035107625091735,1.8790362110795342,0.7668917511831498,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_Q,GNNHAR,2.0,False,QLIKE-trained,0.16200729391606833,1.880444732560515,0.7698063203159053,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_Q,GNNHAR,3.0,False,QLIKE-trained,0.16014738732900932,1.8790925049890157,0.7659972481203825,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_M_IV,GNNHAR,1.0,True,MSE-trained,0.16435622703346214,1.8752405178465328,0.7702351535277537,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_M_IV,GNNHAR,2.0,True,MSE-trained,0.16341234908542412,1.8741350943986708,0.7670134755014758,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_M_IV,GNNHAR,3.0,True,MSE-trained,0.16129693011546178,1.878649944656795,0.7728182923616754,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_Q_IV,GNNHAR,1.0,True,QLIKE-trained,0.16368053386055453,1.8782952083078341,0.7697536060182407,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_Q_IV,GNNHAR,2.0,True,QLIKE-trained,0.16293592705175702,1.8771498082377445,0.7685249179406631,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_Q_IV,GNNHAR,3.0,True,QLIKE-trained,0.15989261093455254,1.8803433263340397,0.7696972243854542,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_M,HAR,,False,MSE-trained,0.164530931982997,1.8639579610243053,0.7642707530119156,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_Q,HAR,,False,QLIKE-trained,0.16283012775367375,1.883989498275785,0.7706099602998558,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_M_IV,HAR,,True,MSE-trained,0.16554144247420968,1.8784838133655115,0.7722108333274834,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
HAR_Q_IV,HAR,,True,QLIKE-trained,0.1618430398984009,1.8769784160463419,0.769553855549875,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
