test_date,market_rv_proxy,regime
2025-02-21,2.176078,calm_bottom_90pct
2025-02-24,2.2832315,calm_bottom_90pct
2025-02-25,2.3175826,calm_bottom_90pct
2025-02-26,2.2696257,calm_bottom_90pct
2025-02-27,2.2665555,calm_bottom_90pct
2025-02-28,2.3158612,calm_bottom_90pct
2025-03-03,2.5222332,calm_bottom_90pct
2025-03-04,2.6532629,calm_bottom_90pct
2025-03-05,2.6415374,calm_bottom_90pct
2025-03-06,2.691921,calm_bottom_90pct
2025-03-07,2.7950032,calm_bottom_90pct
2025-03-10,2.9721386,calm_bottom_90pct
2025-03-11,3.00299,calm_bottom_90pct
2025-03-12,3.064807,calm_bottom_90pct
2025-03-13,3.1046023,calm_bottom_90pct
2025-03-14,3.0874987,calm_bottom_90pct
2025-03-17,3.1179008,calm_bottom_90pct
2025-03-18,3.0300431,calm_bottom_90pct
2025-03-19,2.982491,calm_bottom_90pct
2025-03-20,2.9086332,calm_bottom_90pct
2025-03-21,2.9751408,calm_bottom_90pct
2025-03-24,2.880685,calm_bottom_90pct
2025-03-25,2.8232918,calm_bottom_90pct
2025-03-26,2.7978313,calm_bottom_90pct
2025-03-27,2.7215784,calm_bottom_90pct
2025-03-28,2.7447011,calm_bottom_90pct
2025-03-31,2.7996554,calm_bottom_90pct
2025-04-01,2.7817335,calm_bottom_90pct
2025-04-02,2.6260138,calm_bottom_90pct
2025-04-03,2.7505448,calm_bottom_90pct
2025-04-04,3.3435097,turbulent_top_10pct
2025-04-07,4.244219,turbulent_top_10pct
2025-04-08,5.025595,turbulent_top_10pct
2025-04-09,6.9430246,turbulent_top_10pct
2025-04-10,7.300273,turbulent_top_10pct
2025-04-11,7.4553685,turbulent_top_10pct
2025-04-14,7.7299438,turbulent_top_10pct
2025-04-15,7.4522014,turbulent_top_10pct
2025-04-16,7.524142,turbulent_top_10pct
2025-04-17,7.6200037,turbulent_top_10pct
2025-04-21,8.266549,turbulent_top_10pct
2025-04-22,8.017169,turbulent_top_10pct
2025-04-23,8.143231,turbulent_top_10pct
2025-04-24,8.250205,turbulent_top_10pct
2025-04-25,8.264051,turbulent_top_10pct
2025-04-28,8.558077,turbulent_top_10pct
2025-04-29,8.231009,turbulent_top_10pct
2025-04-30,8.209224,turbulent_top_10pct
2025-05-01,8.163793,turbulent_top_10pct
2025-05-02,8.137682,turbulent_top_10pct
2025-05-05,7.4332495,turbulent_top_10pct
2025-05-06,7.1467967,turbulent_top_10pct
2025-05-07,6.112302,turbulent_top_10pct
2025-05-08,5.177434,turbulent_top_10pct
2025-05-09,3.0200644,calm_bottom_90pct
2025-05-12,2.4439712,calm_bottom_90pct
2025-05-13,2.4466925,calm_bottom_90pct
2025-05-14,2.3886285,calm_bottom_90pct
2025-05-15,2.4737923,calm_bottom_90pct
2025-05-16,2.3890176,calm_bottom_90pct
2025-05-19,2.3114164,calm_bottom_90pct
2025-05-20,2.252052,calm_bottom_90pct
2025-05-21,2.1571536,calm_bottom_90pct
2025-05-22,2.073001,calm_bottom_90pct
2025-05-23,1.9570689,calm_bottom_90pct
2025-05-27,1.8263557,calm_bottom_90pct
2025-05-28,1.7975802,calm_bottom_90pct
2025-05-29,1.7996379,calm_bottom_90pct
2025-05-30,1.7193698,calm_bottom_90pct
2025-06-02,1.718057,calm_bottom_90pct
2025-06-03,1.7257396,calm_bottom_90pct
2025-06-04,1.69603,calm_bottom_90pct
2025-06-05,1.6871381,calm_bottom_90pct
