model,metric,mean_loss,rank_mean_loss,mcs_included,mcs_pvalue,n_dates,alpha,bootstrap,block_size,algorithm,status
GHAR_M_IV,MSE,0.09707402437925339,1,True,1.0,232,0.05,10000,2,SQ,ok
GNNHAR2L_Q_IV,MSE,0.0998072549700737,2,True,0.6596,232,0.05,10000,2,SQ,ok
GHAR_Q_IV,MSE,0.10157011449337006,3,True,0.6596,232,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,MSE,0.10245334357023239,4,True,0.6596,232,0.05,10000,2,SQ,ok
HAR_M_IV,MSE,0.10285592079162598,5,True,0.6596,232,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,MSE,0.10331892222166061,6,True,0.5026,232,0.05,10000,2,SQ,ok
GHAR_M,MSE,0.10369816422462463,7,True,0.6011,232,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,MSE,0.10461273044347763,8,True,0.4321,232,0.05,10000,2,SQ,ok
GNNHAR1L_M,MSE,0.10567537695169449,9,True,0.4118,232,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,MSE,0.1060892790555954,10,True,0.4118,232,0.05,10000,2,SQ,ok
GHAR_Q,MSE,0.10721752792596817,11,True,0.3208,232,0.05,10000,2,SQ,ok
GNNHAR2L_Q,MSE,0.10819332301616669,12,True,0.2164,232,0.05,10000,2,SQ,ok
GNNHAR3L_M,MSE,0.10984638333320618,13,True,0.1894,232,0.05,10000,2,SQ,ok
GNNHAR2L_M,MSE,0.1100093424320221,14,True,0.1894,232,0.05,10000,2,SQ,ok
GNNHAR1L_Q,MSE,0.11032357811927795,15,True,0.1763,232,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,MSE,0.11130484193563461,16,True,0.2401,232,0.05,10000,2,SQ,ok
GNNHAR3L_Q,MSE,0.11147826164960861,17,True,0.1822,232,0.05,10000,2,SQ,ok
HAR_Q_IV,MSE,0.11165366321802139,18,True,0.2253,232,0.05,10000,2,SQ,ok
HAR_M,MSE,0.11185873299837112,19,True,0.3408,232,0.05,10000,2,SQ,ok
HAR_Q,MSE,0.12188215553760529,20,True,0.1502,232,0.05,10000,2,SQ,ok
