model,metric,mean_loss,rank_mean_loss,mcs_included,mcs_pvalue,n_dates,alpha,bootstrap,block_size,algorithm,status
GNNHAR2L_Q_IV,QLIKE,0.0032421217765659094,1,True,1.0,232,0.05,10000,2,SQ,ok
GHAR_Q_IV,QLIKE,0.0033158808946609497,2,True,0.4089,232,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,QLIKE,0.0033264546655118465,3,True,0.4089,232,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,QLIKE,0.0033324272371828556,4,True,0.3979,232,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,QLIKE,0.0034652219619601965,5,True,0.1181,232,0.05,10000,2,SQ,ok
HAR_Q_IV,QLIKE,0.0034894973505288363,6,True,0.2144,232,0.05,10000,2,SQ,ok
GNNHAR2L_Q,QLIKE,0.003489751135930419,7,True,0.0816,232,0.05,10000,2,SQ,ok
GNNHAR3L_Q,QLIKE,0.003541738260537386,8,True,0.0712,232,0.05,10000,2,SQ,ok
GNNHAR1L_Q,QLIKE,0.003573842579498887,9,True,0.0711,232,0.05,10000,2,SQ,ok
HAR_M,QLIKE,0.0036465602461248636,10,True,0.0711,232,0.05,10000,2,SQ,ok
GNNHAR1L_M,QLIKE,0.0036716789472848177,11,True,0.0604,232,0.05,10000,2,SQ,ok
HAR_Q,QLIKE,0.0036925324238836765,12,True,0.0711,232,0.05,10000,2,SQ,ok
GHAR_Q,QLIKE,0.0037215454503893852,13,True,0.0711,232,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,QLIKE,0.0039232452400028706,16,True,0.0521,232,0.05,10000,2,SQ,ok
GHAR_M_IV,QLIKE,0.004145018290728331,17,True,0.0604,232,0.05,10000,2,SQ,ok
GHAR_M,QLIKE,0.004155863542109728,18,True,0.0711,232,0.05,10000,2,SQ,ok
HAR_M_IV,QLIKE,0.0037550160195678473,14,False,0.0344,232,0.05,10000,2,SQ,ok
GNNHAR3L_M,QLIKE,0.0038584519643336535,15,False,0.0344,232,0.05,10000,2,SQ,ok
GNNHAR2L_M,QLIKE,0.004456166177988052,19,False,0.0309,232,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,QLIKE,0.0044948635622859,20,False,0.0334,232,0.05,10000,2,SQ,ok
