GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.04006587,0.03705005,0.03660787,0.035228916,0.03747016,0.032771073,0.036279693,0.035063434,0.036105756,0.03167745,0.03473256,0.03516231,0.03759462,0.03143851,0.035140622,0.036412556,0.03899013,0.03760759,0.03610576,0.035396416
0.032187715,0.025076108,0.0298053,0.028150849,0.028650982,0.019731546,0.029497523,0.027860831,0.028013527,0.017820824,0.027646722,0.028143253,0.029855533,0.018889816,0.02800954,0.029636713,0.03153857,0.026517652,0.029293913,0.029320488
0.009387609,0.009720744,0.009106359,0.009615685,0.010309753,0.010697617,0.00916523,0.009723777,0.009973637,0.011088546,0.009076095,0.009435496,0.009285997,0.010028352,0.0093435785,0.009401228,0.008602138,0.009869446,0.008874627,0.009828893
0.035890546,0.04266201,0.035714794,0.03983502,0.040217277,0.048667315,0.03618184,0.04015936,0.040449426,0.052431133,0.037864473,0.04019984,0.03747592,0.049427662,0.03839534,0.039845724,0.033063795,0.040966492,0.03377223,0.037848767
0.04600764,0.040105782,0.04799738,0.046280578,0.04644801,0.042026892,0.04822391,0.04653811,0.047129177,0.0419505,0.04858246,0.046345938,0.04617629,0.043336045,0.048514716,0.046604503,0.04567404,0.040597167,0.047487948,0.04646661
0.059803322,0.053871147,0.05691613,0.05900894,0.05820505,0.051242422,0.05689473,0.058728386,0.056107607,0.049571086,0.05510895,0.058826275,0.056700803,0.050340705,0.05618236,0.059114456,0.054575197,0.05366759,0.052896287,0.05807661
0.22392921,0.21312878,0.21141906,0.21843211,0.21605034,0.19633965,0.21055384,0.21681707,0.20844859,0.19135307,0.20488232,0.21727136,0.21311201,0.18560869,0.20653792,0.21470939,0.21325919,0.21020143,0.2023436,0.21285322
0.044025663,0.047022495,0.040261623,0.04557337,0.040538654,0.041533194,0.03987961,0.04500599,0.037622653,0.04065246,0.03633791,0.043607567,0.038698982,0.051738974,0.037025247,0.04481535,0.047389552,0.051658094,0.043031115,0.04798208
0.014771082,0.01529036,0.012446012,0.015349639,0.02025099,0.018525852,0.01288503,0.015340554,0.018657202,0.020214727,0.014298442,0.016086517,0.017832963,0.01172479,0.01503194,0.016056621,0.008030366,0.010577477,0.008042913,0.010766967
0.019759735,0.018540597,0.01656158,0.019583385,0.019568015,0.017325947,0.016609117,0.019398455,0.017792908,0.016837113,0.01515247,0.018694209,0.01764654,0.018051783,0.015951946,0.019479739,0.017930457,0.018804856,0.015408745,0.018722232
0.07432456,0.069989316,0.07197397,0.07002787,0.07198134,0.06664162,0.07163385,0.06961761,0.07008999,0.066410445,0.069519326,0.06910198,0.07167215,0.06864841,0.069541894,0.070276625,0.07570738,0.0732638,0.07344175,0.07212089
0.08840619,0.089612916,0.07944991,0.08880428,0.08060394,0.07826708,0.078916065,0.088108204,0.077513285,0.07897346,0.07404312,0.08676996,0.08034264,0.07929529,0.074260786,0.0854959,0.08696122,0.09433858,0.07785741,0.08910717
0.017375492,0.020922776,0.020304637,0.018346777,0.018851368,0.026065433,0.020084757,0.01822445,0.021477163,0.029633872,0.02273109,0.020303782,0.020192921,0.022349026,0.021714155,0.019057559,0.023305366,0.021749895,0.02529401,0.01991894
0.0122755,0.013558111,0.009997127,0.012351872,0.011728483,0.01587204,0.009946265,0.012479867,0.011671747,0.01802923,0.009638773,0.013056731,0.011166499,0.013366225,0.010135272,0.012935841,0.0119343065,0.013597671,0.010217317,0.011969056
0.035968076,0.031774633,0.045036368,0.036215317,0.036956765,0.032286167,0.044445757,0.03549811,0.03694547,0.032776084,0.044514406,0.034615677,0.03802864,0.03554264,0.043358468,0.034768216,0.042529263,0.032945238,0.05103768,0.0386286
0.013626031,0.013671858,0.020737972,0.017539607,0.017809384,0.021307377,0.020842114,0.0175869,0.017939162,0.021034557,0.021916179,0.017424814,0.01699286,0.026471592,0.02248112,0.019018104,0.013756413,0.010681319,0.02218359,0.015866736
0.06933675,0.06417832,0.081308536,0.072695844,0.071343504,0.065610774,0.080708005,0.07193082,0.071268186,0.063759685,0.08002348,0.07042931,0.07256276,0.072356805,0.08032003,0.07223644,0.069616325,0.060372327,0.08400628,0.07090168
0.009519446,0.008355862,0.013661993,0.010675284,0.014677475,0.016285561,0.014472004,0.01141365,0.015249704,0.012518598,0.015416409,0.010019171,0.01358198,0.02212481,0.01713388,0.014943045,0.008472088,0.007810122,0.013827454,0.01078998
0.0068038716,0.009088697,0.007546619,0.008248796,0.007568701,0.011866549,0.007836732,0.008572741,0.008118339,0.01065263,0.007846524,0.007724932,0.0077767414,0.015571771,0.008448895,0.0100993635,0.0074146693,0.009913111,0.008681115,0.008567626
0.11915887,0.11428952,0.14958338,0.14055294,0.1251709,0.12391066,0.14960851,0.14123629,0.12605272,0.118363336,0.14833526,0.13519996,0.12744541,0.12716918,0.14814404,0.14080825,0.12274413,0.10924644,0.15594599,0.13926266
0.044451587,0.045731205,0.03194742,0.034000095,0.040190693,0.03795206,0.031102927,0.034215175,0.037248373,0.038412265,0.031719916,0.037591644,0.03790934,0.034412086,0.031052748,0.032225337,0.04089921,0.045990393,0.02808857,0.031779807
0.03798902,0.037282087,0.046103064,0.042696185,0.041550443,0.040321138,0.046608303,0.04234635,0.042713646,0.037708998,0.046328776,0.039095342,0.040259596,0.03650533,0.046217494,0.03963679,0.03865248,0.037050005,0.04754378,0.043426957
0.014875277,0.012600897,0.018663676,0.016686296,0.017901408,0.013725723,0.022495039,0.016121816,0.016869774,0.0114951795,0.019987904,0.014090286,0.014460984,0.011153373,0.019244242,0.012817775,0.01442787,0.013883373,0.019810198,0.016216882
0.006784922,0.011148075,0.0032423048,0.004307689,0.0057101683,0.010124976,0.003956193,0.0044064005,0.0060368376,0.014663134,0.0035808173,0.004822115,0.00622962,0.011647463,0.003365927,0.0048033237,0.006773023,0.012233834,0.003648012,0.0049213846
0.010535113,0.009140291,0.016736407,0.016591135,0.013565494,0.010781284,0.020188607,0.015987473,0.012918381,0.008435603,0.018068751,0.014563368,0.01110596,0.008627483,0.017749777,0.014011589,0.011308962,0.0090778405,0.0189457,0.015200525
0.02508874,0.031304564,0.016677214,0.018392077,0.02093516,0.028784012,0.014851203,0.018597048,0.02167958,0.03660262,0.016145812,0.019980477,0.023748362,0.031601205,0.016277999,0.019597301,0.023255982,0.033292096,0.015266339,0.02087823
0.031634428,0.03065121,0.037245903,0.036433678,0.03012561,0.030198574,0.036048926,0.036012895,0.030488284,0.032031883,0.036960207,0.03593695,0.03202105,0.031238966,0.037591618,0.036327165,0.03344994,0.031264592,0.038612705,0.036469832
