GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.004148352,0.004287136,0.0039186003,0.0038598378,0.0038762211,0.0037629923,0.0038668076,0.0038350066,0.0038024464,0.0036137302,0.0037470183,0.0038284182,0.0039265673,0.0035680295,0.0037292878,0.003942454,0.004354199,0.0044950047,0.0041171075,0.0040597557
0.001348559,0.0015937487,0.0013316909,0.0013639092,0.0010781606,0.0011840344,0.0012802402,0.0013307015,0.0011788567,0.0011451284,0.0012377301,0.0013947726,0.00128479,0.0011464754,0.001177291,0.0014252862,0.0017788609,0.0020096938,0.0016949892,0.0017557184
0.0012801369,0.001292928,0.0012784521,0.0012621165,0.0014276941,0.0013623437,0.0012795647,0.0012714863,0.0013955395,0.0013017495,0.0012681962,0.001194199,0.0013014952,0.0012001555,0.0012892366,0.0011855642,0.0013245901,0.001313142,0.0013681729,0.0013097643
0.00456876,0.004416223,0.0044856905,0.0044172565,0.0049873274,0.0049001575,0.004528475,0.0044221403,0.0050975163,0.0051368354,0.0047133365,0.004447059,0.00480175,0.005009369,0.0048088115,0.004458912,0.004411729,0.004205672,0.004337712,0.004163273
0.0016959509,0.0016885161,0.0018285156,0.0018156688,0.0017525117,0.001808083,0.0018291037,0.0018196066,0.0018416404,0.0018638055,0.0018628717,0.0018159866,0.001802663,0.0019392689,0.0018719634,0.0018238386,0.0018205007,0.0017618537,0.0019143701,0.0018959442
0.001802059,0.0019943079,0.0017946362,0.001839006,0.0016682426,0.0017260234,0.0017508428,0.0017946203,0.001555717,0.0016748984,0.0016734878,0.0018382509,0.0016284545,0.0016731977,0.0016511838,0.0017629941,0.0017629027,0.0020081361,0.0017977953,0.0018536687
0.0073349755,0.007400433,0.007140676,0.00712351,0.0068147304,0.006151239,0.007009836,0.006947418,0.006274434,0.0060629887,0.0066679996,0.007027221,0.0066191037,0.0055630365,0.00654875,0.00664711,0.0072611887,0.007556681,0.0070741256,0.007169779
0.0029207428,0.0033094606,0.0028586786,0.0030323544,0.0027156074,0.002880919,0.002814877,0.0030124902,0.002466289,0.0028193633,0.0025330067,0.0029048403,0.0025124948,0.0036347986,0.0025367022,0.0029553534,0.0033296149,0.0039010167,0.00325466,0.0034044385
0.001652054,0.0015587568,0.0014177997,0.0015074253,0.0023036161,0.0019951384,0.0014671087,0.0015015483,0.0022738099,0.0021086335,0.0017168164,0.0016410311,0.0021616498,0.0010259311,0.0017838557,0.0016219219,0.00093438226,0.0009918452,0.0009336988,0.00099322
0.0011339624,0.0011431813,0.0011130054,0.0011482716,0.0013025602,0.0012240609,0.001119713,0.001156652,0.0012347539,0.0011864066,0.0010991574,0.0011252682,0.0011217754,0.0010772744,0.0011299769,0.0011196097,0.0011357387,0.0012452762,0.0011404634,0.0011971832
0.0065925242,0.00646557,0.006542186,0.006334098,0.006289299,0.0061398824,0.006485963,0.0062936423,0.006255154,0.0061644833,0.006331086,0.006307312,0.0063795843,0.006338501,0.0062758327,0.0063686767,0.0069624702,0.007042388,0.006869487,0.0067490498
0.0042800824,0.0043919724,0.00425572,0.004353694,0.003999762,0.0039845863,0.0042057354,0.004320975,0.0038811564,0.0039824764,0.0039854962,0.0042461674,0.0040388466,0.0040171384,0.003974513,0.004182295,0.0044738054,0.0047810473,0.004459445,0.004581992
0.00050382613,0.0006756306,0.0005055984,0.00054782233,0.0005389889,0.0009131233,0.0004910588,0.0005527536,0.0006214619,0.001075685,0.00053516624,0.0006391486,0.0005513867,0.00069411995,0.0005154053,0.0005961617,0.00092233816,0.0008865277,0.00080477796,0.000706176
0.00093708036,0.0010436098,0.0008894086,0.0010193825,0.0010116657,0.0013309757,0.0008900722,0.0010278265,0.0010139307,0.0014847994,0.0008829713,0.0010949135,0.0009243449,0.0010772626,0.00093342067,0.001069494,0.0008912444,0.0009906213,0.0009036501,0.00096003216
0.0010541677,0.0009089589,0.0010973772,0.0009789427,0.0010027726,0.0007617672,0.0010740916,0.00094662904,0.00092202425,0.0007972519,0.0009743015,0.0008988023,0.0009682298,0.0008562247,0.0009600679,0.0008751273,0.0012962103,0.0010916551,0.0012674213,0.0011235396
0.0003568689,0.00037242175,0.00037069322,0.00038417577,0.00046666464,0.00063385966,0.00037881534,0.00039488077,0.0004741629,0.0006039262,0.0004026095,0.00040572483,0.00039755105,0.00085397164,0.00043908358,0.00046385528,0.00036687852,0.0003460725,0.00038937727,0.00034550825
0.0027175983,0.002555867,0.0026833178,0.0025813938,0.0026543736,0.0024558743,0.0026668946,0.0025724173,0.002695028,0.0024151206,0.002662007,0.0025932551,0.0026696047,0.0026967446,0.002659003,0.0025772334,0.002711757,0.0025733511,0.0026889206,0.0025595108
0.00056524674,0.00042928854,0.00059453247,0.00048174462,0.00086589257,0.0008803924,0.00065073173,0.00052990514,0.000900499,0.00062380236,0.0007180214,0.0004699389,0.0007747213,0.0012344519,0.00082483294,0.00075225433,0.0004900098,0.00040340822,0.00055898825,0.0004912774
0.00030851364,0.00037713448,0.00035627684,0.00038683414,0.00042785803,0.0006746332,0.00038688182,0.00042049488,0.0004794717,0.0005181114,0.00039592187,0.00035109918,0.00044453144,0.00097081263,0.00045132238,0.0005596161,0.00037038326,0.00038934549,0.0004204909,0.00041852394
0.0007326603,0.0008566777,0.000841848,0.0009243369,0.00078022876,0.0009323994,0.00085076096,0.00092697144,0.0007971009,0.0008720676,0.00083803735,0.00090965035,0.00077600084,0.0010048668,0.00085540215,0.00092876755,0.000726823,0.00080943503,0.0008590897,0.0008990963
0.0013025164,0.0012926777,0.0010818243,0.0010735274,0.001194648,0.0010534446,0.0010411382,0.0010786534,0.0010446509,0.0010676305,0.0010499159,0.0012233496,0.0011023164,0.00086631376,0.001008304,0.00096568663,0.0011329491,0.001121672,0.0009477178,0.0009298007
0.002217579,0.0021839936,0.002419452,0.0023088017,0.0023953437,0.0022959271,0.002442487,0.0023121238,0.0024457336,0.0022682906,0.0024429283,0.0022362869,0.0023094614,0.0022740723,0.0024380842,0.0022261103,0.0022922517,0.0021873435,0.0024671953,0.0023702064
0.0013976892,0.0012179374,0.001314795,0.0011945923,0.0015501936,0.0013475537,0.001523459,0.0011928002,0.0014790336,0.0011000236,0.0013719996,0.0010765592,0.0012903214,0.0011312525,0.0012938261,0.0010269562,0.0012598713,0.0012806614,0.0012774667,0.0012036363
0.00033750533,0.00046691496,0.0003575007,0.00042738914,0.00043477217,0.0004965941,0.00049103104,0.00042392017,0.00041474105,0.00058676006,0.00041737556,0.00043034952,0.00034371615,0.00052140554,0.00039304892,0.0004077991,0.00041408936,0.00046590963,0.00044134457,0.0004558166
0.0008447647,0.00080196065,0.0010235469,0.0010605415,0.0010521213,0.0009310206,0.0012409528,0.0010447343,0.00100557,0.000801754,0.0010979215,0.0009833336,0.00086214143,0.00078175066,0.0010646741,0.00093247095,0.00087215105,0.00078104733,0.0010997971,0.0010062933
0.0011144559,0.0014292201,0.0010629375,0.0011937778,0.0009842634,0.0014165719,0.0009677132,0.0011875391,0.0009908994,0.0017983,0.0010290464,0.001256454,0.0011251012,0.0015643716,0.0010627111,0.0012389899,0.0010979493,0.0014027278,0.0010250171,0.0012621363
0.001973168,0.0021601517,0.0018716415,0.0018363714,0.001739188,0.0020425678,0.0016789039,0.0018381198,0.0017485778,0.0023673575,0.0017778198,0.0018893242,0.0019355894,0.0022020857,0.0018375635,0.0019207835,0.0020897388,0.002233084,0.0018996993,0.0019722143
0.004142082,0.0039636493,0.0040165465,0.0040246407,0.004239305,0.0040917913,0.00419939,0.0040716846,0.004226446,0.0039312006,0.0040691416,0.004084639,0.0039946754,0.004022793,0.00395844,0.004063984,0.0037042657,0.0038803895,0.0038130602,0.0037866195
0.0034068108,0.0032783707,0.0036899725,0.004000982,0.0038378993,0.0037592968,0.00410341,0.004005921,0.0037778537,0.003330183,0.0038571437,0.004069674,0.003465553,0.0035996437,0.003732439,0.003938703,0.0031696996,0.003087322,0.003551189,0.0035924315
0.006531839,0.006077381,0.0060156067,0.005208226,0.005969139,0.0052336813,0.0055414797,0.0050950926,0.0061207493,0.0054594954,0.006005756,0.0049921554,0.0063687363,0.0049996497,0.0060291686,0.0052855094,0.0065436126,0.006224676,0.0058469814,0.0055547752
0.03075459,0.025199246,0.029487379,0.02325396,0.028819235,0.02281439,0.027810415,0.022898555,0.028836846,0.020654798,0.028562017,0.022584986,0.029880881,0.0208075,0.028957833,0.023129396,0.031572588,0.027730647,0.029965555,0.026601303
0.029919224,0.019798545,0.030634744,0.020140434,0.02813406,0.018398706,0.028966658,0.020179987,0.027645223,0.028900659,0.028440945,0.019703472,0.028571984,0.02012573,0.02946057,0.019901939,0.037874408,0.027295964,0.03691779,0.028809842
0.008810238,0.0062006433,0.009498151,0.0064811786,0.008226772,0.006078303,0.008908963,0.006696856,0.009743774,0.0084665455,0.00813413,0.006601763,0.009574044,0.006106965,0.010410961,0.005762855,0.014079829,0.009801984,0.014240678,0.010719359
0.039109215,0.03303284,0.042198583,0.034454327,0.03751605,0.03344708,0.040604215,0.035589054,0.04215771,0.038839344,0.038048852,0.0352761,0.044051312,0.030865557,0.0461974,0.031568762,0.054145746,0.0445726,0.055252366,0.047360044
0.0017837763,0.0010089397,0.0012371779,0.0010104339,0.0020557204,0.0009814422,0.0013754646,0.0010323365,0.001282382,0.0017897288,0.0018833677,0.0010897677,0.0010685046,0.0011166016,0.0010318279,0.0021694303,0.0012429834,0.0016514659,0.0014933944,0.0016848326
0.0015493314,0.00101281,0.0009949089,0.00094722904,0.0018850525,0.0010195811,0.0012278438,0.0006990989,0.001624167,0.002100146,0.0016140819,0.0009429812,0.000743556,0.0013608893,0.00064068235,0.0008504232,0.0003225128,0.00030092002,0.00037186145,0.00035194954
0.000550131,0.0004932364,0.0004596273,0.00049508014,0.0006459673,0.00046000877,0.00048927066,0.00074563426,0.00062192284,0.00092280307,0.00057742995,0.0005421758,0.00054514804,0.000529778,0.00047787427,0.00054974953,0.0006234328,0.00073522725,0.00069572526,0.00077750284
0.001833419,0.0012471835,0.0014622052,0.0011866371,0.0022588929,0.0005298018,0.0018594384,0.0002428174,0.0017292579,0.0028008819,0.0020609817,0.0013058186,0.00266368,0.0011410475,0.00246646,0.0014296611,0.0008134246,0.0006307284,0.0007726113,0.00057847897
0.0001976649,0.00024181207,0.0002170086,0.0002620101,0.00014133453,0.00071577233,0.00014396905,0.0014534871,0.00027789274,0.00015985171,0.00015161833,0.0002508084,0.00023153225,0.00033644438,0.00015202364,0.00025274753,0.0002195716,0.0002981782,0.00020495256,0.00032136042
0.002055939,0.001933682,0.0019959689,0.0019315045,0.0019559541,0.002180191,0.0018993457,0.0026884,0.002085042,0.0018006046,0.001881814,0.0019010465,0.00194542,0.0019507289,0.001854368,0.0019625623,0.0019932827,0.002026244,0.0019248963,0.002036194
0.0046937703,0.0050008614,0.0046965163,0.0050592064,0.004119448,0.0059648515,0.004079747,0.0067413887,0.0048682294,0.004591743,0.0039663115,0.005210809,0.0032715162,0.006136008,0.0035452605,0.0033073346,0.0046827714,0.0051884055,0.0045036674,0.0052879173
