regime,model,n_dates,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss,rank_qlike_within_regime,rank_mse_within_regime
calm_bottom_90pct,GNNHAR2L_Q_IV,208,0.06146039441227913,0.0030529384966939688,1.0017103,0.94655067,GNNHAR,2.0,True,QLIKE-trained,1.0,6.0
calm_bottom_90pct,GNNHAR1L_Q_IV,208,0.062072284519672394,0.003115597879514098,1.0116832,0.96597797,GNNHAR,1.0,True,QLIKE-trained,2.0,8.0
calm_bottom_90pct,GHAR_Q_IV,208,0.06172158569097519,0.0031163508538156748,1.0059674,0.9662114,GHAR,,True,QLIKE-trained,3.0,7.0
calm_bottom_90pct,GNNHAR3L_Q_IV,208,0.06309361010789871,0.0031373759265989065,1.0283293,0.97273016,GNNHAR,3.0,True,QLIKE-trained,4.0,11.0
calm_bottom_90pct,HAR_Q_IV,208,0.06504040211439133,0.0031537557952106,1.060059,0.97780865,HAR,,True,QLIKE-trained,5.0,17.0
calm_bottom_90pct,GNNHAR2L_Q,208,0.06350092589855194,0.003202511230483651,1.0349679,0.99292505,GNNHAR,2.0,False,QLIKE-trained,6.0,12.0
calm_bottom_90pct,GNNHAR3L_Q,208,0.0635223463177681,0.00320481788367033,1.035317,0.99364024,GNNHAR,3.0,False,QLIKE-trained,7.0,13.0
calm_bottom_90pct,GNNHAR2L_M_IV,208,0.06271202862262726,0.003206065157428384,1.0221101,0.99402696,GNNHAR,2.0,True,MSE-trained,8.0,10.0
calm_bottom_90pct,HAR_M,208,0.061355456709861755,0.003225330263376236,1.0,1.0,HAR,,False,MSE-trained,9.0,5.0
calm_bottom_90pct,HAR_Q,208,0.06860379874706268,0.0032494482584297657,1.1181369,1.0074776,HAR,,False,QLIKE-trained,10.0,20.0
calm_bottom_90pct,GNNHAR1L_Q,208,0.06420816481113434,0.003276779083535075,1.0464947,1.0159515,GNNHAR,1.0,False,QLIKE-trained,11.0,15.0
calm_bottom_90pct,GNNHAR1L_M,208,0.060996558517217636,0.0034057286102324724,0.9941505,1.0559317,GNNHAR,1.0,False,MSE-trained,12.0,4.0
calm_bottom_90pct,GHAR_Q,208,0.06209010258316994,0.0034383139573037624,1.0119736,1.0660347,GHAR,,False,QLIKE-trained,13.0,9.0
calm_bottom_90pct,HAR_M_IV,208,0.05982212349772453,0.003499699989333749,0.975009,1.0850672,HAR,,True,MSE-trained,14.0,2.0
calm_bottom_90pct,GNNHAR3L_M,208,0.0641193836927414,0.003582938341423869,1.0450478,1.1108749,GNNHAR,3.0,False,MSE-trained,15.0,14.0
calm_bottom_90pct,GNNHAR1L_M_IV,208,0.06515610218048096,0.0037953522987663746,1.0619447,1.1767329,GNNHAR,1.0,True,MSE-trained,16.0,18.0
calm_bottom_90pct,GHAR_M,208,0.060133595019578934,0.003943330608308315,0.98008555,1.222613,GHAR,,False,MSE-trained,17.0,3.0
calm_bottom_90pct,GHAR_M_IV,208,0.059686221182346344,0.0040643541142344475,0.972794,1.2601358,GHAR,,True,MSE-trained,18.0,1.0
calm_bottom_90pct,GNNHAR2L_M,208,0.06421954184770584,0.004259154666215181,1.0466802,1.3205329,GNNHAR,2.0,False,MSE-trained,19.0,16.0
calm_bottom_90pct,GNNHAR3L_M_IV,208,0.0679778978228569,0.004395038355141878,1.1079357,1.362663,GNNHAR,3.0,True,MSE-trained,20.0,19.0
turbulent_top_10pct,GHAR_M_IV,24,0.42110157012939453,0.004844105336815119,0.7662609,0.66382873,GHAR,,True,MSE-trained,1.0,1.0
turbulent_top_10pct,GNNHAR2L_Q_IV,24,0.43214666843414307,0.004881707951426506,0.78635925,0.66898173,GNNHAR,2.0,True,QLIKE-trained,2.0,2.0
turbulent_top_10pct,GNNHAR3L_Q_IV,24,0.4435710906982422,0.004965135827660561,0.8071478,0.68041456,GNNHAR,3.0,True,QLIKE-trained,3.0,3.0
turbulent_top_10pct,GNNHAR1L_M_IV,24,0.4465702474117279,0.005031646229326725,0.8126052,0.68952906,GNNHAR,1.0,True,MSE-trained,4.0,4.0
turbulent_top_10pct,GHAR_Q_IV,24,0.44692400097846985,0.005045141559094191,0.81324893,0.6913784,GHAR,,True,QLIKE-trained,5.0,5.0
turbulent_top_10pct,GNNHAR1L_Q_IV,24,0.4607897102832794,0.005211616400629282,0.83847976,0.71419185,GNNHAR,1.0,True,QLIKE-trained,6.0,6.0
turbulent_top_10pct,GNNHAR3L_M_IV,24,0.4868050515651703,0.00536001892760396,0.88581884,0.7345287,GNNHAR,3.0,True,MSE-trained,7.0,10.0
turbulent_top_10pct,GNNHAR2L_M_IV,24,0.48202547430992126,0.005711247678846121,0.8771216,0.7826606,GNNHAR,2.0,True,MSE-trained,8.0,9.0
turbulent_top_10pct,HAR_M_IV,24,0.4758155345916748,0.005967756267637014,0.86582166,0.81781214,HAR,,True,MSE-trained,9.0,7.0
turbulent_top_10pct,GNNHAR1L_M,24,0.492891788482666,0.005976581946015358,0.8968946,0.8190216,GNNHAR,1.0,False,MSE-trained,10.0,11.0
turbulent_top_10pct,GNNHAR2L_Q,24,0.49552735686302185,0.005979167763143778,0.9016904,0.81937593,GNNHAR,2.0,False,QLIKE-trained,11.0,12.0
turbulent_top_10pct,GHAR_M,24,0.4812577962875366,0.00599781796336174,0.87572473,0.8219317,GHAR,,False,MSE-trained,12.0,8.0
turbulent_top_10pct,GNNHAR1L_Q,24,0.509990394115448,0.0061483923345804214,0.9280082,0.8425662,GNNHAR,1.0,False,QLIKE-trained,13.0,16.0
turbulent_top_10pct,GNNHAR2L_M,24,0.506854236125946,0.006163598503917456,0.9223015,0.84465003,GNNHAR,2.0,False,MSE-trained,14.0,15.0
turbulent_top_10pct,GHAR_Q,24,0.4983218014240265,0.006176220253109932,0.90677536,0.8463797,GHAR,,False,QLIKE-trained,15.0,13.0
turbulent_top_10pct,GNNHAR3L_M,24,0.5061470866203308,0.006246237084269524,0.9210147,0.85597473,GNNHAR,3.0,False,MSE-trained,16.0,14.0
turbulent_top_10pct,HAR_Q_IV,24,0.5156353116035461,0.006399257108569145,0.93828005,0.87694436,HAR,,True,QLIKE-trained,17.0,17.0
turbulent_top_10pct,GNNHAR3L_Q,24,0.5270962715148926,0.00646171486005187,0.95913506,0.8855035,GNNHAR,3.0,False,QLIKE-trained,18.0,18.0
turbulent_top_10pct,HAR_M,24,0.5495537519454956,0.0072972215712070465,1.0,1.0,HAR,,False,MSE-trained,19.0,19.0
turbulent_top_10pct,HAR_Q,24,0.5836278796195984,0.007532594259828329,1.0620033,1.032255,HAR,,False,QLIKE-trained,20.0,20.0
