block,origin_date,train_start,valid_start,test_end,train_len,val_len,test_len
0,2025-02-21,2021-03-01,2025-01-21,2025-03-24,978,22,22
1,2025-03-25,2021-03-31,2025-02-21,2025-04-24,978,22,22
2,2025-04-25,2021-05-03,2025-03-25,2025-05-27,978,22,22
3,2025-05-28,2021-06-03,2025-04-25,2025-06-27,978,22,22
4,2025-06-30,2021-07-06,2025-05-28,2025-07-30,978,22,22
5,2025-07-31,2021-08-05,2025-06-30,2025-08-29,978,22,22
6,2025-09-02,2021-09-07,2025-07-31,2025-10-01,978,22,22
7,2025-10-02,2021-10-07,2025-09-02,2025-10-31,978,22,22
8,2025-11-03,2021-11-08,2025-10-02,2025-12-03,978,22,22
9,2025-12-04,2021-12-09,2025-11-03,2026-01-06,978,22,22
10,2026-01-07,2022-01-11,2025-12-04,2026-01-23,978,22,12
