model,mse,qlike,mse_ratio,qlike_ratio
GHAR_M_IV,0.097074024,0.0041450188,0.86782694,1.1366926
GNNHAR2L_Q_IV,0.09980725,0.0032421215,0.89226156,0.88909024
GHAR_Q_IV,0.101570114,0.0033158807,0.90802133,0.90931726
GNNHAR3L_Q_IV,0.10245334,0.0033264544,0.9159173,0.91221696
HAR_M_IV,0.10285592,0.0037550165,0.9195162,1.0297419
GNNHAR1L_Q_IV,0.103318915,0.0033324277,0.92365533,0.913855
GHAR_M,0.10369817,0.004155864,0.9270458,1.1396668
GNNHAR1L_M_IV,0.10461273,0.0039232452,0.93522185,1.0758755
GNNHAR1L_M,0.10567538,0.003671679,0.94472176,1.0068882
GNNHAR2L_M_IV,0.10608929,0.0034652217,0.948422,0.95027125
GHAR_Q,0.10721752,0.0037215452,0.95850825,1.0205631
GNNHAR2L_Q,0.10819332,0.0034897514,0.9672318,0.956998
GNNHAR3L_M,0.10984638,0.003858452,0.9820099,1.0581071
GNNHAR2L_M,0.110009335,0.0044561666,0.9834667,1.2220191
GNNHAR1L_Q,0.11032357,0.0035738423,0.9862759,0.9800584
GNNHAR3L_M_IV,0.11130484,0.0044948636,0.9950483,1.232631
GNNHAR3L_Q,0.11147827,0.0035417385,0.9965987,0.9712545
HAR_Q_IV,0.11165366,0.0034894976,0.9981667,0.95692843
HAR_M,0.11185873,0.0036465607,1.0,1.0
HAR_Q,0.121882156,0.0036925322,1.0896078,1.0126069
