model,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss
HAR_Q_IV,0.9647944569587708,0.014372420497238636,0.980672,0.93278724,HAR,,True,QLIKE-trained
GHAR_Q_IV,0.9652696251869202,0.014383319765329361,0.981155,0.9334946,GHAR,,True,QLIKE-trained
GNNHAR2L_Q_IV,0.9664291143417358,0.014383324421942234,0.98233354,0.9334949,GNNHAR,2.0,True,QLIKE-trained
GNNHAR5L_Q_IV,0.9649823904037476,0.014394627884030342,0.98086303,0.93422854,GNNHAR,5.0,True,QLIKE-trained
GNNHAR1L_Q_IV,0.9654985666275024,0.01440432108938694,0.9813877,0.9348576,GNNHAR,1.0,True,QLIKE-trained
GNNHAR4L_Q_IV,0.9698650240898132,0.014423559419810772,0.985826,0.9361062,GNNHAR,4.0,True,QLIKE-trained
GNNHAR3L_Q_IV,0.9655696749687195,0.014485190622508526,0.98146,0.94010615,GNNHAR,3.0,True,QLIKE-trained
GHAR_Q,0.986527144908905,0.015043912455439568,1.0027623,0.9763679,GHAR,,False,QLIKE-trained
GNNHAR5L_Q,0.9870096445083618,0.015050348825752735,1.0032527,0.9767856,GNNHAR,5.0,False,QLIKE-trained
GHAR2H_M_IV,0.9494219422340393,0.015054453164339066,0.9650465,0.977052,GHAR,,True,MSE-trained
GNNHAR3L_Q,0.9867919683456421,0.01505960151553154,1.0030315,0.9773861,GNNHAR,3.0,False,QLIKE-trained
GHAR_M_IV,0.9492689371109009,0.015065637417137623,0.96489096,0.97777784,GHAR,,True,MSE-trained
GHAR3H_M_IV,0.9492114186286926,0.015066467225551605,0.9648325,0.9778317,GHAR,,True,MSE-trained
GNNHAR4L_Q,0.98638916015625,0.015076684765517712,1.0026221,0.9784948,GNNHAR,4.0,False,QLIKE-trained
HAR_M_IV,0.9491828680038452,0.015087363310158253,0.9648035,0.9791879,HAR,,True,MSE-trained
GNNHAR2L_Q,0.9872630834579468,0.01509142853319645,1.0035104,0.9794517,GNNHAR,2.0,False,QLIKE-trained
HAR_Q,0.9893370866775513,0.015101967379450798,1.0056186,0.9801357,HAR,,False,QLIKE-trained
GNNHAR1L_Q,0.9876751899719238,0.015102839097380638,1.0039293,0.9801923,GNNHAR,1.0,False,QLIKE-trained
GNNHAR1L_M_IV,0.9558510184288025,0.015204453840851784,0.9715814,0.9867872,GNNHAR,1.0,True,MSE-trained
GNNHAR3L_M_IV,0.9519431591033936,0.015254377387464046,0.9676092,0.9900273,GNNHAR,3.0,True,MSE-trained
GHAR_M,0.9813153147697449,0.015292960219085217,0.9974647,0.99253136,GHAR,,False,MSE-trained
GNNHAR5L_M_IV,0.9636960625648499,0.015310099348425865,0.97955555,0.9936437,GNNHAR,5.0,True,MSE-trained
GNNHAR4L_M_IV,0.9630734920501709,0.015339170582592487,0.9789227,0.9955305,GNNHAR,4.0,True,MSE-trained
GNNHAR1L_M,0.9837611317634583,0.015358532778918743,0.9999508,0.99678713,GNNHAR,1.0,False,MSE-trained
GHAR2H_M,0.9817829132080078,0.015377629548311234,0.99794,0.9980265,GHAR,,False,MSE-trained
GNNHAR2L_M,0.9838945269584656,0.015399684198200703,1.0000864,0.9994579,GNNHAR,2.0,False,MSE-trained
GNNHAR3L_M,0.9849212765693665,0.01540123950690031,1.00113,0.9995588,GNNHAR,3.0,False,MSE-trained
HAR_M,0.9838095307350159,0.015408037230372429,1.0,1.0,HAR,,False,MSE-trained
GHAR3H_M,0.9821428656578064,0.01541797537356615,0.9983059,1.000645,GHAR,,False,MSE-trained
GNNHAR4L_M,0.9877861738204956,0.015457858331501484,1.004042,1.0032334,GNNHAR,4.0,False,MSE-trained
GNNHAR5L_M,0.9867988228797913,0.015569768846035004,1.0030385,1.0104966,GNNHAR,5.0,False,MSE-trained
GNNHAR2L_M_IV,0.9727504849433899,0.015595494769513607,0.988759,1.0121663,GNNHAR,2.0,True,MSE-trained
