model,model_class,depth,uses_iv,training_loss,forecast_mad_time_series,mean_cross_section_std,mean_cross_section_cv,diagnostic_level,note
GHAR2H_M,GHAR,,False,MSE-trained,0.79477178086023,4.4106002874569,1.090610052047574,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR3H_M,GHAR,,False,MSE-trained,0.796992578990291,4.408908553488753,1.0890872019108733,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_M,GHAR,,False,MSE-trained,0.7955416902433412,4.41635266757211,1.0928029346724557,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_Q,GHAR,,False,QLIKE-trained,0.7941532910040727,4.463471559115119,1.1040009882772541,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR2H_M_IV,GHAR,,True,MSE-trained,0.7892974784975443,4.4776971138059025,1.0906765268901897,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR3H_M_IV,GHAR,,True,MSE-trained,0.7889629828549263,4.478476994664196,1.0909794435384212,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_M_IV,GHAR,,True,MSE-trained,0.7892930199219453,4.477112974975965,1.0904196078672115,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GHAR_Q_IV,GHAR,,True,QLIKE-trained,0.7842230216220695,4.407672079978678,1.0893938843105337,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_M,GNNHAR,1.0,False,MSE-trained,0.7875278035268121,4.424638827357543,1.0919592987492226,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_M,GNNHAR,2.0,False,MSE-trained,0.7870146882764132,4.412563947155756,1.089523641251504,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_M,GNNHAR,3.0,False,MSE-trained,0.7878821703966518,4.414479881968428,1.0907901035916698,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_M,GNNHAR,4.0,False,MSE-trained,0.787049586589058,4.413657330741428,1.0900919209386568,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_M,GNNHAR,5.0,False,MSE-trained,0.7885825313110874,4.4131388733728665,1.0904702251689766,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_Q,GNNHAR,1.0,False,QLIKE-trained,0.7910239833215297,4.4690777111531155,1.103684289939147,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_Q,GNNHAR,2.0,False,QLIKE-trained,0.7894502578613839,4.460368329899503,1.1032584679880852,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_Q,GNNHAR,3.0,False,QLIKE-trained,0.7923413361945625,4.458570056175927,1.1027668648129318,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_Q,GNNHAR,4.0,False,QLIKE-trained,0.7919374657047646,4.459140528211912,1.1025099876163575,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_Q,GNNHAR,5.0,False,QLIKE-trained,0.7919865679129695,4.459691061125462,1.1034150478963314,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_M_IV,GNNHAR,1.0,True,MSE-trained,0.7824656118664057,4.468643536746287,1.0951096464488108,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_M_IV,GNNHAR,2.0,True,MSE-trained,0.7837281477543004,4.469522881053208,1.092863898114867,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR3L_M_IV,GNNHAR,3.0,True,MSE-trained,0.7830253772611484,4.463930366060346,1.0962733827351234,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR4L_M_IV,GNNHAR,4.0,True,MSE-trained,0.7771694185347879,4.4702162712903375,1.0984617616918586,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR5L_M_IV,GNNHAR,5.0,True,MSE-trained,0.7768529805004839,4.463293850186103,1.099532177515103,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR1L_Q_IV,GNNHAR,1.0,True,QLIKE-trained,0.7845181930257561,4.410001013333016,1.0893449853475006,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
GNNHAR2L_Q_IV,GNNHAR,2.0,True,QLIKE-trained,0.7840875042591401,4.406788544917455,1.0898943795456473,prediction_proxy,Prediction-level smoothing proxy; exact hidden-state MAD requires saved final GNN hidden representations.
