model,metric,mean_loss,rank_mean_loss,mcs_included,mcs_pvalue,n_dates,alpha,bootstrap,block_size,algorithm,status
HAR_M_IV,MSE,0.9491828680038452,1,True,1.0,234,0.05,10000,2,SQ,ok
GHAR3H_M_IV,MSE,0.9492114186286926,2,True,0.9941,234,0.05,10000,2,SQ,ok
GHAR_M_IV,MSE,0.9492689371109009,3,True,0.9941,234,0.05,10000,2,SQ,ok
GHAR2H_M_IV,MSE,0.9494219422340393,4,True,0.8194,234,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,MSE,0.9519431591033936,5,True,0.6847,234,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,MSE,0.9558510184288025,6,True,0.166,234,0.05,10000,2,SQ,ok
GNNHAR4L_M_IV,MSE,0.9630734920501709,7,False,0.0393,234,0.05,10000,2,SQ,ok
GNNHAR5L_M_IV,MSE,0.9636960625648499,8,False,0.0159,234,0.05,10000,2,SQ,ok
HAR_Q_IV,MSE,0.9647944569587708,9,False,0.0169,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q_IV,MSE,0.9649823904037476,10,False,0.0159,234,0.05,10000,2,SQ,ok
GHAR_Q_IV,MSE,0.9652696251869202,11,False,0.0159,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,MSE,0.9654985666275024,12,False,0.0159,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,MSE,0.9655696749687195,13,False,0.0159,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q_IV,MSE,0.9664291143417358,14,False,0.0159,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q_IV,MSE,0.9698650240898132,15,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,MSE,0.9727504849433899,16,False,0.0122,234,0.05,10000,2,SQ,ok
GHAR_M,MSE,0.9813153147697449,17,False,0.0122,234,0.05,10000,2,SQ,ok
GHAR2H_M,MSE,0.9817829132080078,18,False,0.0122,234,0.05,10000,2,SQ,ok
GHAR3H_M,MSE,0.9821428656578064,19,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR1L_M,MSE,0.9837611317634583,20,False,0.0122,234,0.05,10000,2,SQ,ok
HAR_M,MSE,0.9838095307350159,21,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR2L_M,MSE,0.9838945269584656,22,False,0.0121,234,0.05,10000,2,SQ,ok
GNNHAR3L_M,MSE,0.9849212765693665,23,False,0.0121,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q,MSE,0.98638916015625,24,False,0.0122,234,0.05,10000,2,SQ,ok
GHAR_Q,MSE,0.986527144908905,25,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q,MSE,0.9867919683456421,26,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR5L_M,MSE,0.9867988228797913,27,False,0.0117,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q,MSE,0.9870096445083618,28,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q,MSE,0.9872630834579468,29,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q,MSE,0.9876751899719238,30,False,0.0122,234,0.05,10000,2,SQ,ok
GNNHAR4L_M,MSE,0.9877861738204956,31,False,0.0104,234,0.05,10000,2,SQ,ok
HAR_Q,MSE,0.9893370866775513,32,False,0.0122,234,0.05,10000,2,SQ,ok
HAR_Q_IV,QLIKE,0.014372420497238636,1,True,1.0,234,0.05,10000,2,SQ,ok
GHAR_Q_IV,QLIKE,0.014383319765329361,2,True,0.9455,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q_IV,QLIKE,0.014383324421942234,3,True,0.9455,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q_IV,QLIKE,0.014394627884030342,4,True,0.9413,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q_IV,QLIKE,0.01440432108938694,5,True,0.709,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q_IV,QLIKE,0.014423559419810772,6,True,0.5726,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q_IV,QLIKE,0.014485190622508526,7,True,0.289,234,0.05,10000,2,SQ,ok
GHAR_Q,QLIKE,0.015043912455439568,8,False,0.0004,234,0.05,10000,2,SQ,ok
GNNHAR5L_Q,QLIKE,0.015050348825752735,9,False,0.0028,234,0.05,10000,2,SQ,ok
GHAR2H_M_IV,QLIKE,0.015054453164339066,10,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q,QLIKE,0.01505960151553154,11,False,0.0,234,0.05,10000,2,SQ,ok
GHAR_M_IV,QLIKE,0.015065637417137623,12,False,0.0,234,0.05,10000,2,SQ,ok
GHAR3H_M_IV,QLIKE,0.015066467225551605,13,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR4L_Q,QLIKE,0.015076684765517712,14,False,0.0,234,0.05,10000,2,SQ,ok
HAR_M_IV,QLIKE,0.015087363310158253,15,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q,QLIKE,0.01509142853319645,16,False,0.0,234,0.05,10000,2,SQ,ok
HAR_Q,QLIKE,0.015101967379450798,17,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR1L_Q,QLIKE,0.015102839097380638,18,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,QLIKE,0.015204453840851784,19,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,QLIKE,0.015254377387464046,20,False,0.0,234,0.05,10000,2,SQ,ok
GHAR_M,QLIKE,0.015292960219085217,21,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR5L_M_IV,QLIKE,0.015310099348425865,22,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR4L_M_IV,QLIKE,0.015339170582592487,23,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR1L_M,QLIKE,0.015358532778918743,24,False,0.0,234,0.05,10000,2,SQ,ok
GHAR2H_M,QLIKE,0.015377629548311234,25,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR2L_M,QLIKE,0.015399684198200703,26,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR3L_M,QLIKE,0.01540123950690031,27,False,0.0,234,0.05,10000,2,SQ,ok
HAR_M,QLIKE,0.015408037230372429,28,False,0.0,234,0.05,10000,2,SQ,ok
GHAR3H_M,QLIKE,0.01541797537356615,29,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR4L_M,QLIKE,0.015457858331501484,30,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR5L_M,QLIKE,0.015569768846035004,31,False,0.0,234,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,QLIKE,0.015595494769513607,32,False,0.0,234,0.05,10000,2,SQ,ok
