GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
1.1113656,1.1765096,1.1047552,1.1779699,1.1154623,1.1789606,1.1895617,1.1460768,1.109401,1.1607455,1.1818203,1.1553785,1.1002945,1.1548432,1.1778469,1.1473821,1.0942174,1.1484905,1.1833134,1.1476125,1.1004902,1.1266123,1.1796304,1.1387271,1.1047661,1.1293125,1.1791734,1.141839,1.1485031,1.1742407,1.2174379,1.1584389
0.06893795,0.100068316,0.07127329,0.0999858,0.06877599,0.10060712,0.06687363,0.08199307,0.0687712,0.0880537,0.066432916,0.08156617,0.06589237,0.07806128,0.064993165,0.07882251,0.06605116,0.08007252,0.065323666,0.07826563,0.066944376,0.07625523,0.06527985,0.07953477,0.06990578,0.07634738,0.065220185,0.07680681,0.06527421,0.09880353,0.065913625,0.082009114
0.06300716,0.109987676,0.0648962,0.11025331,0.06238467,0.109912224,0.058287993,0.07896277,0.06033047,0.09886064,0.056108087,0.07954038,0.059505265,0.080672964,0.05548709,0.07648123,0.058290865,0.08061558,0.056065004,0.07567698,0.059250757,0.07454344,0.056844488,0.07619375,0.07013408,0.07483333,0.05736744,0.07400203,0.05943502,0.10953308,0.058755387,0.083776556
0.10959984,0.16516705,0.109953396,0.16629218,0.11007225,0.164266,0.113927044,0.13329966,0.10878694,0.15750627,0.11268523,0.13524283,0.11035327,0.14848827,0.11371187,0.13351513,0.110232815,0.1477081,0.11293182,0.1340488,0.108885586,0.1467522,0.11240869,0.13386364,0.112312764,0.14685205,0.11227306,0.13224682,0.11990677,0.16829768,0.1197279,0.13616984
0.12126614,0.17342441,0.12360683,0.17418729,0.12178024,0.17216039,0.11771127,0.14476135,0.120447725,0.16808328,0.116480835,0.14642256,0.119915634,0.15388389,0.1165337,0.14525087,0.12021216,0.15462452,0.11693551,0.14524129,0.12054797,0.15132792,0.117066406,0.14528114,0.123941734,0.15442024,0.11719216,0.14426893,0.12202527,0.18336315,0.11905572,0.15069999
1.0108697,0.93399626,1.0032364,0.9358221,1.0112736,0.9304102,1.0213537,0.8946809,1.0011858,0.91043675,1.0139794,0.897957,0.99567944,0.90798783,1.0088263,0.8971933,0.9916925,0.89366543,1.0126141,0.8960018,0.99515945,0.89913905,1.0117192,0.8896964,1.00484,0.88688767,1.0125911,0.8897981,1.0400425,0.9535102,1.0381411,0.92173725
0.14010459,0.17571233,0.14149234,0.17585883,0.1421476,0.1756125,0.14246784,0.14969452,0.14467736,0.17395866,0.14405245,0.15070088,0.14134969,0.16266705,0.14487971,0.14996052,0.14501104,0.16594586,0.14288475,0.14952156,0.1462842,0.1644411,0.14260447,0.1508086,0.13699953,0.16796449,0.14149936,0.15219554,0.14282082,0.17562237,0.14550847,0.148355
0.1430594,0.19772923,0.14748134,0.19771002,0.14208032,0.19691585,0.12996307,0.14937456,0.13962613,0.17498909,0.12693648,0.14969872,0.13691323,0.16709718,0.12577206,0.14404319,0.1342109,0.15814906,0.12747535,0.14994475,0.13581409,0.1622369,0.12838437,0.14642818,0.14042057,0.16095807,0.12929446,0.14191996,0.1359639,0.20883195,0.12980276,0.16191608
0.27557686,0.3168095,0.27648455,0.31702682,0.27540487,0.31634754,0.27759764,0.2863065,0.27317718,0.29645935,0.27556625,0.28692248,0.27243534,0.29501602,0.27476984,0.28278708,0.27083236,0.28665778,0.27632052,0.2877869,0.2707985,0.29224545,0.27624783,0.28434566,0.27498516,0.28819877,0.27689528,0.28066766,0.27583653,0.3204887,0.28047734,0.29430267
0.10735074,0.1127408,0.10679456,0.11248823,0.107427776,0.113027886,0.0977135,0.09748619,0.10861216,0.11452333,0.09847461,0.09773849,0.108156055,0.10303404,0.099051245,0.09555056,0.11049806,0.10078922,0.098167546,0.09718274,0.111968555,0.10194851,0.09833006,0.09667307,0.108026445,0.10290912,0.098236956,0.09597677,0.10368079,0.118236154,0.096224114,0.1001489
