GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.008614285,0.008451988,0.008625172,0.008450675,0.008575482,0.008568213,0.008749645,0.008601788,0.008649885,0.0086300215,0.009082623,0.008637877,0.0087056635,0.009338589,0.009022111,0.008769589,0.009140155,0.009155014,0.0088535445,0.008979226,0.008794082,0.0127377985,0.008929271,0.008968101,0.008814192,0.0101839695,0.008946544,0.008906982,0.008669099,0.0085644815,0.008878238,0.008280806
0.0062964996,0.007256205,0.006418091,0.007243738,0.0063911323,0.0072652483,0.0066886838,0.006677996,0.006255375,0.0069171386,0.0069118002,0.006684408,0.0059064142,0.0067280596,0.0068178126,0.0067499694,0.005828277,0.0078374725,0.0064315205,0.0065556215,0.0060237753,0.007916727,0.0063655702,0.0068537886,0.005894817,0.007911937,0.006230725,0.006814134,0.006548857,0.007326417,0.0065493924,0.006354201
0.0050922106,0.007402834,0.0052147526,0.0074264845,0.0049264734,0.0073223007,0.0041716453,0.0052150604,0.004665499,0.0067790155,0.0040585077,0.0052867485,0.004805971,0.0060554626,0.004130373,0.0052269697,0.0045731906,0.006156336,0.004068706,0.0051627015,0.004687612,0.006363316,0.004138573,0.0051931525,0.0061144503,0.0064117135,0.004182184,0.0050961617,0.0053092767,0.0075598196,0.004192473,0.0057352325
0.005785486,0.008307293,0.0059214304,0.008353155,0.005815988,0.008236208,0.0053669764,0.006489531,0.0057350304,0.008089541,0.005363104,0.006568915,0.0057078353,0.007693106,0.005434669,0.0066128406,0.0056171613,0.008017746,0.005340697,0.006660202,0.005595663,0.008307363,0.005298017,0.006620365,0.0064143036,0.008388529,0.0052779415,0.0065543745,0.0064186524,0.00850782,0.0053987894,0.006683757
0.0059867324,0.007413698,0.006244117,0.00741456,0.005948141,0.007326129,0.0051458157,0.005436883,0.005725326,0.0068571605,0.0050497814,0.0055065313,0.005659867,0.005801346,0.005075347,0.005417858,0.0054275556,0.0057717036,0.0050749113,0.005340178,0.00558779,0.0056624925,0.0051027457,0.00535038,0.0063789636,0.0057507805,0.0051275454,0.005276469,0.0063140774,0.007588038,0.005174439,0.005964761
0.018843064,0.019259742,0.018895227,0.019268913,0.018457955,0.019190565,0.01664224,0.016163098,0.01770744,0.017778777,0.016158601,0.016124343,0.017729422,0.0163868,0.01600574,0.015593763,0.016904538,0.015443029,0.016304584,0.015736394,0.017472563,0.015124859,0.016415482,0.01531293,0.018651256,0.014456814,0.016568927,0.015241582,0.018938543,0.019535609,0.016566936,0.017452495
0.026203685,0.028227875,0.026934693,0.028104722,0.026729153,0.028387148,0.028129222,0.02774725,0.027827457,0.030354327,0.029090017,0.02797275,0.02688186,0.029584225,0.029710002,0.029673088,0.028090702,0.033329967,0.028518153,0.028180433,0.028443415,0.03142322,0.02844873,0.029133089,0.024491929,0.034241453,0.027847316,0.030649837,0.02707211,0.02841874,0.028656567,0.026192429
0.0175287,0.021561079,0.017505117,0.021602998,0.017536027,0.02151619,0.016415248,0.018282382,0.017058153,0.019776516,0.016097344,0.01820962,0.016547369,0.01886791,0.015915079,0.017533336,0.016023345,0.018241072,0.016144432,0.018251088,0.016305717,0.01835977,0.016213775,0.017845426,0.016892549,0.018175026,0.016332237,0.017473977,0.016544923,0.022056716,0.016101118,0.019286029
0.027805176,0.029573789,0.02802517,0.029550921,0.02777543,0.02953866,0.027416334,0.027744897,0.027389197,0.027995257,0.027300514,0.027689263,0.027424263,0.027688717,0.027293174,0.02740259,0.027046276,0.027037473,0.027392514,0.02775947,0.027023666,0.027458495,0.027414205,0.02755589,0.02778103,0.027235648,0.027482405,0.027310692,0.027366774,0.029897014,0.027318422,0.028568944
0.008453159,0.00948541,0.00853014,0.009452092,0.008471231,0.00944909,0.008125267,0.008124061,0.008274607,0.009155584,0.008105745,0.008197611,0.0083909575,0.008324753,0.008129551,0.007951595,0.008120585,0.00792558,0.008104931,0.008253277,0.008105385,0.008129425,0.008098851,0.008089609,0.008344783,0.008014916,0.008101309,0.007910371,0.009101421,0.009778992,0.008163703,0.008613109
0.008408254,0.010289647,0.008514529,0.010255415,0.008322781,0.010323417,0.0074999095,0.008465835,0.007940435,0.009780384,0.007370963,0.008467023,0.008097751,0.009361055,0.007370045,0.008232185,0.0076179244,0.008858436,0.0074870116,0.008655726,0.0075868187,0.008867278,0.007500743,0.008328947,0.0075872075,0.008854342,0.007516181,0.0081346,0.008414184,0.010798248,0.007476209,0.009038874
0.07684371,0.06478593,0.07631098,0.064773105,0.07670444,0.064783275,0.07089991,0.06103892,0.076817006,0.06484881,0.07136951,0.060491476,0.07620675,0.064760976,0.0711574,0.060479406,0.07719421,0.06492486,0.07109216,0.0604312,0.0771458,0.06475913,0.0712124,0.06025772,0.07740523,0.06509823,0.07129951,0.061018273,0.070903026,0.06604997,0.06991061,0.061936967
0.097073704,0.08821064,0.09621463,0.0882688,0.09556964,0.08873927,0.09979443,0.09235586,0.09780959,0.089222156,0.10138483,0.09198348,0.09808139,0.08926396,0.101235084,0.09052834,0.10167978,0.09030032,0.10083488,0.08866026,0.10097034,0.0903067,0.10075081,0.09002067,0.1034588,0.091201685,0.101018675,0.09100035,0.096908025,0.088274464,0.10098659,0.08960868
0.027893417,0.025974995,0.027823366,0.025873022,0.027804779,0.026102422,0.026893526,0.025430916,0.02736549,0.025319243,0.026693536,0.025152536,0.026979955,0.025822246,0.026647324,0.025144698,0.02726384,0.025019847,0.026851498,0.02612923,0.026569907,0.02454719,0.026874755,0.025448862,0.026303696,0.025099136,0.02675833,0.025118215,0.025893405,0.027118348,0.026421573,0.02632109
0.00754945,0.0063507073,0.007821157,0.0062280814,0.0072772843,0.006503599,0.005784818,0.0056965128,0.006923381,0.006134886,0.005588876,0.005620455,0.007158811,0.007059809,0.0056939176,0.005951068,0.0065254522,0.006176029,0.005779142,0.006825218,0.006624513,0.005287376,0.0058346293,0.0061070146,0.0062363776,0.0059549664,0.005780157,0.0055572214,0.007387474,0.007567444,0.005613255,0.006586845
0.015090569,0.016113667,0.015017248,0.016107323,0.014794121,0.016195443,0.013944981,0.015246298,0.014230098,0.01615931,0.013721396,0.015099445,0.014388968,0.017490687,0.013842361,0.01565974,0.013768686,0.016561545,0.0139474375,0.016633645,0.013977711,0.015348711,0.014025523,0.015841221,0.01354858,0.016217628,0.013996376,0.015193695,0.013851484,0.017735327,0.013724415,0.016276132
0.019754628,0.015199517,0.019797543,0.015185749,0.019805185,0.015202957,0.01883195,0.015639475,0.019638618,0.016036859,0.018944636,0.015570305,0.019550217,0.016430482,0.018755011,0.015781637,0.019434717,0.015157632,0.018669475,0.016404225,0.01948537,0.015334074,0.01871111,0.015807701,0.01984962,0.015217347,0.018725207,0.0155315325,0.019173512,0.016210895,0.018444762,0.016350536
0.010950993,0.011043195,0.010997992,0.010989175,0.010531255,0.011229648,0.009715635,0.01036971,0.010432066,0.010336734,0.009534607,0.010495282,0.010712075,0.013139853,0.0096797515,0.01151012,0.010043827,0.010247685,0.009878403,0.012290062,0.009881093,0.012360313,0.00987225,0.011868838,0.011051329,0.010726546,0.009968088,0.010859826,0.010497277,0.012850697,0.009624089,0.0121699665
0.04195926,0.03862471,0.041925382,0.038695887,0.042890422,0.038413797,0.045942463,0.040296912,0.04296763,0.047502723,0.04726717,0.040152363,0.042612538,0.03361467,0.046888188,0.0373563,0.0455543,0.039969034,0.045639,0.03581718,0.046812434,0.033779416,0.045607094,0.036240395,0.044473413,0.03845096,0.045362715,0.03875912,0.044281185,0.03503184,0.046509907,0.036102325
0.024317684,0.022462578,0.024550883,0.022611592,0.025147585,0.022116508,0.02762924,0.023628317,0.026247354,0.028060744,0.028634124,0.02361873,0.025850752,0.019625343,0.02822035,0.021785516,0.027611157,0.022871366,0.027867317,0.020816077,0.027245197,0.020994319,0.02759165,0.020922063,0.028942768,0.02227494,0.027843231,0.022669835,0.026856408,0.019956945,0.028462254,0.021018166
0.002504451,0.00294235,0.0025627285,0.0029810404,0.0025092468,0.0029041676,0.0026843534,0.0026940436,0.0025701588,0.005511057,0.002916594,0.0026842551,0.0025682684,0.0027761264,0.0026654294,0.0025299015,0.0027652534,0.0032076116,0.002604871,0.002513727,0.0027564187,0.002914726,0.002612676,0.0024897594,0.0028446035,0.0030729522,0.002715192,0.0025208744,0.002809801,0.003091862,0.0028274858,0.0023865332
0.00514174,0.004301353,0.0053762826,0.0042490577,0.0049194763,0.0044811782,0.0041104215,0.0036980582,0.004853627,0.005215561,0.004039441,0.0036493973,0.0049713654,0.0045104735,0.0041082,0.0037452807,0.004598391,0.0043483474,0.0041409405,0.004308915,0.0046984456,0.003930765,0.0041422057,0.0040393374,0.00466576,0.004140234,0.004096308,0.0037824204,0.0049037384,0.004968131,0.0040178797,0.004057942
