regime,model,n_dates,mse,qlike,mse_ratio_vs_HAR_M,qlike_ratio_vs_HAR_M,model_class,depth,uses_iv,training_loss,rank_qlike_within_regime,rank_mse_within_regime
calm_bottom_90pct,GNNHAR2L_Q_IV,210,0.9379000067710876,0.01486117485910654,0.97891176,0.9327086,GNNHAR,2.0,True,QLIKE-trained,1.0,9.0
calm_bottom_90pct,GNNHAR5L_Q_IV,210,0.9373908042907715,0.014875407330691814,0.9783803,0.9336019,GNNHAR,5.0,True,QLIKE-trained,2.0,8.0
calm_bottom_90pct,HAR_Q_IV,210,0.9372738599777222,0.014876616187393665,0.97825825,0.9336778,HAR,,True,QLIKE-trained,3.0,7.0
calm_bottom_90pct,GHAR_Q_IV,210,0.938147246837616,0.014884110540151596,0.97916985,0.93414813,GHAR,,True,QLIKE-trained,4.0,11.0
calm_bottom_90pct,GNNHAR4L_Q_IV,210,0.9423922300338745,0.014901544898748398,0.98360044,0.93524235,GNNHAR,4.0,True,QLIKE-trained,5.0,15.0
calm_bottom_90pct,GNNHAR1L_Q_IV,210,0.9385958909988403,0.014909106306731701,0.9796381,0.93571687,GNNHAR,1.0,True,QLIKE-trained,6.0,12.0
calm_bottom_90pct,GNNHAR3L_Q_IV,210,0.9381284713745117,0.014987307600677013,0.97915024,0.9406249,GNNHAR,3.0,True,QLIKE-trained,7.0,10.0
calm_bottom_90pct,GHAR_Q,210,0.9639554023742676,0.015568883158266544,1.0061065,0.97712547,GHAR,,False,QLIKE-trained,8.0,29.0
calm_bottom_90pct,GNNHAR5L_Q,210,0.9637911915779114,0.015569016337394714,1.0059351,0.9771338,GNNHAR,5.0,False,QLIKE-trained,9.0,27.0
calm_bottom_90pct,GNNHAR3L_Q,210,0.9633229374885559,0.015578942373394966,1.0054464,0.9777568,GNNHAR,3.0,False,QLIKE-trained,10.0,26.0
calm_bottom_90pct,GNNHAR4L_Q,210,0.9637986421585083,0.015596183016896248,1.005943,0.9788388,GNNHAR,4.0,False,QLIKE-trained,11.0,28.0
calm_bottom_90pct,GNNHAR2L_Q,210,0.965225875377655,0.015609314665198326,1.0074326,0.97966295,GNNHAR,2.0,False,QLIKE-trained,12.0,30.0
calm_bottom_90pct,GHAR2H_M_IV,210,0.9284856915473938,0.015613505616784096,0.9690858,0.979926,GHAR,,True,MSE-trained,13.0,2.0
calm_bottom_90pct,HAR_Q,210,0.9694370031356812,0.015623721294105053,1.0118278,0.98056716,HAR,,False,QLIKE-trained,14.0,32.0
calm_bottom_90pct,GHAR_M_IV,210,0.9286704063415527,0.015626391395926476,0.9692786,0.98073477,GHAR,,True,MSE-trained,15.0,4.0
calm_bottom_90pct,GHAR3H_M_IV,210,0.9283444285392761,0.01562727987766266,0.96893835,0.9807905,GHAR,,True,MSE-trained,16.0,1.0
calm_bottom_90pct,GNNHAR1L_Q,210,0.9665331244468689,0.015636421740055084,1.0087969,0.98136425,GNNHAR,1.0,False,QLIKE-trained,17.0,31.0
calm_bottom_90pct,HAR_M_IV,210,0.9293678402900696,0.0156553965061903,0.9700065,0.98255515,HAR,,True,MSE-trained,18.0,5.0
