family,comparison_type,estimation,uses_iv,base_model,candidate_model,base_arch,candidate_arch,fvu_base,fvu_candidate,delta_fvu_base_minus_candidate,candidate_fvu_ratio_vs_base,mse_base,mse_candidate,mse_candidate_ratio_vs_base
GNNHAR,depth_adjacent,M,True,GNNHAR2L_M_IV,GNNHAR3L_M_IV,GNNHAR2L,GNNHAR3L,0.07432865882308086,0.0727387641866896,0.0015898946363912536,0.9786099377875825,0.9727504483363858,0.9519432557293134,0.9786099377875824
GNNHAR,depth_adjacent,Q,True,GNNHAR4L_Q_IV,GNNHAR5L_Q_IV,GNNHAR4L,GNNHAR5L,0.07410818412615823,0.07373509843916978,0.00037308568698844746,0.9949656614665754,0.9698650624882597,0.9649824334319527,0.9949656614665754
GNNHAR,depth_direct_from_1L,M,True,GNNHAR1L_M_IV,GNNHAR3L_M_IV,GNNHAR1L,GNNHAR3L,0.07303736309515133,0.0727387641866896,0.00029859890846171966,0.9959116964823509,0.9558510650007044,0.9519432557293134,0.9959116964823509
GNNHAR,depth_direct_from_1L,Q,False,GNNHAR1L_Q,GNNHAR4L_Q,GNNHAR1L,GNNHAR4L,0.0754690816792241,0.07537080090247586,9.828077674824132e-05,0.9986977345614728,0.9876753354818258,0.9863891200279421,0.9986977345614728
GNNHAR,depth_adjacent,M,False,GNNHAR4L_M,GNNHAR5L_M,GNNHAR4L,GNNHAR5L,0.07547756201437816,0.07540210104858994,7.546096578822659e-05,0.9990002198829123,0.9877863189161266,0.9867987497945431,0.9990002198829123
GNNHAR,depth_direct_from_1L,Q,False,GNNHAR1L_Q,GNNHAR3L_Q,GNNHAR1L,GNNHAR3L,0.0754690816792241,0.07540158942506411,6.749225415998705e-05,0.9991056966288943,0.9876753354818258,0.9867920540997465,0.9991056966288941
GNNHAR,depth_adjacent,Q,True,GNNHAR2L_Q_IV,GNNHAR3L_Q_IV,GNNHAR2L,GNNHAR3L,0.07384564416345489,0.0737799741300718,6.567003338309174e-05,0.9991107121601143,0.966429162117263,0.9655697284152813,0.9991107121601144
GNNHAR,depth_direct_from_1L,Q,False,GNNHAR1L_Q,GNNHAR5L_Q,GNNHAR1L,GNNHAR5L,0.0754690816792241,0.07541821368538265,5.086799384144969e-05,0.9993259757146952,0.9876753354818258,0.9870096183197145,0.9993259757146952
GNNHAR,depth_direct_from_1L,Q,True,GNNHAR1L_Q_IV,GNNHAR5L_Q_IV,GNNHAR1L,GNNHAR5L,0.07377453550190688,0.07373509843916978,3.943706273709657e-05,0.9994654380069112,0.9654985522623744,0.9649824334319527,0.9994654380069112
GNNHAR,depth_adjacent,Q,False,GNNHAR2L_Q,GNNHAR3L_Q,GNNHAR2L,GNNHAR3L,0.07543759230249089,0.07540158942506411,3.6002877426777324e-05,0.9995227462021533,0.9872632292253687,0.9867920540997465,0.9995227462021533
GNNHAR,depth_direct_from_1L,Q,False,GNNHAR1L_Q,GNNHAR2L_Q,GNNHAR1L,GNNHAR2L,0.0754690816792241,0.07543759230249089,3.148937673320973e-05,0.999582751293211,0.9876753354818258,0.9872632292253687,0.999582751293211
GNNHAR,depth_adjacent,Q,False,GNNHAR3L_Q,GNNHAR4L_Q,GNNHAR3L,GNNHAR4L,0.07540158942506411,0.07537080090247586,3.0788522588254263e-05,0.9995916727641551,0.9867920540997465,0.9863891200279421,0.9995916727641551
GHAR,multi-hop,M,True,GHAR2H_M_IV,GHAR3H_M_IV,GHAR2H,GHAR3H,0.07254610639078057,0.07253001477961221,1.6091611168361775e-05,0.9997781878040196,0.9494219138900629,0.9492113205304311,0.9997781878040196
GHAR,multi-hop,M,True,GHAR_M_IV,GHAR3H_M_IV,GHAR,GHAR3H,0.07253441614364257,0.07253001477961221,4.401364030362509e-06,0.9999393203355819,0.9492689218500516,0.9492113205304311,0.9999393203355817
GNNHAR,depth_direct_from_1L,Q,True,GNNHAR1L_Q_IV,GNNHAR3L_Q_IV,GNNHAR1L,GNNHAR3L,0.07377453550190688,0.0737799741300718,-5.438628164919357e-06,1.0000737195853273,0.9654985522623744,0.9655697284152813,1.0000737195853273
GNNHAR,depth_direct_from_1L,M,False,GNNHAR1L_M,GNNHAR2L_M,GNNHAR1L,GNNHAR2L,0.07516999217286091,0.07518018259212868,-1.0190419267766537e-05,1.0001355649904065,0.9837611056811778,0.9838944692460317,1.0001355649904065
GHAR,multi-hop,M,True,GHAR_M_IV,GHAR2H_M_IV,GHAR,GHAR2H,0.07253441614364257,0.07254610639078057,-1.1690247137999266e-05,1.0001611682806524,0.9492689218500516,0.9494219138900629,1.0001611682806524
GHAR,multi-hop,M,False,GHAR2H_M,GHAR3H_M,GHAR2H,GHAR3H,0.07501883895941662,0.075046340476065,-2.750151664837608e-05,1.0003665948051164,0.9817829406170753,0.9821428571428571,1.0003665948051161
GHAR,multi-hop,M,False,GHAR_M,GHAR2H_M,GHAR,GHAR2H,0.07498310941510637,0.07501883895941662,-3.5729544310247885e-05,1.000476501235931,0.9813153426434676,0.9817829406170753,1.000476501235931
GNNHAR,depth_adjacent,Q,False,GNNHAR4L_Q,GNNHAR5L_Q,GNNHAR4L,GNNHAR5L,0.07537080090247586,0.07541821368538265,-4.741278290679163e-05,1.0006290603567838,0.9863891200279421,0.9870096183197145,1.0006290603567838
GNNHAR,depth_adjacent,M,True,GNNHAR4L_M_IV,GNNHAR5L_M_IV,GNNHAR4L,GNNHAR5L,0.07358922966597851,0.0736368106538801,-4.758098790158538e-05,1.0006465754311813,0.9630734266401334,0.9636961262562224,1.0006465754311813
GHAR,multi-hop,M,False,GHAR_M,GHAR3H_M,GHAR,GHAR3H,0.07498310941510637,0.075046340476065,-6.323106095862396e-05,1.000843270723925,0.9813153426434676,0.9821428571428571,1.0008432707239248
GNNHAR,depth_direct_from_1L,Q,True,GNNHAR1L_Q_IV,GNNHAR2L_Q_IV,GNNHAR1L,GNNHAR2L,0.07377453550190688,0.07384564416345489,-7.11086615480111e-05,1.000963864578262,0.9654985522623744,0.966429162117263,1.0009638645782617
GNNHAR,depth_adjacent,M,False,GNNHAR2L_M,GNNHAR3L_M,GNNHAR2L,GNNHAR3L,0.07518018259212868,0.07525864321365734,-7.846062152866429e-05,1.0010436343571327,0.9838944692460317,0.9849212953179299,1.001043634357133
