model,mse,qlike,mse_ratio,qlike_ratio
HAR_Q_IV,0.964794397354126,0.014372419565916061,0.9806718230247498,0.9327871203422546
GHAR_Q_IV,0.9652695059776306,0.014383319765329361,0.98115473985672,0.9334945678710938
GNNHAR2L_Q_IV,0.9664291739463806,0.014383324421942234,0.9823334813117981,0.9334948658943176
GNNHAR5L_Q_IV,0.9649824500083923,0.014394626952707767,0.9808629751205444,0.9342284202575684
GNNHAR1L_Q_IV,0.9654985666275024,0.01440432295203209,0.9813875555992126,0.9348576664924622
GNNHAR4L_Q_IV,0.969865083694458,0.014423561282455921,0.9858259558677673,0.936106264591217
GNNHAR3L_Q_IV,0.9655697345733643,0.0144851915538311,0.98145991563797,0.9401061534881592
GHAR_Q,0.986527144908905,0.015043913386762142,1.0027621984481812,0.9763678908348083
GNNHAR5L_Q,0.9870096445083618,0.01505034975707531,1.003252625465393,0.9767856001853943
GHAR2H_M_IV,0.9494219422340393,0.015054453164339066,0.9650464057922363,0.9770519137382507
GNNHAR3L_Q,0.9867920279502869,0.015059602446854115,1.0030314922332764,0.9773861169815063
GHAR_M_IV,0.9492689371109009,0.015065637417137623,0.9648908376693726,0.9777777791023254
GHAR3H_M_IV,0.9492112994194031,0.01506646815687418,0.9648322463035583,0.9778317213058472
GNNHAR4L_Q,0.9863891005516052,0.015076683834195137,1.0026218891143799,0.9784947037696838
HAR_M_IV,0.9491828083992004,0.015087364241480827,0.9648033380508423,0.9791879057884216
GNNHAR2L_Q,0.9872632026672363,0.01509142853319645,1.0035103559494019,0.9794516563415527
HAR_Q,0.989337146282196,0.015101967379450798,1.0056184530258179,0.9801356196403503
GNNHAR1L_Q,0.9876753091812134,0.015102839097380638,1.0039292573928833,0.980192244052887
GNNHAR1L_M_IV,0.9558510780334473,0.015204453840851784,0.9715813398361206,0.9867871403694153
GNNHAR3L_M_IV,0.9519432783126831,0.015254377387464046,0.9676092267036438,0.9900272488594055
GHAR_M,0.9813153147697449,0.015292959287762642,0.9974645972251892,0.9925312399864197
GNNHAR5L_M_IV,0.9636961221694946,0.01531009841710329,0.9795554876327515,0.993643581867218
GNNHAR4L_M_IV,0.9630734324455261,0.015339170582592487,0.9789225459098816,0.9955304265022278
GNNHAR1L_M,0.9837611317634583,0.015358531847596169,0.9999507069587708,0.9967869520187378
GHAR2H_M,0.9817829132080078,0.015377628616988659,0.9979398846626282,0.9980263710021973
GNNHAR2L_M,0.9838944673538208,0.015399684198200703,1.0000861883163452,0.999457836151123
GNNHAR3L_M,0.9849212765693665,0.015401238575577736,1.0011298656463623,0.999558687210083
HAR_M,0.9838096499443054,0.015408038161695004,1.0,1.0
GHAR3H_M,0.9821428656578064,0.01541797537356615,0.9983057975769043,1.0006449222564697
GNNHAR4L_M,0.9877862930297852,0.015457860194146633,1.0040420293807983,1.003233551979065
GNNHAR5L_M,0.9867987632751465,0.015569768846035004,1.0030382871627808,1.0104964971542358
GNNHAR2L_M_IV,0.9727504253387451,0.015595495700836182,0.9887588024139404,1.0121662616729736
GHAR3H_Q_IV,1.3438314199447632,0.018899349495768547,1.3659465312957764,1.2265902757644653
GHAR2H_Q_IV,1.3544766902923584,0.01900317519903183,1.3767670392990112,1.2333287000656128
GHAR3H_Q,1.3959096670150757,0.020163247361779213,1.418881893157959,1.3086187839508057
GHAR2H_Q,1.4055496454238892,0.020290302112698555,1.4286805391311646,1.3168647289276123
