array,shape,n_dates,n_tickers,finite_share,nonpositive_count,min,max
truth,"(223, 449)",223,449,1.0,0,1.5800000429153442,205.66000366210938
pred_GHAR2H_M,"(223, 449)",223,449,1.0,0,8.220000267028809,198.4043426513672
pred_GHAR2H_M_IV,"(223, 449)",223,449,1.0,0,8.220000267028809,192.77198791503906
pred_GHAR2H_Q,"(223, 449)",223,449,1.0,0,8.270000457763672,2639.36083984375
pred_GHAR2H_Q_IV,"(223, 449)",223,449,1.0,0,11.930342674255371,2026.6328125
pred_GHAR3H_M,"(223, 449)",223,449,1.0,0,8.220000267028809,198.35826110839844
pred_GHAR3H_M_IV,"(223, 449)",223,449,1.0,0,8.220000267028809,194.73239135742188
pred_GHAR3H_Q,"(223, 449)",223,449,1.0,0,8.270000457763672,2649.322265625
pred_GHAR3H_Q_IV,"(223, 449)",223,449,1.0,0,11.961089134216309,2026.367919921875
pred_GHAR_M,"(223, 449)",223,449,1.0,0,8.220000267028809,198.46432495117188
pred_GHAR_M_IV,"(223, 449)",223,449,1.0,0,8.220000267028809,192.2729034423828
pred_GHAR_Q,"(223, 449)",223,449,1.0,0,12.635306358337402,2647.04150390625
pred_GHAR_Q_IV,"(223, 449)",223,449,1.0,0,8.911470413208008,2108.491455078125
pred_GNNHAR1L_M,"(223, 449)",223,449,1.0,0,29.693119049072266,195.02525329589844
pred_GNNHAR1L_M_IV,"(223, 449)",223,449,1.0,0,29.693119049072266,191.4367218017578
pred_GNNHAR1L_Q,"(223, 449)",223,449,1.0,0,26.695478439331055,803.5276489257812
pred_GNNHAR1L_Q_IV,"(223, 449)",223,449,1.0,0,26.695478439331055,749.9559936523438
pred_GNNHAR2L_M,"(223, 449)",223,449,1.0,0,29.693119049072266,200.8283233642578
pred_GNNHAR2L_M_IV,"(223, 449)",223,449,1.0,0,29.693119049072266,201.65664672851562
pred_GNNHAR2L_Q,"(223, 449)",223,449,1.0,0,26.695478439331055,776.3156127929688
pred_GNNHAR2L_Q_IV,"(223, 449)",223,449,1.0,0,26.695478439331055,746.9033203125
pred_GNNHAR3L_M,"(223, 449)",223,449,1.0,0,29.693119049072266,195.56790161132812
pred_GNNHAR3L_M_IV,"(223, 449)",223,449,1.0,0,29.693119049072266,199.99990844726562
pred_GNNHAR3L_Q,"(223, 449)",223,449,1.0,0,26.695478439331055,813.721435546875
pred_GNNHAR3L_Q_IV,"(223, 449)",223,449,1.0,0,26.695478439331055,755.6643676757812
pred_GNNHAR4L_M,"(223, 449)",223,449,1.0,0,29.693119049072266,200.77223205566406
pred_GNNHAR4L_M_IV,"(223, 449)",223,449,1.0,0,29.693119049072266,201.50929260253906
pred_GNNHAR4L_Q,"(223, 449)",223,449,1.0,0,26.695478439331055,815.173095703125
pred_GNNHAR4L_Q_IV,"(223, 449)",223,449,1.0,0,26.695478439331055,783.8314819335938
pred_GNNHAR5L_M,"(223, 449)",223,449,1.0,0,29.693119049072266,194.82391357421875
pred_GNNHAR5L_M_IV,"(223, 449)",223,449,1.0,0,29.693119049072266,201.87945556640625
pred_GNNHAR5L_Q,"(223, 449)",223,449,1.0,0,26.695478439331055,835.50146484375
pred_GNNHAR5L_Q_IV,"(223, 449)",223,449,1.0,0,26.695478439331055,760.8509521484375
pred_HAR_M,"(223, 449)",223,449,1.0,0,8.220000267028809,198.61846923828125
pred_HAR_M_IV,"(223, 449)",223,449,1.0,0,8.220000267028809,193.06593322753906
pred_HAR_Q,"(223, 449)",223,449,1.0,0,12.814666748046875,2887.205322265625
pred_HAR_Q_IV,"(223, 449)",223,449,1.0,0,11.961346626281738,2475.74755859375
