test_date,market_rv_proxy,regime
2025-07-14,25.0459,calm_bottom_90pct
2025-07-15,25.646996,calm_bottom_90pct
2025-07-16,25.080757,calm_bottom_90pct
2025-07-17,24.81735,calm_bottom_90pct
2025-07-18,24.989956,calm_bottom_90pct
2025-07-21,25.071959,calm_bottom_90pct
2025-07-22,25.932428,calm_bottom_90pct
2025-07-23,26.208641,calm_bottom_90pct
2025-07-24,26.6496,calm_bottom_90pct
2025-07-25,26.580534,calm_bottom_90pct
2025-07-28,26.92606,calm_bottom_90pct
2025-07-29,27.379175,calm_bottom_90pct
2025-07-30,28.180868,calm_bottom_90pct
2025-07-31,29.046457,calm_bottom_90pct
2025-08-01,29.423698,calm_bottom_90pct
2025-08-04,30.02354,calm_bottom_90pct
2025-08-05,30.415703,calm_bottom_90pct
2025-08-06,30.91891,calm_bottom_90pct
2025-08-07,31.249598,calm_bottom_90pct
2025-08-08,31.678396,calm_bottom_90pct
2025-08-11,31.67882,calm_bottom_90pct
2025-08-12,31.930601,calm_bottom_90pct
2025-08-13,32.38254,calm_bottom_90pct
2025-08-14,31.960379,calm_bottom_90pct
2025-08-15,32.21568,calm_bottom_90pct
2025-08-18,32.23913,calm_bottom_90pct
2025-08-19,32.02069,calm_bottom_90pct
2025-08-20,32.06125,calm_bottom_90pct
2025-08-21,31.015676,calm_bottom_90pct
2025-08-22,31.418041,calm_bottom_90pct
2025-08-25,30.90519,calm_bottom_90pct
2025-08-26,30.699667,calm_bottom_90pct
2025-08-27,30.398998,calm_bottom_90pct
2025-08-28,29.890223,calm_bottom_90pct
2025-08-29,29.167284,calm_bottom_90pct
2025-09-02,27.07078,calm_bottom_90pct
2025-09-03,26.639801,calm_bottom_90pct
2025-09-04,26.118998,calm_bottom_90pct
2025-09-05,25.751892,calm_bottom_90pct
2025-09-08,24.815992,calm_bottom_90pct
2025-09-09,24.896057,calm_bottom_90pct
2025-09-10,25.878777,calm_bottom_90pct
2025-09-11,25.76893,calm_bottom_90pct
2025-09-12,25.389956,calm_bottom_90pct
2025-09-15,25.311024,calm_bottom_90pct
2025-09-16,25.186995,calm_bottom_90pct
2025-09-17,25.297995,calm_bottom_90pct
2025-09-18,25.488775,calm_bottom_90pct
2025-09-19,25.377127,calm_bottom_90pct
2025-09-22,24.39675,calm_bottom_90pct
2025-09-23,24.360756,calm_bottom_90pct
2025-09-24,24.624922,calm_bottom_90pct
2025-09-25,24.66343,calm_bottom_90pct
2025-09-26,24.963453,calm_bottom_90pct
2025-09-29,24.996216,calm_bottom_90pct
2025-09-30,25.039043,calm_bottom_90pct
2025-10-01,25.58833,calm_bottom_90pct
2025-10-02,25.515411,calm_bottom_90pct
2025-10-03,25.549776,calm_bottom_90pct
2025-10-06,25.37187,calm_bottom_90pct
2025-10-07,25.432116,calm_bottom_90pct
2025-10-08,25.529198,calm_bottom_90pct
2025-10-09,25.576345,calm_bottom_90pct
2025-10-10,26.633652,calm_bottom_90pct
2025-10-13,26.622873,calm_bottom_90pct
2025-10-14,26.874834,calm_bottom_90pct
2025-10-15,26.990492,calm_bottom_90pct
2025-10-16,27.625414,calm_bottom_90pct
2025-10-17,27.707619,calm_bottom_90pct
2025-10-20,27.670645,calm_bottom_90pct
2025-10-21,27.72029,calm_bottom_90pct
2025-10-22,28.057507,calm_bottom_90pct
2025-10-23,28.497416,calm_bottom_90pct
2025-10-24,28.46332,calm_bottom_90pct
