GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
9.247805,11.919448,1495.3069,2332.8247,9.249269,11.900887,1576.3141,2318.4204,9.2394285,10.159871,4589.6636,925.1939,101.86437,102.70118,416.38388,332.64752,196.57024,119.38658,368.05005,317.83005,128.31142,111.41635,425.6565,217.42758,161.23497,139.05849,421.03815,323.09714,100.945,117.135765,441.943,233.28474,9.206659,10.148283,2558.8857,3838.6099
3.4028172,5.0720263,1710.4159,2861.9463,3.4814072,5.0682473,1806.6895,2842.8687,3.3538935,3.278898,5811.9434,1007.62646,85.948296,86.73436,510.90582,395.34772,177.53859,101.19161,450.0804,368.49472,103.10709,92.26216,521.67126,240.8891,140.63527,120.31136,514.5785,383.54022,85.556496,96.499886,543.80225,258.7488,3.297351,3.2761073,3065.4888,4577.7334
19.275063,19.926922,1856.8445,2340.817,19.243553,19.93652,1951.8257,2326.5144,19.281572,19.356565,4692.685,1110.6848,108.0392,108.36834,476.1733,378.2685,162.71698,119.022545,428.0246,357.10883,117.96037,112.965034,488.41052,284.544,137.35623,133.11485,484.43066,370.62082,107.26272,116.2784,507.50638,299.81055,19.289162,19.417925,2975.5571,3675.944
5.942046,9.222084,1184.1418,1760.865,5.933847,9.222456,1244.6172,1747.0338,5.94762,6.66862,4014.3188,559.0638,95.43277,96.84469,365.39325,277.69543,154.78741,110.40156,324.18286,264.3145,108.02387,102.378685,373.1594,178.40616,129.88997,127.57428,369.11282,267.86383,94.57213,106.268875,387.2681,191.44403,5.9759884,6.7173095,2144.529,2966.3984
4.0724597,6.0819073,1253.4929,1679.62,4.095821,6.082307,1320.0485,1666.2805,4.0764832,4.2921906,3949.7117,562.5287,92.70981,93.85758,356.02515,265.00067,151.92574,108.06199,316.86368,251.7596,105.06192,99.39943,364.4831,176.71138,127.41291,124.990204,360.84018,256.22528,91.91661,103.35198,378.73618,189.11371,4.068067,4.3311453,2250.289,2788.9387
2.461571,4.397953,1343.1141,1673.8256,2.4709494,4.391091,1416.3514,1661.0944,2.4651346,2.8967767,3876.6235,567.28406,89.63384,90.63838,345.2373,255.71927,147.8419,104.335014,307.9272,239.93619,100.98214,95.698425,354.18903,167.40007,123.44439,121.95926,350.9653,248.50322,88.9543,99.49897,368.62244,180.2039,2.494707,2.9470537,2365.4128,2744.4736
12.693079,12.575534,1458.8322,1674.5016,12.6206,12.572272,1539.3822,1661.9877,12.68849,12.038081,3917.655,607.10016,86.415245,86.94709,352.70087,257.35846,142.84024,99.11205,316.0005,239.7941,96.19218,91.03548,362.48715,173.93356,118.78916,116.23088,359.33994,251.20512,85.94721,94.698654,377.89102,186.38158,12.666676,12.037193,2521.355,2662.4326
11.291769,13.360077,1434.0228,1305.6995,11.285918,13.36029,1512.0883,1295.9447,11.341337,11.269559,3177.1323,579.27155,84.921684,85.90166,287.21146,206.88098,143.46985,99.18863,258.73285,194.81375,95.64392,90.40257,296.49075,157.03241,119.51352,117.46431,294.80414,202.26869,84.29094,93.79529,309.12994,166.9082,11.392226,11.374295,2323.6802,2070.8586
15.856892,17.274662,1662.6123,1540.7502,15.923937,17.27225,1756.4073,1529.7101,15.82803,15.607932,3662.6174,648.874,90.69313,91.886185,328.9616,235.62471,152.25104,104.8639,296.9068,216.68282,102.14581,96.536194,339.58963,170.88602,127.43219,123.31792,337.2175,231.57095,89.783844,100.17743,354.96753,182.26231,15.847541,15.521169,2705.3906,2363.8445
13.923161,15.869218,1857.2395,1597.1451,13.972567,15.876054,1964.4163,1585.9238,13.891268,13.401333,3840.687,692.8891,96.74849,97.315025,340.39185,239.71133,164.44084,112.68802,307.2649,217.5902,110.09238,102.43693,351.7198,175.32582,137.63794,132.57399,348.8563,236.19043,95.77427,106.23549,368.4229,187.30858,13.8467,13.389731,2970.673,2406.4429
6.6158776,9.468351,2188.688,1717.2194,6.6214104,9.4612875,2320.1323,1704.0804,6.5888424,7.028103,4467.4224,808.29694,86.52067,87.84803,369.65503,245.58658,162.19739,105.91011,333.1744,220.38785,104.9371,95.1418,382.9904,190.01082,133.40714,129.45389,380.36865,241.43369,84.96697,100.30606,403.24896,201.04564,6.513595,7.0390124,3513.27,2494.842
9.679758,10.415289,2764.0833,2181.3723,9.678657,10.417777,2936.3794,2164.3796,9.683863,9.439776,5701.2573,986.5927,77.889946,79.040504,457.31918,297.52576,150.50644,94.4696,411.55695,259.8361,93.0347,84.516235,473.40833,217.0661,121.50861,118.274994,469.36877,292.48483,77.04814,89.30636,500.0947,229.65509,9.667879,9.390923,4483.8105,3055.4182
15.042674,15.976523,2836.9683,1711.1489,15.063681,15.983073,3007.293,1698.5575,15.061872,14.750566,4459.0205,952.5755,79.64995,80.890625,364.38004,240.05443,155.91493,96.64625,330.95404,213.25674,94.61066,85.9499,379.46136,190.4184,125.627625,119.33289,378.0588,238.0916,78.8109,91.12619,400.03723,202.04317,15.191745,14.693631,4185.4937,2435.46
67.06322,65.553375,3267.26,1692.6299,67.08026,65.58632,3461.7031,1679.7239,67.079414,64.848595,4607.2944,1107.2695,125.78022,124.47163,416.2535,282.64215,204.54541,136.06133,382.43066,255.65944,140.36433,128.07697,431.80392,249.95572,172.85602,155.46204,430.30334,279.35953,124.499344,131.86829,453.09973,259.4405,67.09857,64.83471,4646.34,2330.9114
