GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.006215759,0.008776857,0.021969747,0.016078101,0.0062015136,0.008764479,0.021672584,0.01607401,0.006208724,0.0072484026,0.017602641,0.019628216,0.08087228,0.08085614,0.058105882,0.058015995,0.09431788,0.08320437,0.057984453,0.057860512,0.08456246,0.08252559,0.05807526,0.058222145,0.08800943,0.086287536,0.05806199,0.057882834,0.0806314,0.08333133,0.05808575,0.058233444,0.006196447,0.0071289493,0.017315544,0.017218573
0.0038355105,0.005788127,0.014841365,0.011980315,0.0039766375,0.0057863425,0.014453444,0.011988298,0.0037548076,0.0035836704,0.0133352475,0.0129878465,0.06938797,0.069471024,0.048951082,0.048777983,0.08313552,0.07152471,0.048875347,0.04870364,0.07219622,0.07047872,0.04897389,0.04887484,0.076410845,0.074637815,0.048950467,0.0487191,0.069301225,0.0711738,0.04899029,0.048889026,0.0036488664,0.0035626057,0.013396907,0.012758232
0.0031564254,0.0053598005,0.016503064,0.014358201,0.003171449,0.0053713783,0.01638452,0.014373788,0.003158375,0.0038630352,0.015346433,0.015647732,0.07454118,0.07469291,0.05361015,0.053514753,0.08538117,0.07657204,0.05348614,0.053316735,0.076519154,0.075471826,0.053577766,0.053583875,0.07982284,0.079623334,0.053575445,0.05336617,0.074475124,0.076075345,0.053586446,0.053624433,0.0031848324,0.0038692276,0.015351098,0.015458657
0.0038223567,0.0060062697,0.01568037,0.012707914,0.003820397,0.0059998482,0.015479997,0.012714273,0.003822315,0.004336168,0.013469295,0.014996992,0.0755202,0.07576922,0.05361006,0.053618617,0.08526171,0.07753507,0.053491555,0.053421963,0.07730668,0.076509215,0.053516172,0.053694446,0.08014121,0.08091243,0.05349508,0.053414945,0.075415485,0.077082805,0.053509098,0.053700283,0.0038333088,0.0043698843,0.014072644,0.013868534
0.0024234734,0.0041005258,0.015318666,0.011680457,0.0024571035,0.004096859,0.015165161,0.011671406,0.0024221628,0.0025942598,0.01268818,0.014266231,0.07431192,0.07445054,0.052728478,0.05258657,0.084008895,0.076406896,0.052696865,0.052567955,0.07595454,0.07520176,0.052714746,0.05270774,0.0789341,0.07953941,0.052703585,0.05253582,0.074204504,0.07578908,0.05271327,0.05271433,0.002412077,0.002615202,0.013750423,0.01257318
0.0015304959,0.0030337158,0.013479203,0.010178344,0.0015448855,0.0030260165,0.013355788,0.010179891,0.0015289385,0.0018319117,0.011052943,0.012459369,0.07206907,0.07218877,0.050555192,0.050424777,0.08143321,0.07412883,0.05052204,0.050409492,0.07357087,0.07289849,0.05051613,0.050463673,0.07645919,0.07741452,0.05051631,0.05034477,0.07195931,0.07350439,0.050510153,0.050482754,0.0015426447,0.0018732245,0.012048612,0.011046743
0.008561314,0.008178224,0.01787525,0.015258288,0.008481989,0.008180614,0.017589618,0.015244895,0.008560108,0.007910027,0.01667982,0.016061394,0.066943616,0.06696112,0.04816814,0.047846533,0.0765757,0.06871803,0.048222538,0.048084043,0.0683509,0.06750608,0.04824826,0.047804162,0.07159794,0.071974985,0.048276562,0.047990926,0.06686025,0.06816858,0.048257638,0.047839712,0.008524402,0.007902382,0.017643629,0.015429507
0.008839281,0.009457555,0.01908317,0.014613052,0.008809584,0.009464168,0.01888265,0.014629878,0.008931878,0.008504814,0.016037418,0.016965082,0.06622701,0.066352196,0.047031824,0.046829283,0.07635525,0.06846743,0.047098566,0.046998408,0.06799588,0.067081854,0.047117252,0.047318608,0.071505964,0.071977444,0.047160365,0.046912637,0.066068314,0.06764529,0.047134496,0.047326438,0.009048573,0.008692901,0.018251874,0.015280272
0.0073005618,0.0078041283,0.020438919,0.014903687,0.0073615997,0.0077938195,0.020336045,0.014914659,0.0072759483,0.007172272,0.016322095,0.018345177,0.06630656,0.06646272,0.047418386,0.047131255,0.07757147,0.068445645,0.0474465,0.04729355,0.068426326,0.06720459,0.04750587,0.047854833,0.07241832,0.07196434,0.047511257,0.04714043,0.066052176,0.06788495,0.047497857,0.04789973,0.0072961454,0.0071318154,0.0192679,0.015231557
0.006530938,0.007266691,0.022323731,0.015636984,0.0065433434,0.0072497306,0.022136271,0.015649626,0.006503659,0.006197207,0.017302217,0.019586442,0.0728652,0.072780706,0.052821442,0.052392464,0.08494526,0.0755983,0.052573856,0.052403703,0.07522031,0.0736127,0.052870754,0.053111646,0.07939605,0.079334974,0.052650403,0.05227308,0.07264139,0.0742828,0.05285809,0.05320775,0.0064757937,0.0062159384,0.019776206,0.0160641
