model,FVU_mean
GHAR_M,0.00012817276001442224
GHAR2H_M,0.00019206272554583848
GHAR3H_M,0.00023647186753805727
GHAR_M_IV,0.004456662107259035
HAR_M_IV,0.004476596601307392
GHAR2H_M_IV,0.005755304824560881
GHAR3H_M_IV,0.006482061464339495
GHAR_Q_IV,0.34816718101501465
GHAR3H_Q_IV,0.3563949465751648
GHAR2H_Q_IV,0.35661035776138306
GNNHAR2L_Q_IV,0.3633301258087158
GNNHAR3L_Q_IV,0.3646811842918396
GNNHAR1L_Q_IV,0.36562472581863403
GNNHAR5L_Q_IV,0.3682754635810852
GNNHAR4L_Q_IV,0.37087327241897583
GHAR2H_Q,0.3739908039569855
GHAR3H_Q,0.37423864006996155
HAR_Q,0.3797260522842407
HAR_Q_IV,0.381413072347641
GHAR_Q,0.3825196325778961
GNNHAR1L_Q,0.3864835798740387
GNNHAR3L_Q,0.3894548714160919
GNNHAR5L_Q,0.3928280472755432
GNNHAR2L_Q,0.4721543490886688
GNNHAR1L_M_IV,0.5700344443321228
GNNHAR5L_M,0.573356568813324
GNNHAR1L_M,0.5756521224975586
GNNHAR3L_M_IV,0.5845841765403748
GNNHAR5L_M_IV,0.5878813862800598
GNNHAR2L_M_IV,0.597352147102356
GNNHAR3L_M,0.6310881972312927
GNNHAR4L_M_IV,0.6465721130371094
GNNHAR4L_Q,0.7629113793373108
GNNHAR4L_M,0.9538702368736267
GNNHAR2L_M,2.0996642112731934
