model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,0.9656996242352143,0.9733134432574158,1.00012140309655,0.9989628354624996
HAR+IV,MSE,0.9655823995419358,0.9743239775349513,1.0,1.0
GHAR2H+IV,MSE,0.9858605673711031,0.9909242234357183,1.021000970853225,1.0170377064339173
GHAR,MSE,1.000002511317071,0.9980434967678457,1.0356469958353258,1.0243445915114446
GHAR2H,MSE,1.001014930856266,0.9981282195687569,1.0366955024564852,1.024431546982997
GHAR3H,MSE,1.0014701070753846,0.9983412544377148,1.037166903156555,1.024650195886103
HAR,MSE,1.0,1.0,1.0356443950038772,1.0263526537959267
GHAR3H+IV,MSE,1.0024697009595385,1.0202665534846447,1.0382021269599586,1.0471532847481888
GNNHAR1L-IV,MSE,6.260821085879151,10.911992246431206,6.48398426571283,11.199552200325243
GNNHAR5L,MSE,6.272382472154875,10.918682482680941,6.495957750607759,11.20641874205468
GNNHAR1L,MSE,6.282180196327594,10.921665380135245,6.506104708731028,11.209480246772907
GNNHAR3L-IV,MSE,6.321409839053277,10.935419942683183,6.546732668337887,11.223597278545785
GNNHAR5L-IV,MSE,6.360803076148156,10.950551353068152,6.587530053536257,11.239127441750073
GNNHAR2L-IV,MSE,6.380445163239197,10.955611800944803,6.607872270938272,11.24432124585767
GNNHAR3L,MSE,6.466408264098713,10.987388172042131,6.696899474520583,11.276935008661416
GNNHAR4L-IV,MSE,6.577991821716578,11.048121732339798,6.812460360542118,11.339269059447401
GNNHAR4L,MSE,6.743362050841973,11.098179401144863,6.983725111436339,11.390645880668318
GNNHAR2L,MSE,7.040369063156755,11.257975608019116,7.29131875901699,11.55465314166023
