model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,Rolling GLASSO-1hop,MSE,10.268301963806152,0.004429481457918882,0.9656996242352143,0.9733134432574158,1.00012140309655,0.9989628354624996
HAR+IV,HAR,real,Identity,MSE,10.26705551147461,0.004434080328792334,0.9655823995419358,0.9743239775349513,1.0,1.0
GHAR2H+IV,GHAR,real,Rolling GLASSO-2hop,MSE,10.482673645019531,0.004509626887738705,0.9858605673711031,0.9909242234357183,1.021000970853225,1.0170377064339173
GHAR,GHAR,none,Rolling GLASSO-1hop,MSE,10.633045196533203,0.004542026203125715,1.000002511317071,0.9980434967678457,1.0356469958353258,1.0243445915114446
GHAR2H,GHAR,none,Rolling GLASSO-2hop,MSE,10.643810272216797,0.004542411770671606,1.001014930856266,0.9981282195687569,1.0366955024564852,1.024431546982997
GHAR3H,GHAR,none,Rolling GLASSO-3hop,MSE,10.648650169372559,0.004543381277471781,1.0014701070753846,0.9983412544377148,1.037166903156555,1.024650195886103
HAR,HAR,none,Identity,MSE,10.633018493652344,0.0045509301126003265,1.0,1.0,1.0356443950038772,1.0263526537959267
GHAR3H+IV,GHAR,real,Rolling GLASSO-3hop,MSE,10.659278869628906,0.004643161781132221,1.0024697009595385,1.0202665534846447,1.0382021269599586,1.0471532847481888
GNNHAR1L-IV,GNNHAR,real,Rolling GLASSO,MSE,66.57142639160156,0.049659714102745056,6.260821085879151,10.911992246431206,6.48398426571283,11.199552200325243
GNNHAR5L,GNNHAR,none,Rolling GLASSO,MSE,66.6943588256836,0.049690160900354385,6.272382472154875,10.918682482680941,6.495957750607759,11.20641874205468
GNNHAR1L,GNNHAR,none,Rolling GLASSO,MSE,66.79853820800781,0.04970373585820198,6.282180196327594,10.921665380135245,6.506104708731028,11.209480246772907
GNNHAR3L-IV,GNNHAR,real,Rolling GLASSO,MSE,67.21566772460938,0.049766331911087036,6.321409839053277,10.935419942683183,6.546732668337887,11.223597278545785
GNNHAR5L-IV,GNNHAR,real,Rolling GLASSO,MSE,67.63453674316406,0.049835193902254105,6.360803076148156,10.950551353068152,6.587530053536257,11.239127441750073
GNNHAR2L-IV,GNNHAR,real,Rolling GLASSO,MSE,67.84339141845703,0.049858223646879196,6.380445163239197,10.955611800944803,6.607872270938272,11.24432124585767
GNNHAR3L,GNNHAR,none,Rolling GLASSO,MSE,68.75743865966797,0.05000283569097519,6.466408264098713,10.987388172042131,6.696899474520583,11.276935008661416
GNNHAR4L-IV,GNNHAR,real,Rolling GLASSO,MSE,69.94390869140625,0.05027922987937927,6.577991821716578,11.048121732339798,6.812460360542118,11.339269059447401
GNNHAR4L,GNNHAR,none,Rolling GLASSO,MSE,71.7022933959961,0.050507038831710815,6.743362050841973,11.098179401144863,6.983725111436339,11.390645880668318
GNNHAR2L,GNNHAR,none,Rolling GLASSO,MSE,74.8603744506836,0.05123426020145416,7.040369063156755,11.257975608019116,7.29131875901699,11.55465314166023
