regime,model,n_dates,mse,qlike
calm,GHAR+IV,167,9.920430183410645,0.004505518823862076
calm,HAR+IV,167,9.917366981506348,0.004511904437094927
calm,GHAR2H,167,10.256572723388672,0.004589697811752558
calm,GHAR,167,10.243627548217773,0.0045899818651378155
calm,GHAR3H,167,10.262575149536133,0.00459081819280982
calm,HAR,167,10.235928535461426,0.004600420594215393
calm,GHAR2H+IV,167,10.201744079589844,0.00461215665563941
calm,GHAR3H+IV,167,10.432655334472656,0.004788349848240614
calm,GNNHAR1L-IV,167,75.41246795654297,0.05723359063267708
calm,GNNHAR5L,167,75.46843719482422,0.057248007506132126
calm,GNNHAR1L,167,75.60076904296875,0.0572672076523304
calm,GNNHAR3L-IV,167,76.28064727783203,0.057376645505428314
calm,GNNHAR5L-IV,167,76.84949493408203,0.057469405233860016
calm,GNNHAR2L-IV,167,77.28450012207031,0.0575253963470459
calm,GNNHAR3L,167,78.21643829345703,0.05766598880290985
calm,GNNHAR4L-IV,167,80.10440063476562,0.0580906979739666
calm,GNNHAR4L,167,82.29840850830078,0.05836489424109459
calm,GNNHAR2L,167,86.4438247680664,0.05932801961898804
volatile_top_quartile,HAR+IV,56,11.3098726272583,0.004201999865472317
volatile_top_quartile,GHAR+IV,56,11.305705070495605,0.004202729091048241
volatile_top_quartile,GHAR2H+IV,56,11.320443153381348,0.004203868098556995
volatile_top_quartile,GHAR3H+IV,56,11.335101127624512,0.004210191313177347
volatile_top_quartile,GHAR,56,11.794346809387207,0.004399014171212912
volatile_top_quartile,GHAR2H,56,11.79860782623291,0.004401396494358778
volatile_top_quartile,GHAR3H,56,11.799982070922852,0.0044019161723554134
volatile_top_quartile,HAR,56,11.8171968460083,0.004403342958539724
volatile_top_quartile,GNNHAR4L-IV,56,39.643890380859375,0.026984306052327156
volatile_top_quartile,GNNHAR2L-IV,56,39.68867874145508,0.02699362300336361
volatile_top_quartile,GNNHAR5L-IV,56,40.154212951660156,0.02706887014210224
volatile_top_quartile,GNNHAR3L-IV,56,40.18259811401367,0.027071306481957436
volatile_top_quartile,GNNHAR1L-IV,56,40.206199645996094,0.02707335352897644
volatile_top_quartile,GNNHAR4L,56,40.10314178466797,0.02707378938794136
volatile_top_quartile,GNNHAR2L,56,40.3169059753418,0.027097485959529877
volatile_top_quartile,GNNHAR1L,56,40.54902267456055,0.027148397639393806
volatile_top_quartile,GNNHAR3L,56,40.549346923828125,0.027150223031640053
volatile_top_quartile,GNNHAR5L,56,40.5287971496582,0.02715158462524414
