block_id,origin_index,origin_date,train_start_date,valid_start_date,test_end_date,train_size,valid_size,test_size,graph_method,graph_alpha,graph_edges,graph_density,graph_train_rows,graph_fallback
0,1000,2025-07-14,2021-07-19,2025-06-10,2025-08-12,978,22,22,glasso_cv,0.545517638998907,2649,0.0263382914412981,1000,
1,1022,2025-08-13,2021-08-18,2025-07-14,2025-09-12,978,22,22,glasso_cv,0.5464299597591774,2493,0.0247872255806554,1000,
2,1044,2025-09-15,2021-09-20,2025-08-13,2025-10-14,978,22,22,glasso_cv,0.546483783609454,2461,0.0244690582246261,1000,
3,1066,2025-10-15,2021-10-20,2025-09-15,2025-11-13,978,22,22,glasso_cv,0.5465204922238902,2387,0.0237332962138084,1000,
4,1088,2025-11-14,2021-11-19,2025-10-15,2025-12-16,978,22,22,glasso_cv,0.5465742229639302,2360,0.0234648425071587,1000,
5,1110,2025-12-17,2021-12-22,2025-11-14,2026-01-20,978,22,22,glasso_cv,0.5466193184730521,2277,0.0226395959274578,1000,
6,1132,2026-01-21,2022-01-25,2025-12-17,2026-02-20,978,22,22,glasso_cv,0.5466409547440371,2264,0.0225103404390709,1000,
7,1154,2026-02-23,2022-02-25,2026-01-21,2026-03-24,978,22,22,glasso_cv,0.546638046998657,2080,0.0206808781419026,1000,
8,1176,2026-03-25,2022-03-29,2026-02-23,2026-04-24,978,22,22,glasso_cv,0.5466423428115399,1975,0.0196368915049315,1000,
9,1198,2026-04-27,2022-04-29,2026-03-25,2026-05-27,978,22,22,glasso_cv,0.546594304995563,1942,0.0193087814190264,1000,
10,1220,2026-05-28,2022-06-01,2026-04-27,2026-06-01,978,22,3,glasso_cv,0.5466105922168953,1739,0.0172904072542157,1000,
