,rv_coverage,iv_coverage,returns_coverage,min_coverage
BNY,0.946656050955414,0.0,1.0,0.0
FDXF,0.0,0.0,0.007165605095541401,0.0
NVR,1.0,0.0,1.0,0.0
MRSH,0.07882165605095541,0.07961783439490445,1.0,0.07882165605095541
Q,0.10270700636942676,0.1035031847133758,0.12261146496815287,0.10270700636942676
PSKY,0.1624203821656051,0.16560509554140126,1.0,0.1624203821656051
CBOE,0.2085987261146497,1.0,1.0,0.2085987261146497
SNDK,0.2412420382165605,0.25398089171974525,0.2627388535031847,0.2412420382165605
XYZ,0.2770700636942675,0.2762738853503185,1.0,0.2762738853503185
EXE,0.3359872611464968,0.3351910828025478,1.0,0.3351910828025478
TPL,1.0,0.34076433121019106,1.0,0.34076433121019106
SW,0.36703821656050956,0.38057324840764334,1.0,0.36703821656050956
GEV,0.4195859872611465,0.43471337579617836,0.43869426751592355,0.4195859872611465
SOLV,0.42038216560509556,0.4355095541401274,0.4394904458598726,0.42038216560509556
CPAY,1.0,0.4410828025477707,1.0,0.4410828025477707
FISV,0.517515923566879,0.51671974522293,0.9984076433121019,0.51671974522293
VLTO,0.5191082802547771,0.5230891719745223,0.5342356687898089,0.5191082802547771
TKO,1.0,0.5469745222929936,1.0,0.5469745222929936
EG,1.0,0.5835987261146497,1.0,0.5835987261146497
KVUE,0.6019108280254777,0.6154458598726115,0.6178343949044586,0.6019108280254777
RVTY,1.0,0.6122611464968153,1.0,0.6122611464968153
COR,1.0,0.6656050955414012,1.0,0.6656050955414012
GEHC,0.6679936305732485,0.6815286624203821,0.6934713375796179,0.6679936305732485
GEN,1.0,0.714968152866242,1.0,0.714968152866242
ELV,1.0,0.7890127388535032,1.0,0.7890127388535032
BALL,1.0,0.8152866242038217,1.0,0.8152866242038217
WBD,1.0,0.8312101910828026,1.0,0.8312101910828026
CEG,0.8519108280254777,0.8646496815286624,0.8757961783439491,0.8519108280254777
DOC,1.0,0.8678343949044586,1.0,0.8678343949044586
WRB,1.0,0.8726114649681529,1.0,0.8726114649681529
WTW,1.0,0.8813694267515924,1.0,0.8813694267515924
PCAR,1.0,0.9044585987261147,1.0,0.9044585987261147
LYB,1.0,0.9299363057324841,1.0,0.9299363057324841
NI,1.0,0.9307324840764332,1.0,0.9307324840764332
HOOD,0.9546178343949044,0.9673566878980892,0.9713375796178344,0.9546178343949044
TDG,1.0,0.9585987261146497,1.0,0.9585987261146497
DELL,1.0,0.9585987261146497,1.0,0.9585987261146497
ACGL,1.0,0.964171974522293,1.0,0.964171974522293
COHR,1.0,0.964171974522293,1.0,0.964171974522293
PSA,1.0,0.9689490445859873,1.0,0.9689490445859873
GE,1.0,0.9697452229299363,1.0,0.9697452229299363
MMM,1.0,0.9713375796178344,1.0,0.9713375796178344
FAST,1.0,0.9721337579617835,1.0,0.9721337579617835
F,1.0,0.9737261146496815,1.0,0.9737261146496815
HST,1.0,0.9737261146496815,1.0,0.9737261146496815
FANG,1.0,0.9761146496815286,1.0,0.9761146496815286
FOX,1.0,0.981687898089172,1.0,0.981687898089172
IBM,1.0,0.98328025477707,1.0,0.98328025477707
