hidden,lr,layers,num_nn,valid_loss,model,selected,block_id,origin_date
9,0.001,1,1,0.3076498806476593,GNNHAR1L,True,0,2026-02-17
9,0.001,2,1,1.1664888858795166,GNNHAR2L,True,0,2026-02-17
9,0.001,3,1,0.2991848289966583,GNNHAR3L,True,0,2026-02-17
9,0.001,1,1,0.30925706028938293,GNNHAR1L-IV,True,0,2026-02-17
9,0.001,2,1,0.2989414632320404,GNNHAR2L-IV,True,0,2026-02-17
9,0.001,3,1,0.29795390367507935,GNNHAR3L-IV,True,0,2026-02-17
9,0.001,1,1,0.16664087772369385,GNNHAR1L,True,1,2026-03-19
9,0.001,2,1,0.14090411365032196,GNNHAR2L,True,1,2026-03-19
9,0.001,3,1,0.1544066220521927,GNNHAR3L,True,1,2026-03-19
9,0.001,1,1,0.15767353773117065,GNNHAR1L-IV,True,1,2026-03-19
9,0.001,2,1,0.14401884377002716,GNNHAR2L-IV,True,1,2026-03-19
9,0.001,3,1,0.1451067477464676,GNNHAR3L-IV,True,1,2026-03-19
