model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,0.960687193753415,0.9441919240627304,1.0010906864833353,0.9991137282705225
GHAR2H+IV,MSE,0.9618162903159779,0.944443722586142,1.0022672693089123,0.9993801734233428
GHAR3H+IV,MSE,0.9617779121569549,0.9445400032394848,1.0022272770847918,0.9994820545346617
HAR+IV,MSE,0.9596405268019713,0.9450294769716934,1.0,1.0
GHAR2H,MSE,1.0035629392908696,0.9961727431488002,1.0457696515123958,1.0541181703040559
GHAR,MSE,1.0009031660090095,0.9965279243351893,1.042998016501603,1.0544940116878898
GHAR3H,MSE,1.0035865223914866,0.9966549534620642,1.0457942264443192,1.0546284298515243
HAR,MSE,1.0,1.0,1.0420568661606318,1.0581680512278382
GNNHAR2L-IV,MSE,6.08146092413717,10.710132041692994,6.337228112284719,11.333119550951102
GNNHAR3L,MSE,6.12360303501156,10.746329693526494,6.381142588275879,11.371422749650781
GNNHAR3L-IV,MSE,6.146254380672181,10.767284495772246,6.404746578549307,11.393596451907035
GNNHAR1L,MSE,6.173134665734022,10.784953650106099,6.432757364162353,11.41229338651533
GNNHAR1L-IV,MSE,6.292292508761344,10.863873118078416,6.556926612645865,11.495803446143535
GNNHAR2L,MSE,7.631394357498447,11.698576184266159,7.95234688861076,12.37905956304532
