model,family,iv_channel,adjacency,estimation,test_mse,test_qlike,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,GHAR,real,Rolling GLASSO-1hop,MSE,16.472026824951172,0.005447933916002512,0.960687193753415,0.9441919240627304,1.0010906864833353,0.9991137282705225
GHAR2H+IV,GHAR,real,Rolling GLASSO-2hop,MSE,16.49138641357422,0.005449386779218912,0.9618162903159779,0.944443722586142,1.0022672693089123,0.9993801734233428
GHAR3H+IV,GHAR,real,Rolling GLASSO-3hop,MSE,16.4907283782959,0.00544994231313467,0.9617779121569549,0.9445400032394848,1.0022272770847918,0.9994820545346617
HAR+IV,HAR,real,Identity,MSE,16.45408058166504,0.005452766548842192,0.9596405268019713,0.9450294769716934,1.0,1.0
GHAR2H,GHAR,none,Rolling GLASSO-2hop,MSE,17.207178115844727,0.005747860297560692,1.0035629392908696,0.9961727431488002,1.0457696515123958,1.0541181703040559
GHAR,GHAR,none,Rolling GLASSO-1hop,MSE,17.16157341003418,0.005749909672886133,1.0009031660090095,0.9965279243351893,1.042998016501603,1.0544940116878898
GHAR3H,GHAR,none,Rolling GLASSO-3hop,MSE,17.207582473754883,0.005750642623752356,1.0035865223914866,0.9966549534620642,1.0457942264443192,1.0546284298515243
HAR,HAR,none,Identity,MSE,17.146087646484375,0.005769943352788687,1.0,1.0,1.0420568661606318,1.0581680512278382
GNNHAR2L-IV,GNNHAR,real,Rolling GLASSO,MSE,104.27326202392578,0.06179685518145561,6.08146092413717,10.710132041692994,6.337228112284719,11.333119550951102
GNNHAR3L,GNNHAR,none,Rolling GLASSO,MSE,104.99583435058594,0.06200571358203888,6.12360303501156,10.746329693526494,6.381142588275879,11.371422749650781
GNNHAR3L-IV,GNNHAR,real,Rolling GLASSO,MSE,105.38421630859375,0.06212662160396576,6.146254380672181,10.767284495772246,6.404746578549307,11.393596451907035
GNNHAR1L,GNNHAR,none,Rolling GLASSO,MSE,105.84510803222656,0.062228571623563766,6.173134665734022,10.784953650106099,6.432757364162353,11.41229338651533
GNNHAR1L-IV,GNNHAR,real,Rolling GLASSO,MSE,107.88819885253906,0.06268393248319626,6.292292508761344,10.863873118078416,6.556926612645865,11.495803446143535
GNNHAR2L,GNNHAR,none,Rolling GLASSO,MSE,130.8485565185547,0.06750012189149857,7.631394357498447,11.698576184266159,7.95234688861076,12.37905956304532
