regime,model,n_dates,mse,qlike
calm,GHAR+IV,33,18.820730209350586,0.0063443658873438835
calm,GHAR2H+IV,33,18.839141845703125,0.006347350310534239
calm,GHAR3H+IV,33,18.839038848876953,0.006348093505948782
calm,HAR+IV,33,18.80921745300293,0.006349674891680479
calm,GHAR2H,33,19.86579132080078,0.0067054801620543
calm,GHAR,33,19.813432693481445,0.006707541644573212
calm,GHAR3H,33,19.864709854125977,0.006707870401442051
calm,HAR,33,19.806623458862305,0.006735809613019228
calm,GNNHAR3L,33,113.45655059814453,0.06905220448970795
calm,GNNHAR2L-IV,33,113.7220458984375,0.06912394613027573
calm,GNNHAR1L,33,114.34278106689453,0.06924041360616684
calm,GNNHAR3L-IV,33,114.67432403564453,0.0694507583975792
calm,GNNHAR1L-IV,33,117.17991638183594,0.0699891671538353
calm,GNNHAR2L,33,138.39779663085938,0.07419627159833908
volatile_top_quartile,GHAR3H+IV,11,9.44579792022705,0.0027554889675229788
volatile_top_quartile,GHAR2H+IV,11,9.448124885559082,0.0027554959524422884
volatile_top_quartile,GHAR+IV,11,9.425923347473145,0.0027586380019783974
volatile_top_quartile,HAR+IV,11,9.388670921325684,0.002762044779956341
volatile_top_quartile,HAR,11,9.164484024047852,0.002872343407943845
volatile_top_quartile,GHAR2H,11,9.231330871582031,0.002874998841434717
volatile_top_quartile,GHAR,11,9.206002235412598,0.002877014223486185
volatile_top_quartile,GHAR3H,11,9.236205101013184,0.0028789567295461893
volatile_top_quartile,GNNHAR2L-IV,11,75.92695617675781,0.03981558233499527
volatile_top_quartile,GNNHAR3L-IV,11,77.5138931274414,0.04015423357486725
volatile_top_quartile,GNNHAR1L-IV,11,80.01302337646484,0.04076823964715004
volatile_top_quartile,GNNHAR3L,11,79.61370849609375,0.040866244584321976
volatile_top_quartile,GNNHAR1L,11,80.35205841064453,0.041193071752786636
volatile_top_quartile,GNNHAR2L,11,108.20081329345703,0.04741167277097702
