universe,n_assets,comparison,base_model,improved_model,mse_gain,qlike_gain
sp100-smoke,12,Graph gain without IV: GHAR vs HAR,HAR,GHAR,0.003295869937379181,-0.0007840614895362474
sp100-smoke,12,Graph gain with IV: GHAR+IV vs HAR+IV,HAR+IV,GHAR+IV,0.005075437744265665,0.0005330725192078667
sp100-smoke,12,IV gain in HAR: HAR+IV vs HAR,HAR,HAR+IV,-0.025217281896358967,-0.00020230479067051554
sp100-smoke,12,IV gain in GHAR: GHAR+IV vs GHAR,GHAR,GHAR+IV,-0.023386805213362116,0.001114063566858281
sp100-smoke,12,Best non-IV GNN vs GHAR: GNNHAR1L,GHAR,GNNHAR1L,-14.789295347396797,-12.001774485361045
sp100-smoke,12,Best IV GNN vs GHAR+IV: GNNHAR1L-IV,GHAR+IV,GNNHAR1L-IV,-17.288031967642436,-13.224612695841307
sp100-smoke,12,IV gain in best GNN: GNNHAR1L-IV vs GNNHAR1L,GNNHAR1L,GNNHAR1L-IV,-0.18534299328887505,-0.09283279671418154
sp500-smoke,25,Graph gain without IV: GHAR vs HAR,HAR,GHAR,-0.0001563902397729855,-0.001125829222649255
sp500-smoke,25,Graph gain with IV: GHAR+IV vs HAR+IV,HAR+IV,GHAR+IV,0.0005000380064498211,0.0012869357840905593
sp500-smoke,25,IV gain in HAR: HAR+IV vs HAR,HAR,HAR+IV,0.02483283826036753,0.03335412296119611
sp500-smoke,25,IV gain in GHAR: GHAR+IV vs GHAR,GHAR,GHAR+IV,0.02547286543611893,0.03568378950055562
sp500-smoke,25,Best non-IV GNN vs GHAR: GNNHAR1L,GHAR,GNNHAR1L,-5.895079642921746,-10.188752810965559
