model,mse_ratio,qlike_ratio
HAR_Q_IV,0.980672,0.932787
GHAR_Q_IV,0.981155,0.933495
GNNHAR2L_Q_IV,0.982333,0.933495
GNNHAR5L_Q_IV,0.980863,0.934228
GNNHAR1L_Q_IV,0.981388,0.934858
GNNHAR4L_Q_IV,0.985826,0.936106
GNNHAR3L_Q_IV,0.98146,0.940106
GHAR_Q,1.002762,0.976368
GNNHAR5L_Q,1.003253,0.976786
GNNHAR3L_Q,1.003032,0.977386
GHAR_M_IV,0.964891,0.977778
GNNHAR4L_Q,1.002622,0.978495
HAR_M_IV,0.964803,0.979188
GNNHAR2L_Q,1.00351,0.979452
HAR_Q,1.005618,0.980136
GNNHAR1L_Q,1.003929,0.980192
GNNHAR1L_M_IV,0.971581,0.986787
GNNHAR3L_M_IV,0.967609,0.990027
GHAR_M,0.997465,0.992531
GNNHAR5L_M_IV,0.979556,0.993644
GNNHAR4L_M_IV,0.978923,0.99553
GNNHAR1L_M,0.999951,0.996787
GNNHAR2L_M,1.000086,0.999458
GNNHAR3L_M,1.00113,0.999559
HAR_M,1.0,1.0
GNNHAR4L_M,1.004042,1.003234
GNNHAR5L_M,1.003038,1.010496
GNNHAR2L_M_IV,0.988759,1.012166
