Model,Block,Est.,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\),\(\rho_Q^{IV}\)
GHAR,strict core,MSE,0.9625533315584792,0.9867635022318834,0.01323649776811664,1.0230494716050536
HAR,strict core,MSE,1.0,1.0,0.0,1.0367727112840086
GNNHAR1L,strict core,MSE,1.0183440358719351,1.0303846866900952,-0.030384686690095197,1.0682747252852138
GNNHAR2L,strict core,MSE,1.0038971688963931,1.0463906261042748,-0.0463906261042748,1.0848692464883003
GNNHAR3L,strict core,MSE,1.0575276918997378,1.094737451861583,-0.09473745186158311,1.1349939161106808
GNNHAR1L-QLIKE,QLIKE-trained extension,QLIKE,2.3467125378624054,1.2320045423715082,-0.23200454237150825,1.277308689708723
GHAR+IV,IV extension,MSE,0.9114219890866578,0.9549473566731802,0.0450526433268198,0.9900633601115504
GNNHAR3L-IV,IV extension,MSE,0.8519090098589013,0.9554857647951762,0.04451423520482378,0.9906215669599694
HAR+IV,IV extension,MSE,0.9284521253241514,0.9645315594403842,0.035468440559615844,1.0
GNNHAR2L-IV,IV extension,MSE,0.8832653272336743,0.9992553071404828,0.0007446928595171709,1.0360006340489731
GNNHAR1L-IV,IV extension,MSE,0.919946894000285,1.0155255289578309,-0.01552552895783088,1.0528691560357373
GNNHAR1L-IV-QLIKE,IV extension,QLIKE,2.2777557595756175,1.136019963660461,-0.1360199636604611,1.1777944977970176
GHAR+fakeIV,diagnostic placebo,MSE,0.966861001540146,0.9898372368807368,0.01016276311926323,1.026236235810713
HAR+fakeIV,diagnostic placebo,MSE,0.995254962848118,0.9984655049854624,0.001534495014537618,1.035181788727335
GNNHAR1L-IV+fakeIV,diagnostic placebo,MSE,1.0456877871114505,1.0586430755673468,-0.058643075567346825,1.0975722517379998
GHAR_RANDOM,diagnostic random graph,MSE,0.9671882600708948,0.99049574761682,0.009504252383179979,1.0269189617719716
