Model,Class,$\rho_M$,$\rho_Q$,$\Delta_Q$,$\rho_Q^{IV}$
GHAR+IV,GHAR+IV,0.9114219890866578,0.9549473566731802,0.0450526433268198,0.9900633601115504
GNNHAR3L-IV,GNNHAR+IV,0.8519090098589013,0.9554857647951762,0.04451423520482378,0.9906215669599694
HAR+IV,HAR+IV,0.9284521253241514,0.9645315594403842,0.035468440559615844,1.0
GHAR,GHAR,0.9625533315584792,0.9867635022318834,0.01323649776811664,1.0230494716050536
GNNHAR2L-IV,GNNHAR+IV,0.8832653272336743,0.9992553071404828,0.0007446928595171709,1.0360006340489731
HAR,HAR,1.0,1.0,0.0,1.0367727112840086
GNNHAR1L-IV,GNNHAR+IV,0.919946894000285,1.0155255289578309,-0.01552552895783088,1.0528691560357373
GNNHAR1L,GNNHAR,1.0183440358719351,1.0303846866900952,-0.030384686690095197,1.0682747252852138
GNNHAR2L,GNNHAR,1.0038971688963931,1.0463906261042748,-0.0463906261042748,1.0848692464883003
GNNHAR3L,GNNHAR,1.0575276918997378,1.094737451861583,-0.09473745186158311,1.1349939161106808
GNNHAR1L-IV-QLIKE,GNNHAR+IV,2.2777557595756175,1.136019963660461,-0.1360199636604611,1.1777944977970176
GNNHAR1L-QLIKE,GNNHAR,2.3467125378624054,1.2320045423715082,-0.23200454237150825,1.277308689708723
