Model,EC,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{HAR}_{M}\),\(M\),1.0,1.0,0.0
\(\mathrm{GHAR}_{M}\),\(M\),0.997465,0.992531,0.007468999999999948
\(\mathrm{GNNHAR1L}_{M}\),\(M\),0.999951,0.996787,0.0032130000000000214
\(\mathrm{GNNHAR2L}_{M}\),\(M\),1.000086,0.999458,0.0005420000000000424
\(\mathrm{GNNHAR3L}_{M}\),\(M\),1.00113,0.999559,0.0004410000000000247
\(\mathrm{HAR}_{Q}\),\(Q\),1.005618,0.980136,0.019863999999999993
\(\mathrm{GHAR}_{Q}\),\(Q\),1.002762,0.976368,0.023631999999999986
\(\mathrm{GNNHAR1L}_{Q}\),\(Q\),1.003929,0.980192,0.019808000000000048
\(\mathrm{GNNHAR2L}_{Q}\),\(Q\),1.00351,0.979452,0.02054800000000001
\(\mathrm{GNNHAR3L}_{Q}\),\(Q\),1.003032,0.977386,0.022614000000000023
