Model,Block,EC,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{GHAR}_{M}\),strict core,\(M\),0.997465,0.992531,0.007468999999999948
\(\mathrm{GNNHAR1L}_{M}\),strict core,\(M\),0.999951,0.996787,0.0032130000000000214
\(\mathrm{GNNHAR2L}_{M}\),strict core,\(M\),1.000086,0.999458,0.0005420000000000424
\(\mathrm{GNNHAR3L}_{M}\),strict core,\(M\),1.00113,0.999559,0.0004410000000000247
\(\mathrm{HAR}_{M}\),strict core,\(M\),1.0,1.0,0.0
\(\mathrm{GHAR}_{Q}\),strict core,\(Q\),1.002762,0.976368,0.023631999999999986
\(\mathrm{GNNHAR1L}_{Q}\),strict core,\(Q\),1.003929,0.980192,0.019808000000000048
\(\mathrm{GNNHAR2L}_{Q}\),strict core,\(Q\),1.00351,0.979452,0.02054800000000001
\(\mathrm{GNNHAR3L}_{Q}\),strict core,\(Q\),1.003032,0.977386,0.022614000000000023
\(\mathrm{HAR}_{Q}\),strict core,\(Q\),1.005618,0.980136,0.019863999999999993
\(\mathrm{GHAR}_{M}^{IV}\),IV extension,\(M\),0.964891,0.977778,0.022221999999999964
\(\mathrm{GNNHAR1L}_{M}^{IV}\),IV extension,\(M\),0.971581,0.986787,0.01321300000000003
\(\mathrm{GNNHAR2L}_{M}^{IV}\),IV extension,\(M\),0.988759,1.012166,-0.012165999999999899
\(\mathrm{GNNHAR3L}_{M}^{IV}\),IV extension,\(M\),0.967609,0.990027,0.00997300000000001
\(\mathrm{HAR}_{M}^{IV}\),IV extension,\(M\),0.964803,0.979188,0.020812000000000053
\(\mathrm{GHAR}_{Q}^{IV}\),IV extension,\(Q\),0.981155,0.933495,0.06650500000000004
\(\mathrm{GNNHAR1L}_{Q}^{IV}\),IV extension,\(Q\),0.981388,0.934858,0.06514200000000003
\(\mathrm{GNNHAR2L}_{Q}^{IV}\),IV extension,\(Q\),0.982333,0.933495,0.06650500000000004
\(\mathrm{GNNHAR3L}_{Q}^{IV}\),IV extension,\(Q\),0.98146,0.940106,0.059894
\(\mathrm{HAR}_{Q}^{IV}\),IV extension,\(Q\),0.980672,0.932787,0.06721299999999997
\(\mathrm{GNNHAR4L}_{M}\),depth extension,\(M\),1.004042,1.003234,-0.003233999999999959
\(\mathrm{GNNHAR4L}_{M}^{IV}\),depth extension,\(M\),0.978923,0.99553,0.004469999999999974
\(\mathrm{GNNHAR5L}_{M}\),depth extension,\(M\),1.003038,1.010496,-0.01049600000000006
\(\mathrm{GNNHAR5L}_{M}^{IV}\),depth extension,\(M\),0.979556,0.993644,0.006356000000000028
\(\mathrm{GNNHAR4L}_{Q}\),depth extension,\(Q\),1.002622,0.978495,0.021504999999999996
\(\mathrm{GNNHAR4L}_{Q}^{IV}\),depth extension,\(Q\),0.985826,0.936106,0.063894
\(\mathrm{GNNHAR5L}_{Q}\),depth extension,\(Q\),1.003253,0.976786,0.023213999999999957
\(\mathrm{GNNHAR5L}_{Q}^{IV}\),depth extension,\(Q\),0.980863,0.934228,0.06577200000000005
