Model,EC,\(\rho_M\),\(\rho_Q\),\(1-\rho_Q\)
\(\mathrm{HAR}_{M}^{IV}\),\(M\),0.964803,0.979188,0.020812000000000053
\(\mathrm{GHAR}_{M}^{IV}\),\(M\),0.964891,0.977778,0.022221999999999964
\(\mathrm{GNNHAR1L}_{M}^{IV}\),\(M\),0.971581,0.986787,0.01321300000000003
\(\mathrm{GNNHAR2L}_{M}^{IV}\),\(M\),0.988759,1.012166,-0.012165999999999899
\(\mathrm{GNNHAR3L}_{M}^{IV}\),\(M\),0.967609,0.990027,0.00997300000000001
\(\mathrm{HAR}_{Q}^{IV}\),\(Q\),0.980672,0.932787,0.06721299999999997
\(\mathrm{GHAR}_{Q}^{IV}\),\(Q\),0.981155,0.933495,0.06650500000000004
\(\mathrm{GNNHAR1L}_{Q}^{IV}\),\(Q\),0.981388,0.934858,0.06514200000000003
\(\mathrm{GNNHAR2L}_{Q}^{IV}\),\(Q\),0.982333,0.933495,0.06650500000000004
\(\mathrm{GNNHAR3L}_{Q}^{IV}\),\(Q\),0.98146,0.940106,0.059894
